kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 76 : 65792 430912 0 0 0 0 0 0 0 
_1.ptx 77 : 65792 432832 0 0 0 0 0 0 0 
_1.ptx 78 : 65792 429312 0 0 0 0 0 0 0 
_1.ptx 79 : 65792 434144 0 0 0 0 0 0 0 
_1.ptx 80 : 65792 436192 0 0 0 0 0 0 0 
_1.ptx 82 : 65792 442784 0 0 0 0 0 0 0 
_1.ptx 83 : 65792 1086624 0 0 0 0 0 0 0 
_1.ptx 84 : 65792 431808 0 0 0 0 0 0 0 
_1.ptx 85 : 65792 508832 0 0 0 0 0 0 0 
_1.ptx 86 : 65792 1172096 0 0 0 0 0 0 0 
_1.ptx 87 : 65792 750176 0 0 0 0 0 0 0 
_1.ptx 88 : 65792 757664 0 0 0 0 0 0 0 
_1.ptx 89 : 65792 510624 0 0 0 0 0 0 0 
_1.ptx 90 : 65792 1038688 0 0 0 0 0 0 0 
_1.ptx 91 : 65792 4062784 128 0 0 0 0 0 0 
_1.ptx 92 : 65792 743232 0 0 0 0 0 0 0 
_1.ptx 93 : 65792 23580288 263168 0 0 2056 2056 0 0 
_1.ptx 94 : 65792 1554048 0 2056 2056 0 0 0 0 
_1.ptx 96 : 65792 418016 0 0 0 0 0 0 0 
_1.ptx 97 : 65792 738464 0 0 0 0 0 0 0 
_1.ptx 98 : 65792 2907744 1024 0 0 0 0 0 0 
_1.ptx 99 : 65792 737824 0 0 0 0 0 0 0 
_1.ptx 100 : 65792 1548864 0 2056 2056 0 0 0 0 
_1.ptx 102 : 65792 418976 0 0 0 0 0 0 0 
_1.ptx 103 : 65792 740352 0 0 0 0 0 0 0 
_1.ptx 104 : 65792 2299136 1024 0 0 0 0 0 0 
_1.ptx 105 : 65792 740736 0 0 0 0 0 0 0 
_1.ptx 106 : 65792 1314528 0 2056 2056 0 0 0 0 
_1.ptx 108 : 65792 417056 0 0 0 0 0 0 0 
_1.ptx 109 : 65792 742304 0 0 0 0 0 0 0 
_1.ptx 110 : 65792 2088000 1024 0 0 0 0 0 0 
_1.ptx 111 : 65792 742912 0 0 0 0 0 0 0 
_1.ptx 112 : 65792 1130560 0 2056 2056 0 0 0 0 
_1.ptx 114 : 65792 420896 0 0 0 0 0 0 0 
_1.ptx 115 : 65792 744544 0 0 0 0 0 0 0 
_1.ptx 116 : 65792 1987008 1024 0 0 0 0 0 0 
_1.ptx 117 : 65792 743040 0 0 0 0 0 0 0 
_1.ptx 118 : 65792 836768 0 2056 2056 0 0 0 0 
_1.ptx 120 : 65792 422624 0 0 0 0 0 0 0 
_1.ptx 121 : 65792 451360 0 0 0 0 0 0 0 
_1.ptx 123 : 65792 505664 0 0 0 0 0 0 0 
_1.ptx 124 : 65792 512416 0 0 0 0 0 0 0 
_1.ptx 125 : 65792 453920 0 0 0 0 0 0 0 
_1.ptx 126 : 65792 514400 0 0 0 0 0 0 0 
_1.ptx 127 : 65792 450816 0 0 0 0 0 0 0 
_1.ptx 128 : 65792 518752 0 0 0 0 0 0 0 
_1.ptx 129 : 65792 444320 0 0 0 0 0 0 0 
_1.ptx 130 : 65792 515872 0 0 0 0 0 0 0 
_1.ptx 131 : 65792 2171808 128 0 0 0 0 0 0 
_1.ptx 132 : 65792 513984 0 0 0 0 0 0 0 
_1.ptx 134 : 65792 755456 0 0 0 0 0 0 0 
_1.ptx 135 : 65792 623840 0 2056 2056 0 0 0 0 
