kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 204 : 16384 49152 0 0 0 0 0 0 0 
_1.ptx 205 : 16384 163840 0 0 0 0 0 0 0 
_1.ptx 206 : 16384 334848 0 0 0 0 0 0 0 
_1.ptx 207 : 16384 109056 0 0 0 0 0 0 0 
_1.ptx 208 : 16384 128000 0 0 0 0 0 0 0 
_1.ptx 209 : 16384 140288 0 0 0 0 0 0 0 
_1.ptx 210 : 16384 384000 0 0 0 0 0 0 0 
_1.ptx 211 : 16384 185728 0 0 0 0 0 0 0 
_1.ptx 212 : 16384 152064 0 0 0 0 0 0 0 
_1.ptx 213 : 16384 420480 0 0 0 0 0 0 0 
_1.ptx 214 : 16384 417600 0 0 0 0 0 0 0 
_1.ptx 215 : 16384 49152 0 0 0 0 0 0 0 
_1.ptx 216 : 16384 181920 0 0 0 0 0 0 0 
_1.ptx 217 : 16384 181216 0 0 0 0 0 0 0 
_1.ptx 218 : 16384 49152 0 0 0 0 0 0 0 
_1.ptx 219 : 16384 122048 0 0 0 0 0 0 0 
_1.ptx 220 : 16384 191680 0 0 0 0 0 0 0 
_1.ptx 221 : 16384 152928 0 0 0 0 0 0 0 
_1.ptx 222 : 16384 262560 0 0 0 0 0 0 0 
_1.ptx 223 : 16384 202368 0 0 0 0 0 0 0 
_1.ptx 224 : 16384 201248 0 0 0 0 0 0 0 
_1.ptx 225 : 16384 200864 0 0 0 0 0 0 0 
_1.ptx 226 : 16384 157760 0 0 0 0 0 0 0 
_1.ptx 227 : 16384 294752 0 0 0 0 0 0 0 
_1.ptx 228 : 16384 61056 0 0 0 0 0 0 0 
_1.ptx 229 : 16384 187488 0 0 0 0 0 0 0 
_1.ptx 230 : 16384 72224 0 0 0 0 0 0 0 
_1.ptx 231 : 16384 183840 0 0 0 0 0 0 0 
_1.ptx 232 : 16384 757216 0 0 0 1024 512 0 0 
_1.ptx 233 : 16384 116736 0 0 0 0 0 0 0 
_1.ptx 234 : 16384 10361184 0 0 0 1024 512 0 0 
_1.ptx 235 : 16384 140672 0 0 0 0 0 0 0 
_1.ptx 236 : 16384 126464 0 0 0 0 0 0 0 
_1.ptx 237 : 16384 257600 0 0 0 0 0 0 0 
_1.ptx 238 : 16384 484064 0 0 0 544 512 0 0 
_1.ptx 239 : 16384 135904 0 0 0 0 0 0 0 
_1.ptx 240 : 16384 6455584 0 0 0 512 512 0 0 
_1.ptx 241 : 16384 222048 0 0 0 0 0 0 0 
_1.ptx 242 : 16384 272192 0 0 0 0 0 0 0 
_1.ptx 243 : 16384 463072 0 0 0 0 0 0 0 
_1.ptx 244 : 16384 513504 0 0 0 0 0 0 0 
_1.ptx 245 : 16384 522688 0 0 0 0 0 0 0 
_1.ptx 246 : 16384 349024 0 0 0 0 0 0 0 
_1.ptx 247 : 16384 288000 0 0 0 1024 512 0 0 
_1.ptx 249 : 16384 3511936 0 0 0 1024 512 0 0 
_1.ptx 250 : 16384 240448 0 0 0 0 0 0 0 
_1.ptx 251 : 16384 214944 0 0 0 0 0 0 0 
_1.ptx 252 : 16384 373408 0 0 0 0 0 0 0 
_1.ptx 253 : 16384 4350304 0 0 0 544 512 0 0 
_1.ptx 254 : 16384 160448 0 0 0 0 0 0 0 
_1.ptx 255 : 16384 4164992 0 0 0 512 512 0 0 
_1.ptx 256 : 16384 152864 0 0 0 0 0 0 0 
_1.ptx 257 : 16384 172992 0 0 0 0 0 0 0 
_1.ptx 258 : 16384 439360 0 0 0 0 0 0 0 
_1.ptx 259 : 16384 521632 0 0 0 0 0 0 0 
_1.ptx 260 : 16384 277984 0 0 0 0 0 0 0 
_1.ptx 261 : 16384 312736 0 0 0 1024 512 0 0 
_1.ptx 263 : 16384 167968 0 0 0 0 0 0 0 
_1.ptx 264 : 16384 107200 0 0 0 0 0 0 0 
_1.ptx 65 : 16384 98304 0 0 0 0 0 0 0 
_1.ptx 265 : 16384 139264 0 0 0 0 0 0 0 
_1.ptx 66 : 16384 98304 0 0 0 0 0 0 0 
_1.ptx 266 : 16384 127712 0 0 0 0 0 0 0 
_1.ptx 67 : 16384 131072 0 0 0 0 0 0 0 
_1.ptx 267 : 16384 117408 0 0 0 0 0 0 0 
_1.ptx 68 : 16384 98304 0 0 0 0 0 0 0 
_1.ptx 268 : 16384 138240 0 0 0 0 0 0 0 
_1.ptx 69 : 16384 114688 0 0 0 0 0 0 0 
_1.ptx 269 : 16384 128576 0 0 0 0 0 0 0 
_1.ptx 70 : 16384 114688 0 0 0 0 0 0 0 
_1.ptx 270 : 16384 139040 0 0 0 0 0 0 0 
_1.ptx 71 : 16384 352256 0 0 0 0 0 0 0 
_1.ptx 271 : 16384 117632 0 0 0 0 0 0 0 
_1.ptx 72 : 16384 196800 0 0 0 0 0 0 0 
_1.ptx 272 : 16384 138112 0 0 0 0 0 0 0 
_1.ptx 73 : 16384 139936 0 0 0 0 0 0 0 
_1.ptx 273 : 16384 112480 0 0 0 0 0 0 1 
_1.ptx 74 : 16384 126990 0 0 0 0 0 0 512 
_1.ptx 275 : 16 176 0 0 0 0 0 0 0 
_1.ptx 76 : 1024 199454 128 0 0 0 0 0 0 
_1.ptx 276 : 16 176 0 0 0 0 0 0 0 
_1.ptx 77 : 1024 8220 0 0 0 0 0 0 0 
_1.ptx 277 : 16 9328 0 0 0 1 1 0 0 
_1.ptx 78 : 1024 12538 0 0 0 0 0 0 0 
_1.ptx 278 : 16 112 0 0 0 0 0 0 0 
_1.ptx 79 : 1024 9118 0 0 0 0 0 0 0 
_1.ptx 279 : 16 144 0 0 0 1 1 0 0 
_1.ptx 80 : 1024 15144 0 0 0 0 0 0 0 
_1.ptx 280 : 16 112 0 0 0 0 0 0 0 
_1.ptx 81 : 1024 11308 0 0 0 0 0 0 0 
_1.ptx 281 : 16 208 0 0 0 0 0 0 0 
_1.ptx 82 : 1024 190632 0 0 0 544 512 0 0 
_1.ptx 282 : 16 336 0 0 0 0 0 0 0 
_1.ptx 83 : 1024 5660 0 512 512 0 0 0 0 
_1.ptx 283 : 16 160 0 0 0 1 1 0 0 
_1.ptx 284 : 16 208 0 0 0 0 0 0 0 
_1.ptx 285 : 16 96 0 0 0 0 0 0 0 
_1.ptx 86 : 16384 110016 0 0 0 0 0 0 0 
_1.ptx 286 : 16 256 0 0 0 0 0 0 0 
_1.ptx 87 : 16384 121024 0 0 0 0 0 0 0 
_1.ptx 287 : 16 240 0 0 0 0 0 0 0 
_1.ptx 288 : 16 112 0 0 0 0 0 0 0 
_1.ptx 89 : 16384 51552 0 0 0 0 0 0 0 
_1.ptx 289 : 16 96 0 0 0 1 1 0 0 
_1.ptx 90 : 16384 170848 0 0 0 0 0 0 0 
_1.ptx 91 : 16384 330592 0 0 0 0 0 0 0 
_1.ptx 291 : 16 160 0 0 0 1 1 0 0 
_1.ptx 92 : 16384 130144 0 0 0 0 0 0 0 
_1.ptx 292 : 16 112 0 0 0 0 0 0 0 
_1.ptx 93 : 16384 379296 0 0 0 0 0 0 0 
_1.ptx 293 : 16 96 0 0 0 0 0 0 0 
_1.ptx 94 : 16384 170304 0 0 0 0 0 0 0 
_1.ptx 294 : 16 240 0 0 0 0 0 0 0 
_1.ptx 95 : 16384 384704 0 0 0 0 0 0 0 
_1.ptx 295 : 16 144 0 0 0 1 1 0 0 
_1.ptx 96 : 16384 182880 0 0 0 0 0 0 0 
_1.ptx 296 : 16 112 0 0 0 0 0 0 0 
_1.ptx 97 : 16384 368768 0 0 0 0 0 0 0 
_1.ptx 297 : 16 96 0 0 0 0 0 0 0 
_1.ptx 98 : 16384 183040 0 0 0 0 0 0 0 
_1.ptx 298 : 16 256 0 0 0 0 0 0 0 
_1.ptx 99 : 16384 351872 0 0 0 0 0 0 0 
_1.ptx 299 : 16 112 0 0 0 0 0 0 0 
_1.ptx 100 : 16384 183072 0 0 0 0 0 0 0 
_1.ptx 300 : 16 80 0 0 0 1 1 0 0 
_1.ptx 101 : 16384 49504 0 0 0 0 0 0 0 
_1.ptx 102 : 16384 186848 0 0 0 0 0 0 0 
_1.ptx 103 : 16384 194656 0 0 0 0 0 0 0 
_1.ptx 303 : 16384 99488 0 0 0 0 0 0 0 
_1.ptx 104 : 16384 151264 0 0 0 0 0 0 0 
_1.ptx 105 : 16384 289280 0 0 0 0 0 0 0 
_1.ptx 106 : 16384 188416 0 0 0 0 0 0 0 
_1.ptx 107 : 16384 10624288 0 0 0 1024 512 0 0 
_1.ptx 108 : 16384 83328 0 512 512 0 0 0 0 
_1.ptx 110 : 16384 99680 0 0 0 0 0 0 0 
_1.ptx 112 : 16384 138208 0 512 512 0 0 0 0 
_1.ptx 113 : 16384 140160 0 512 512 0 0 0 0 
_1.ptx 114 : 16384 184928 0 0 0 0 0 0 0 
_1.ptx 115 : 16384 87808 0 512 512 0 0 0 0 
