kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 1 8 0 0 0 0 0 0 0 
_1.ptx 824 : 1 11 0 0 0 0 0 0 0 
_1.ptx 825 : 1 7 0 0 0 0 0 0 0 
_1.ptx 826 : 1 10 0 0 0 0 0 0 0 
_1.ptx 827 : 1 11 0 0 0 0 0 0 0 
_1.ptx 828 : 1 3 0 0 0 0 0 0 0 
_1.ptx 829 : 1 5 32 0 0 1 1 0 0 
_1.ptx 831 : 1 129 0 0 0 1 1 0 0 
_1.ptx 832 : 1 3 0 0 0 0 0 0 0 
_1.ptx 833 : 1 5 32 0 0 1 1 0 0 
_1.ptx 836 : 7168 43008 0 0 0 0 0 0 0 
_1.ptx 76 : 1024 135296 128 0 0 0 0 0 0 
_1.ptx 77 : 1024 135328 0 0 0 0 0 0 0 
_1.ptx 78 : 1024 6336 0 0 0 0 0 0 0 
_1.ptx 79 : 1024 6336 0 0 0 0 0 0 0 
_1.ptx 80 : 1024 8448 0 0 0 0 0 0 0 
_1.ptx 81 : 1024 6516 0 0 0 0 0 0 2 
_1.ptx 83 : 2 12 0 0 0 0 0 0 0 
_1.ptx 84 : 2 10 0 2 2 0 0 0 0 
_1.ptx 86 : 1024 6336 0 0 0 0 0 0 0 
_1.ptx 87 : 1024 8384 0 0 0 0 0 0 0 
_1.ptx 88 : 1024 6592 0 0 0 0 0 0 0 
_1.ptx 89 : 1024 10624 0 0 0 0 0 0 0 
_1.ptx 90 : 1024 11584 0 0 0 0 0 0 0 
_1.ptx 91 : 1024 6592 0 0 0 0 0 0 0 
_1.ptx 92 : 1024 7168 0 0 0 0 0 0 0 
_1.ptx 93 : 1024 7392 0 0 0 0 0 0 0 
_1.ptx 96 : 524288 3100448 0 0 0 0 0 0 1024 
_1.ptx 98 : 8192 49152 0 0 0 0 0 0 0 
_1.ptx 99 : 8192 57344 0 0 0 0 0 0 0 
_1.ptx 100 : 8192 81920 0 0 0 0 0 0 0 
_1.ptx 101 : 8192 49152 0 0 0 0 0 0 0 
_1.ptx 102 : 8192 90112 0 0 0 0 0 0 0 
_1.ptx 103 : 8192 40960 0 1024 1024 0 0 0 0 
_1.ptx 104 : 8192 49152 0 0 0 0 0 0 0 
_1.ptx 105 : 8192 57344 0 0 0 0 0 0 0 
_1.ptx 106 : 8192 81920 0 0 0 0 0 0 0 
_1.ptx 107 : 8192 57344 0 0 0 0 0 0 0 
_1.ptx 108 : 8192 65536 0 0 0 0 0 0 0 
_1.ptx 109 : 8192 73728 0 0 0 0 0 0 0 
_1.ptx 110 : 8192 90112 0 0 0 0 0 0 0 
_1.ptx 111 : 8192 40960 0 1024 1024 0 0 0 0 
_1.ptx 114 : 524288 3147520 0 0 0 0 0 0 0 
_1.ptx 115 : 524288 4333248 0 0 0 0 0 0 0 
_1.ptx 116 : 524288 1876277 0 0 0 0 0 0 992 
_1.ptx 117 : 262656 2285706 0 0 0 0 0 0 0 
_1.ptx 118 : 262656 3681939 0 0 0 0 0 0 0 
_1.ptx 119 : 262656 1842122 0 8704 8704 0 0 0 0 
_1.ptx 120 : 262656 1685713 0 0 0 0 0 0 0 
_1.ptx 121 : 262656 2251690 0 0 0 0 0 0 0 
_1.ptx 122 : 262656 1677471 0 0 0 0 0 0 0 
_1.ptx 124 : 513 1603 0 0 0 0 0 0 0 
_1.ptx 125 : 513 5899 0 0 0 0 0 0 0 
_1.ptx 126 : 513 71746 128 0 0 17 17 0 0 
_1.ptx 127 : 513 3142 0 0 0 0 0 0 0 
_1.ptx 130 : 262143 2912818 0 0 0 0 0 0 0 
_1.ptx 131 : 262143 4733976 0 8687 8687 0 0 0 0 
_1.ptx 134 : 262656 1869449 0 0 0 0 0 0 0 
_1.ptx 135 : 262656 2888506 0 0 0 0 0 0 0 
_1.ptx 136 : 262656 7057986 0 0 0 0 0 0 0 
_1.ptx 137 : 262656 1638979 0 0 0 0 0 0 0 
_1.ptx 138 : 262656 2930284 0 0 0 0 0 0 0 
_1.ptx 139 : 262656 34792860 32 0 0 262656 8704 0 0 
_1.ptx 141 : 262656 32326292 0 0 0 0 0 0 0 
_1.ptx 142 : 262656 2987246 0 0 0 0 0 0 0 
_1.ptx 143 : 262656 136660181 128 0 0 262656 8704 0 0 
_1.ptx 145 : 262656 1925634 0 0 0 0 0 0 0 
_1.ptx 146 : 262656 1584006 0 0 0 0 0 0 0 
_1.ptx 147 : 262656 1890366 0 0 0 0 0 0 0 
_1.ptx 148 : 262656 1578835 0 0 0 0 0 0 0 
_1.ptx 149 : 262656 1931860 0 0 0 0 0 0 0 
_1.ptx 150 : 262656 1578052 0 0 0 0 0 0 0 
_1.ptx 151 : 262656 1948196 0 0 0 0 0 0 0 
_1.ptx 152 : 262656 136701897 2134016 0 0 0 0 0 0 
_1.ptx 153 : 262656 2266763 0 0 0 0 0 0 0 
_1.ptx 154 : 262656 2379145 0 0 0 0 0 0 0 
_1.ptx 156 : 262656 2217977 0 0 0 0 0 0 0 
_1.ptx 157 : 262656 3422123 0 0 0 0 0 0 0 
_1.ptx 158 : 262656 2293233 0 0 0 0 0 0 0 
_1.ptx 159 : 262656 0 0 0 0 0 0 0 0 
_1.ptx 160 : 262656 1577238 0 0 0 0 0 0 0 
_1.ptx 161 : 262656 1882537 0 0 0 0 0 0 0 
_1.ptx 162 : 262656 1941564 0 0 0 0 0 0 0 
_1.ptx 163 : 262656 1883039 0 0 0 0 0 0 0 
_1.ptx 167 : 1571841 11417073 0 0 0 0 0 0 0 
_1.ptx 168 : 1571841 9511386 0 0 0 0 0 0 0 
_1.ptx 169 : 1571841 11404372 0 0 0 0 0 0 0 
_1.ptx 170 : 1571841 9521018 0 0 0 0 0 0 0 
_1.ptx 171 : 1571841 11413739 0 0 0 0 0 0 0 
