kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 76 : 1024 237568 256 0 0 0 0 0 0 
_1.ptx 77 : 1024 237568 0 0 0 0 0 0 0 
_1.ptx 78 : 1024 6336 0 0 0 0 0 0 0 
_1.ptx 79 : 1024 6272 0 0 0 0 0 0 0 
_1.ptx 80 : 1024 8192 0 0 0 0 0 0 0 
_1.ptx 81 : 1024 6708 0 0 0 0 0 0 2 
_1.ptx 83 : 2 12 0 0 0 0 0 0 0 
_1.ptx 84 : 2 8 0 2 2 0 0 0 0 
_1.ptx 86 : 1024 6272 0 0 0 0 0 0 0 
_1.ptx 87 : 1024 8320 0 0 0 0 0 0 0 
_1.ptx 88 : 1024 6656 0 0 0 0 0 0 0 
_1.ptx 89 : 1024 11264 0 0 0 0 0 0 0 
_1.ptx 90 : 1024 12288 0 0 0 0 0 0 0 
_1.ptx 91 : 1024 7552 0 0 0 0 0 0 0 
_1.ptx 92 : 1024 7488 0 0 0 0 0 0 0 
_1.ptx 93 : 1024 7680 0 0 0 0 0 0 0 
_1.ptx 96 : 523776 3093552 0 0 0 0 0 0 1023 
_1.ptx 98 : 8184 49104 0 0 0 0 0 0 0 
_1.ptx 99 : 8184 57288 0 0 0 0 0 0 0 
_1.ptx 100 : 8184 81840 0 0 0 0 0 0 0 
_1.ptx 101 : 8184 49104 0 0 0 0 0 0 0 
_1.ptx 102 : 8184 90024 0 0 0 0 0 0 0 
_1.ptx 103 : 8184 40920 0 1023 1023 0 0 0 0 
_1.ptx 104 : 8184 49104 0 0 0 0 0 0 0 
_1.ptx 105 : 8184 57288 0 0 0 0 0 0 0 
_1.ptx 106 : 8184 81840 0 0 0 0 0 0 0 
_1.ptx 107 : 8184 57288 0 0 0 0 0 0 0 
_1.ptx 108 : 8184 65472 0 0 0 0 0 0 0 
_1.ptx 109 : 8184 73656 0 0 0 0 0 0 0 
_1.ptx 110 : 8184 90024 0 0 0 0 0 0 0 
_1.ptx 111 : 8184 40920 0 1023 1023 0 0 0 0 
_1.ptx 114 : 523776 3142656 0 0 0 0 0 0 0 
_1.ptx 115 : 523776 4373376 0 0 0 0 0 0 0 
_1.ptx 116 : 523776 1898163 0 0 0 0 0 0 991 
_1.ptx 117 : 262625 2050374 0 0 0 0 0 0 0 
_1.ptx 118 : 262625 3636798 0 0 0 0 0 0 0 
_1.ptx 119 : 262625 1898620 0 8703 8703 0 0 0 0 
_1.ptx 120 : 262625 1670846 0 0 0 0 0 0 0 
_1.ptx 121 : 262625 2223256 0 0 0 0 0 0 0 
_1.ptx 122 : 262625 1675707 0 0 0 0 0 0 0 
_1.ptx 124 : 513 1571 0 0 0 0 0 0 0 
_1.ptx 125 : 513 5675 0 0 0 0 0 0 0 
_1.ptx 126 : 513 200047 0 0 0 17 17 0 0 
_1.ptx 127 : 513 3142 0 0 0 0 0 0 0 
_1.ptx 130 : 262112 2898695 0 0 0 0 0 0 0 
_1.ptx 131 : 262112 2184369 0 8686 8686 0 0 0 0 
_1.ptx 134 : 262625 1870419 0 0 0 0 0 0 0 
_1.ptx 135 : 262625 3094163 0 0 0 0 0 0 0 
_1.ptx 136 : 262625 5252174 0 0 0 0 0 0 0 
_1.ptx 137 : 262625 1704456 0 0 0 0 0 0 0 
_1.ptx 138 : 262625 2929564 0 0 0 0 0 0 0 
_1.ptx 139 : 262625 314478132 0 0 0 262625 8703 0 0 
_1.ptx 141 : 262625 239511588 0 0 0 0 0 0 0 
_1.ptx 142 : 262625 3151609 0 0 0 0 0 0 0 
_1.ptx 143 : 262625 726717160 0 0 0 262625 8703 0 0 
_1.ptx 145 : 262625 2049795 0 0 0 0 0 0 0 
_1.ptx 146 : 262625 1613339 0 0 0 0 0 0 0 
_1.ptx 147 : 262625 1939071 0 0 0 0 0 0 0 
_1.ptx 148 : 262625 1587848 0 0 0 0 0 0 0 
_1.ptx 149 : 262625 1878229 0 0 0 0 0 0 0 
_1.ptx 150 : 262625 1584341 0 0 0 0 0 0 0 
_1.ptx 151 : 262625 1878357 0 0 0 0 0 0 0 
_1.ptx 152 : 262625 338586507 2143232 0 0 0 0 0 0 
_1.ptx 153 : 262625 2020107 0 0 0 0 0 0 0 
_1.ptx 154 : 262625 2089048 0 0 0 0 0 0 0 
_1.ptx 156 : 262625 2878684 0 0 0 0 0 0 0 
_1.ptx 157 : 262625 4910322 0 0 0 0 0 0 0 
_1.ptx 158 : 262625 2687062 0 0 0 0 0 0 0 
_1.ptx 159 : 262625 0 0 0 0 0 0 0 0 
_1.ptx 160 : 262625 1577468 0 0 0 0 0 0 0 
_1.ptx 161 : 262625 2024059 0 0 0 0 0 0 0 
