kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 471343 3655353 0 0 0 0 0 0 0 
_1.ptx 825 : 471343 3763466 0 0 0 0 0 0 0 
_1.ptx 826 : 471343 4500869 0 0 0 0 0 0 0 
_1.ptx 828 : 471343 3834935 0 0 0 0 0 0 0 
_1.ptx 829 : 471343 5450828 0 0 0 0 0 0 0 
_1.ptx 830 : 471343 5819659 0 0 0 0 0 0 0 
_1.ptx 831 : 471343 5389654 0 0 0 0 0 0 0 
_1.ptx 833 : 471343 11058840 0 62569 16824 0 0 0 0 
_1.ptx 834 : 471343 13151740 0 0 0 128008 16824 0 0 
_1.ptx 835 : 471343 5245694 0 0 0 0 0 0 0 
_1.ptx 837 : 471343 3837999 0 0 0 0 0 0 0 
_1.ptx 838 : 471343 3782 0 0 0 0 0 0 161 
_1.ptx 842 : 5082112 37471168 0 0 0 0 0 0 0 
_1.ptx 843 : 5082112 62278 0 0 0 0 0 0 9926 
_1.ptx 844 : 5072186 33813395 0 0 0 0 0 0 0 
_1.ptx 848 : 9926 111066 0 0 0 0 0 0 0 
_1.ptx 849 : 9926 69776 0 0 0 0 0 0 0 
_1.ptx 850 : 9926 109336 0 0 0 0 0 0 0 
_1.ptx 851 : 9926 82279 0 0 0 0 0 0 0 
_1.ptx 852 : 9926 109347 0 0 0 0 0 0 0 
_1.ptx 853 : 9926 41209 0 9926 9926 0 0 0 0 
_1.ptx 855 : 9926 69547 0 0 0 0 0 0 0 
_1.ptx 856 : 9926 69546 0 0 0 0 0 0 0 
_1.ptx 860 : 5082112 53747040 0 0 0 0 0 0 0 
_1.ptx 862 : 5082112 33648226 0 0 0 0 0 0 9926 
_1.ptx 864 : 9926 29893 0 0 0 0 0 0 0 
_1.ptx 865 : 9926 69534 0 0 0 0 0 0 0 
_1.ptx 867 : 9926 99280 0 0 0 0 0 0 0 
_1.ptx 868 : 9926 109196 0 0 0 0 0 0 0 
_1.ptx 869 : 9926 49631 0 0 0 9926 9926 0 0 
_1.ptx 873 : 5082112 38091968 0 0 0 0 0 0 0 
_1.ptx 874 : 5082112 38703424 0 0 0 0 0 0 0 
_1.ptx 875 : 5082112 29164224 0 0 0 0 0 0 0 
_1.ptx 878 : 363008 2390368 0 0 0 0 0 0 0 
_1.ptx 880 : 363008 2994048 0 0 0 0 0 0 0 
_1.ptx 881 : 363008 2249244 0 0 0 0 0 0 709 
_1.ptx 885 : 2176764 21568531 0 0 0 2167545 2167545 0 0 
_1.ptx 886 : 2176764 17414112 0 0 0 0 0 0 0 
_1.ptx 887 : 2176764 13001028 0 0 0 0 0 0 0 
_1.ptx 891 : 363008 2265888 0 0 0 0 0 0 0 
_1.ptx 893 : 363008 2118492 0 0 0 0 0 0 709 
_1.ptx 895 : 9926 29778 0 0 0 0 0 0 0 
_1.ptx 896 : 9926 69482 0 0 0 0 0 0 0 
_1.ptx 898 : 9926 99260 0 0 0 0 0 0 0 
_1.ptx 899 : 9926 109186 0 0 0 0 0 0 0 
_1.ptx 900 : 9926 49630 0 0 0 709 709 0 0 
_1.ptx 904 : 5082112 31120924 0 0 0 0 0 0 9926 
_1.ptx 908 : 35914707 325975053 0 0 0 35914707 35914707 0 0 
_1.ptx 909 : 35914707 287317656 0 0 0 0 0 0 0 
_1.ptx 910 : 35914707 215428686 0 0 0 0 0 0 0 
_1.ptx 914 : 5082112 30557856 0 0 0 0 0 0 0 
_1.ptx 915 : 5082112 40659360 0 0 0 0 0 0 0 
_1.ptx 917 : 5082112 39070656 0 0 0 0 0 0 0 
_1.ptx 918 : 5082112 35197871 0 0 0 0 0 0 709 
_1.ptx 920 : 709 4254 0 0 0 0 0 0 0 
_1.ptx 922 : 709 3545 0 0 0 709 709 0 0 
