kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 1000000 7959059 0 0 0 0 0 0 0 
_1.ptx 101 : 5999970 92781661 0 0 0 3470673 1042790 0 0 
_1.ptx 102 : 5999970 44295616 0 0 0 0 0 0 0 
_1.ptx 104 : 5999970 49792191 0 0 0 0 0 0 0 
_1.ptx 106 : 5999970 67200647 0 0 0 0 0 0 0 
_1.ptx 107 : 5999970 106992352 0 0 0 4312540 1042790 0 0 
_1.ptx 108 : 5999970 37884049 0 0 0 0 0 0 0 
_1.ptx 109 : 5999970 50202863 0 0 0 0 0 0 0 
_1.ptx 110 : 5999970 25629137 0 0 0 0 0 0 448935 
_1.ptx 112 : 1930703 13947563 0 0 0 0 0 0 0 
_1.ptx 113 : 1930703 19974149 0 0 0 0 0 0 0 
_1.ptx 114 : 1930703 21933096 0 0 0 0 0 0 0 
_1.ptx 115 : 1930703 20646256 0 0 0 699737 699737 0 0 
_1.ptx 116 : 1930703 20072343 0 0 0 0 0 0 0 
_1.ptx 117 : 1930703 19908826 0 0 0 0 0 0 0 
_1.ptx 118 : 1930703 22064007 0 0 0 0 0 0 0 
_1.ptx 119 : 1930703 19720189 0 0 0 1491027 699737 0 0 
_1.ptx 121 : 1930703 12276538 0 0 0 0 0 0 0 
_1.ptx 122 : 1930703 15387886 0 0 0 0 0 0 0 
_1.ptx 123 : 1930703 21587490 0 0 0 0 0 0 0 
_1.ptx 124 : 1930703 20123276 0 0 0 1491027 699737 0 0 
_1.ptx 125 : 1930703 22564051 0 0 0 1035468 699737 0 0 
_1.ptx 126 : 1930703 18200616 0 0 0 1035468 699737 0 0 
_1.ptx 127 : 1930703 21792521 0 0 0 0 0 0 0 
_1.ptx 130 : 5999970 62135650 0 0 0 0 0 0 0 
_1.ptx 131 : 5999970 62782145 0 0 0 0 0 0 0 
_1.ptx 132 : 5999970 51959894 0 0 0 0 0 0 0 
_1.ptx 133 : 5999970 31711772 0 0 0 0 0 0 263038 
_1.ptx 137 : 12005376 78617408 0 0 0 0 0 0 0 
_1.ptx 154 : 12005376 78281792 0 0 0 0 0 0 0 
_1.ptx 155 : 12005376 162937664 0 0 0 0 0 0 0 
_1.ptx 156 : 12005376 81379200 0 0 0 0 0 0 0 
_1.ptx 157 : 12005376 138524672 0 0 0 0 0 0 0 
_1.ptx 158 : 12005376 38846752 0 0 0 0 0 0 0 
_1.ptx 159 : 12005376 97582720 0 0 0 0 0 0 0 
_1.ptx 160 : 12005376 33472 0 0 0 0 0 0 0 
_1.ptx 161 : 12000000 91229312 0 0 0 0 0 0 0 
_1.ptx 162 : 12000000 39249792 0 0 0 0 0 0 0 
_1.ptx 163 : 12000000 133668128 0 0 0 0 0 0 0 
_1.ptx 66 : 12005376 77530784 0 0 0 0 0 0 0 
_1.ptx 164 : 12000000 73010272 0 0 0 375000 375000 0 0 
_1.ptx 67 : 12005376 168100896 0 0 0 0 0 0 0 
_1.ptx 165 : 12000000 74347328 0 0 0 0 0 0 0 
_1.ptx 68 : 12005376 83730880 0 0 0 0 0 0 0 
_1.ptx 166 : 12000000 101073184 0 0 0 0 0 0 0 
_1.ptx 69 : 12005376 139580320 0 0 0 0 0 0 0 
_1.ptx 167 : 12000000 73566447 0 0 0 0 0 0 126183 
_1.ptx 70 : 12005376 45423520 0 0 0 0 0 0 0 
_1.ptx 71 : 12005376 99134016 0 0 0 0 0 0 0 
_1.ptx 169 : 999999 6289233 0 0 0 0 0 0 0 
_1.ptx 72 : 12005376 34816 0 0 0 0 0 0 0 
_1.ptx 170 : 999999 3481329 0 0 0 0 0 0 0 
_1.ptx 73 : 12000000 92627296 0 0 0 0 0 0 0 
_1.ptx 171 : 999999 11215238 0 0 0 0 0 0 0 
_1.ptx 74 : 12000000 46620928 0 0 0 0 0 0 0 
_1.ptx 172 : 999999 5378148 0 0 0 126183 126183 0 0 
_1.ptx 75 : 12000000 134554784 0 0 0 0 0 0 0 
_1.ptx 76 : 12000000 84133984 0 0 0 375000 375000 0 0 
_1.ptx 174 : 999999 6294241 0 0 0 0 0 0 0 
_1.ptx 77 : 12000000 75858112 0 0 0 0 0 0 0 
_1.ptx 175 : 999999 3559441 0 0 0 0 0 0 0 
_1.ptx 78 : 12000000 101446048 0 0 0 0 0 0 0 
_1.ptx 176 : 999999 11202915 0 0 0 0 0 0 0 
_1.ptx 79 : 12000000 73891314 0 0 0 0 0 0 126184 
_1.ptx 177 : 999999 5289171 0 0 0 126183 126183 0 0 
_1.ptx 81 : 1000000 6457303 0 0 0 0 0 0 0 
_1.ptx 179 : 999999 6305936 0 0 0 0 0 0 0 
_1.ptx 82 : 1000000 8282599 0 0 0 126184 126184 0 0 
_1.ptx 180 : 999999 3600970 0 0 0 0 0 0 0 
_1.ptx 181 : 999999 5348746 0 0 0 126183 126183 0 0 
_1.ptx 84 : 1000000 7216497 0 0 0 0 0 0 0 
_1.ptx 85 : 1000000 10548185 0 0 0 0 0 0 0 
_1.ptx 183 : 999999 6227827 0 0 0 0 0 0 0 
_1.ptx 86 : 1000000 11506052 0 0 0 0 0 0 0 
_1.ptx 184 : 999999 5276731 0 0 0 126183 126183 0 0 
_1.ptx 87 : 1000000 13354177 0 0 0 216793 126184 0 0 
_1.ptx 88 : 1000000 7535975 0 0 0 0 0 0 0 
_1.ptx 89 : 1000000 9517911 0 0 0 216793 126184 0 0 
_1.ptx 90 : 1000000 11339693 0 0 0 0 0 0 0 
_1.ptx 188 : 12005376 77510720 0 0 0 0 0 0 0 
_1.ptx 91 : 1000000 8436503 0 0 0 0 0 0 0 
_1.ptx 92 : 1000000 0 0 0 0 0 0 0 0 
_1.ptx 93 : 1000000 7744286 0 0 0 0 0 0 0 
_1.ptx 94 : 1000000 7573256 0 0 0 0 0 0 0 
_1.ptx 95 : 1000000 10680420 0 0 0 0 0 0 0 
_1.ptx 96 : 1000000 11547358 0 0 0 0 0 0 0 
