kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 360448 1199584 0 0 0 0 0 0 0 
_1.ptx 99 : 360448 2233632 0 0 0 0 0 0 0 
_1.ptx 100 : 360448 2233344 0 0 0 0 0 0 0 
_1.ptx 101 : 360448 4370528 0 0 0 0 0 0 0 
_1.ptx 102 : 360448 2243360 0 0 0 0 0 0 0 
_1.ptx 104 : 360448 4876608 0 0 0 0 0 0 0 
_1.ptx 106 : 360448 2254336 0 0 0 0 0 0 0 
_1.ptx 108 : 360448 2732448 0 0 0 0 0 0 0 
_1.ptx 109 : 360448 2597995 0 0 0 0 0 0 704 
_1.ptx 112 : 704 5078 0 0 0 0 0 0 0 
_1.ptx 113 : 704 1336265 0 0 0 704 704 0 0 
_1.ptx 117 : 11306 1922393 0 0 0 11306 11306 0 0 
_1.ptx 118 : 11306 90456 0 0 0 0 0 0 0 
_1.ptx 119 : 11306 63622 0 0 0 0 0 0 0 
_1.ptx 123 : 360448 2200960 0 0 0 0 0 0 0 
_1.ptx 126 : 1966080 15022656 0 0 0 0 0 0 0 
_1.ptx 30 : 16384 3544576 128 0 0 0 0 0 0 
_1.ptx 128 : 1966080 14840320 0 0 0 0 0 0 0 
_1.ptx 129 : 1966080 11846720 0 0 0 0 0 0 0 
_1.ptx 32 : 16384 98304 0 0 0 0 0 0 0 
_1.ptx 33 : 16384 98304 0 0 0 0 0 0 0 
_1.ptx 34 : 16384 98304 0 0 0 0 0 0 0 
_1.ptx 35 : 16384 212992 0 0 0 0 0 0 0 
_1.ptx 133 : 245760 1832704 0 0 0 0 0 0 0 
_1.ptx 134 : 245760 883360 0 0 0 0 0 0 0 
_1.ptx 37 : 16384 122880 0 0 0 0 0 0 0 
_1.ptx 38 : 16384 0 0 0 0 0 0 0 0 
_1.ptx 136 : 245760 2024448 0 0 0 0 0 0 0 
_1.ptx 137 : 245760 1489792 0 0 0 0 0 0 0 
_1.ptx 40 : 16384 129024 0 0 0 0 0 0 0 
_1.ptx 41 : 16384 115200 0 0 0 0 0 0 0 
_1.ptx 42 : 16384 121856 0 0 0 0 0 0 0 
_1.ptx 141 : 16384 108256 0 0 0 0 0 0 0 
_1.ptx 45 : 245760 1855520 0 0 0 0 0 0 0 
_1.ptx 46 : 245760 1833856 0 0 0 0 0 0 0 
_1.ptx 48 : 245760 0 0 0 0 0 0 0 0 
_1.ptx 51 : 245760 2120416 0 0 0 0 0 0 0 
_1.ptx 52 : 245760 2153120 0 0 0 0 0 0 0 
_1.ptx 55 : 1966080 21621888 0 0 0 0 0 0 0 
_1.ptx 57 : 1966080 18455360 0 0 0 0 0 0 0 
_1.ptx 58 : 1966080 23307616 0 0 0 0 0 0 0 
_1.ptx 60 : 1966080 23476736 0 0 0 0 0 0 0 
_1.ptx 61 : 1966080 6441088 0 0 0 0 0 0 0 
_1.ptx 62 : 1966080 15784992 0 0 0 0 0 0 0 
_1.ptx 64 : 1966080 31648768 0 0 0 0 0 0 0 
_1.ptx 65 : 1966080 22687232 0 0 0 0 0 0 0 
_1.ptx 67 : 1966080 34850880 0 0 0 0 0 0 0 
_1.ptx 68 : 1966080 22766912 0 0 0 0 0 0 0 
_1.ptx 69 : 1966080 185434720 0 0 0 94720 61440 0 0 
_1.ptx 70 : 1966080 211035136 0 0 0 94720 61440 0 0 
_1.ptx 71 : 1966080 16608640 0 0 0 0 0 0 0 
_1.ptx 72 : 1966080 16636224 0 0 0 0 0 0 0 
_1.ptx 74 : 1966080 6670464 0 0 0 0 0 0 10240 
_1.ptx 77 : 991232 6395392 0 0 0 54784 36096 0 0 
_1.ptx 78 : 991232 6432928 0 0 0 54784 36096 0 0 
_1.ptx 82 : 1966080 15418528 0 0 0 0 0 0 0 
_1.ptx 83 : 1966080 15621792 0 0 0 0 0 0 0 
_1.ptx 85 : 1966080 15635808 0 0 0 0 0 0 0 
_1.ptx 86 : 1966080 16893952 0 0 0 0 0 0 0 
_1.ptx 87 : 1966080 16877088 0 0 0 0 0 0 0 
_1.ptx 89 : 1966080 2276672 0 0 0 0 0 0 0 
_1.ptx 92 : 1605632 11367456 0 0 0 0 0 0 0 
_1.ptx 93 : 1605632 11557344 0 0 0 0 0 0 0 
