kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 196 : 729088 4435520 0 0 0 0 0 0 0 
_1.ptx 197 : 729088 4478720 0 0 0 0 0 0 0 
_1.ptx 201 : 131072 1457248 0 0 0 0 0 0 0 
_1.ptx 203 : 131072 797632 0 0 0 0 0 0 0 
_1.ptx 205 : 131072 878273 0 0 0 0 0 0 256 
_1.ptx 208 : 256 1679 0 0 0 0 0 0 0 
_1.ptx 209 : 256 44303 128 0 0 256 256 0 0 
_1.ptx 213 : 2721 432578 0 0 0 2721 2721 0 0 
_1.ptx 214 : 2721 21797 0 0 0 0 0 0 0 
_1.ptx 215 : 2721 14822 0 0 0 0 0 0 0 
_1.ptx 219 : 131072 844736 0 0 0 0 0 0 0 
_1.ptx 122 : 8192 2113024 128 0 0 0 0 0 0 
_1.ptx 124 : 8192 49152 0 0 0 0 0 0 0 
_1.ptx 222 : 860160 6122048 0 0 0 0 0 0 0 
_1.ptx 125 : 8192 49152 0 0 0 0 0 0 0 
_1.ptx 126 : 8192 154752 0 0 0 0 0 0 0 
_1.ptx 224 : 860160 6199648 0 0 0 0 0 0 0 
_1.ptx 127 : 8192 49152 0 0 0 0 0 0 0 
_1.ptx 225 : 860160 4870080 0 0 0 0 0 0 0 
_1.ptx 128 : 8192 126144 0 0 0 0 0 0 0 
_1.ptx 130 : 8192 60032 0 0 0 0 0 0 0 
_1.ptx 131 : 8192 65792 0 0 0 0 0 0 0 
_1.ptx 229 : 114688 830880 0 0 0 0 0 0 0 
_1.ptx 132 : 8192 61728 0 0 0 0 0 0 0 
_1.ptx 230 : 114688 653280 0 0 0 0 0 0 0 
_1.ptx 133 : 8192 108320 0 0 0 0 0 0 0 
_1.ptx 232 : 114688 942528 0 0 0 0 0 0 0 
_1.ptx 135 : 8192 68896 0 0 0 0 0 0 0 
_1.ptx 233 : 114688 706656 0 0 0 0 0 0 0 
_1.ptx 136 : 8192 0 0 0 0 0 0 0 0 
_1.ptx 138 : 8192 66784 0 0 0 0 0 0 0 
_1.ptx 237 : 8192 52032 0 0 0 0 0 0 0 
_1.ptx 140 : 8192 56288 0 0 0 0 0 0 0 
_1.ptx 142 : 8192 62176 0 0 0 0 0 0 0 
_1.ptx 143 : 8192 56640 0 0 0 0 0 0 0 
_1.ptx 144 : 8192 56192 0 0 0 0 0 0 0 
_1.ptx 147 : 114688 882272 0 0 0 0 0 0 0 
_1.ptx 148 : 114688 911104 0 0 0 0 0 0 0 
_1.ptx 150 : 114688 0 0 0 0 0 0 0 0 
_1.ptx 153 : 114688 1003296 0 0 0 0 0 0 0 
_1.ptx 154 : 114688 953856 0 0 0 0 0 0 0 
_1.ptx 157 : 860160 9158016 0 0 0 0 0 0 0 
_1.ptx 159 : 860160 7648320 0 0 0 0 0 0 0 
_1.ptx 160 : 860160 9974112 0 0 0 0 0 0 0 
_1.ptx 162 : 860160 9856672 0 0 0 0 0 0 0 
_1.ptx 163 : 860160 4661216 0 0 0 0 0 0 0 
_1.ptx 164 : 860160 6775744 0 0 0 0 0 0 0 
_1.ptx 166 : 860160 12322816 0 0 0 0 0 0 0 
_1.ptx 167 : 860160 9668832 0 0 0 0 0 0 0 
_1.ptx 169 : 860160 13165184 0 0 0 0 0 0 0 
_1.ptx 170 : 860160 9619136 0 0 0 0 0 0 0 
_1.ptx 171 : 860160 221180992 65280 0 0 42240 26880 0 0 
_1.ptx 172 : 860160 230905024 256 0 0 42240 26880 0 0 
_1.ptx 173 : 860160 6965952 0 0 0 0 0 0 0 
_1.ptx 174 : 860160 6964544 0 0 0 0 0 0 0 
_1.ptx 176 : 860160 2615328 0 0 0 0 0 0 5120 
_1.ptx 179 : 434176 115405296 0 0 0 24832 16128 0 0 
_1.ptx 180 : 434176 117971248 0 0 0 24832 16128 0 0 
_1.ptx 181 : 434176 16415136 0 0 0 24832 16128 0 0 
_1.ptx 182 : 434176 18803680 0 0 0 24832 16128 0 0 
_1.ptx 186 : 860160 6138848 0 0 0 0 0 0 0 
_1.ptx 187 : 860160 6156960 0 0 0 0 0 0 0 
_1.ptx 189 : 860160 6152960 0 0 0 0 0 0 0 
_1.ptx 190 : 860160 6986528 0 0 0 0 0 0 0 
_1.ptx 191 : 860160 6962208 0 0 0 0 0 0 0 
_1.ptx 193 : 860160 808352 0 0 0 0 0 0 0 
