kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 293 : 2986 498163 128 0 0 2986 2986 0 0 
_1.ptx 196 : 114688 995328 0 0 0 0 0 0 0 
_1.ptx 294 : 2986 23935 0 0 0 0 0 0 0 
_1.ptx 197 : 114688 938272 0 0 0 0 0 0 0 
_1.ptx 295 : 2986 16412 0 0 0 0 0 0 0 
_1.ptx 200 : 860160 9137376 0 0 0 0 0 0 0 
_1.ptx 299 : 131072 803712 0 0 0 0 0 0 0 
_1.ptx 202 : 860160 7651360 0 0 0 0 0 0 0 
_1.ptx 203 : 860160 9903040 0 0 0 0 0 0 0 
_1.ptx 204 : 860160 4215232 0 0 0 0 0 0 0 
_1.ptx 302 : 860160 6122688 0 0 0 0 0 0 0 
_1.ptx 205 : 860160 7117056 0 0 0 0 0 0 0 
_1.ptx 304 : 860160 6168384 0 0 0 0 0 0 0 
_1.ptx 207 : 860160 11622112 0 0 0 0 0 0 0 
_1.ptx 305 : 860160 4886144 0 0 0 0 0 0 0 
_1.ptx 208 : 860160 10134240 0 0 0 0 0 0 0 
_1.ptx 209 : 860160 10114368 0 0 0 0 0 0 0 
_1.ptx 210 : 860160 11937952 0 0 0 0 0 0 0 
_1.ptx 211 : 860160 9666400 0 0 0 0 0 0 0 
_1.ptx 309 : 114688 826208 0 0 0 0 0 0 0 
_1.ptx 310 : 114688 503072 0 0 0 0 0 0 0 
_1.ptx 213 : 860160 227432800 65536 0 0 42240 26880 0 0 
_1.ptx 214 : 860160 233144672 0 0 0 42240 26880 0 0 
_1.ptx 312 : 114688 944672 0 0 0 0 0 0 0 
_1.ptx 215 : 860160 6974848 0 0 0 0 0 0 0 
_1.ptx 313 : 114688 694144 0 0 0 0 0 0 0 
_1.ptx 216 : 860160 6966880 0 0 0 0 0 0 0 
_1.ptx 218 : 860160 2615360 0 0 0 0 0 0 5120 
_1.ptx 317 : 8192 51264 0 0 0 0 0 0 0 
_1.ptx 221 : 434176 117639664 0 0 0 24832 16128 0 0 
_1.ptx 223 : 434176 120085296 0 0 0 24832 16128 0 0 
_1.ptx 224 : 434176 16611680 0 0 0 24832 16128 0 0 
_1.ptx 226 : 434176 19054896 0 0 0 24832 16128 0 0 
