kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 142 : 860160 10203712 0 0 0 0 0 0 0 
_1.ptx 143 : 860160 9940288 0 0 0 0 0 0 0 
_1.ptx 144 : 860160 10000800 0 0 0 0 0 0 0 
_1.ptx 146 : 860160 9650336 0 0 0 0 0 0 0 
_1.ptx 147 : 860160 9931776 0 0 0 0 0 0 0 
_1.ptx 148 : 860160 148694176 65536 0 0 42240 26880 0 0 
_1.ptx 149 : 860160 147866976 0 0 0 42240 26880 0 0 
_1.ptx 150 : 860160 6973376 0 0 0 0 0 0 0 
_1.ptx 151 : 860160 6955104 0 0 0 0 0 0 0 
_1.ptx 153 : 860160 2574832 0 0 0 0 0 0 5120 
_1.ptx 156 : 434176 11068624 0 0 0 24832 16128 0 0 
_1.ptx 157 : 434176 12061056 0 0 0 24832 16128 0 0 
_1.ptx 161 : 860160 5197472 0 0 0 0 0 0 0 
_1.ptx 121 : 860160 4107680 128 0 0 0 0 0 0 
_1.ptx 122 : 860160 4009120 0 0 0 0 0 0 0 
_1.ptx 123 : 860160 3827712 0 0 0 0 0 0 0 
_1.ptx 124 : 860160 6535456 0 0 0 0 0 0 0 
_1.ptx 126 : 860160 5876896 0 0 0 0 0 0 0 
_1.ptx 127 : 860160 5949120 0 0 0 0 0 0 0 
_1.ptx 128 : 860160 6055296 0 0 0 0 0 0 0 
_1.ptx 129 : 860160 11518144 0 0 0 0 0 0 0 
_1.ptx 131 : 860160 7175296 0 0 0 0 0 0 0 
_1.ptx 132 : 860160 10286048 0 0 0 0 0 0 0 
_1.ptx 133 : 860160 7720608 0 0 0 0 0 0 0 
_1.ptx 134 : 860160 8003456 0 0 0 0 0 0 0 
_1.ptx 135 : 860160 7551872 0 0 0 0 0 0 0 
_1.ptx 136 : 860160 7620608 0 0 0 0 0 0 0 
_1.ptx 137 : 860160 9933792 0 0 0 0 0 0 0 
_1.ptx 139 : 860160 7874016 0 0 0 0 0 0 0 
_1.ptx 140 : 860160 10260064 0 0 0 0 0 0 0 
