kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 98 : 1966080 15616192 0 0 0 0 0 0 0 
_1.ptx 99 : 1966080 16721248 0 0 0 0 0 0 0 
_1.ptx 100 : 1966080 16848672 0 0 0 0 0 0 0 
_1.ptx 102 : 1966080 2270848 0 0 0 0 0 0 0 
_1.ptx 105 : 1605632 11465280 0 0 0 0 0 0 0 
_1.ptx 106 : 1605632 11801120 0 0 0 0 0 0 0 
_1.ptx 110 : 360448 1252288 0 0 0 0 0 0 0 
_1.ptx 112 : 360448 3650944 0 0 0 0 0 0 0 
_1.ptx 114 : 360448 2592608 0 0 0 0 0 0 0 
_1.ptx 115 : 360448 2211759 0 0 0 0 0 0 704 
_1.ptx 117 : 704 2284 0 0 0 0 0 0 0 
_1.ptx 118 : 704 5028 0 0 0 0 0 0 0 
_1.ptx 120 : 704 7219 0 0 0 0 0 0 0 
_1.ptx 121 : 704 7821 0 0 0 0 0 0 0 
_1.ptx 122 : 704 3802 0 0 0 704 704 0 0 
_1.ptx 126 : 360448 2560416 0 0 0 0 0 0 0 
_1.ptx 127 : 360448 2119776 0 0 0 0 0 0 0 
_1.ptx 30 : 16384 1917440 128 0 0 0 0 0 0 
_1.ptx 31 : 16384 1700352 0 0 0 0 0 0 0 
_1.ptx 32 : 16384 521216 0 0 0 0 0 0 0 
_1.ptx 130 : 11264 68832 0 0 0 0 0 0 0 
_1.ptx 33 : 16384 115200 0 0 0 0 0 0 0 
_1.ptx 34 : 16384 119808 0 0 0 0 0 0 0 
_1.ptx 132 : 11264 90944 0 0 0 0 0 0 0 
_1.ptx 133 : 11264 64480 0 0 0 0 0 0 0 
_1.ptx 36 : 16384 121344 0 0 0 0 0 0 0 
_1.ptx 37 : 16384 0 0 0 0 0 0 0 0 
_1.ptx 137 : 866 1185751 0 0 0 37 37 0 0 
_1.ptx 40 : 16384 143904 0 0 0 0 0 0 0 
_1.ptx 138 : 866 6928 0 0 0 0 0 0 0 
_1.ptx 139 : 866 972 0 0 0 0 0 0 11 
_1.ptx 42 : 16384 276256 0 0 0 0 0 0 0 
_1.ptx 43 : 16384 217248 0 0 0 0 0 0 0 
_1.ptx 45 : 16384 148192 0 0 0 0 0 0 0 
_1.ptx 143 : 11264 68064 0 0 0 0 0 0 0 
_1.ptx 47 : 16384 300896 0 0 0 0 0 0 0 
_1.ptx 145 : 11264 63584 0 0 0 0 0 0 0 
_1.ptx 48 : 16384 197792 0 0 0 0 0 0 0 
_1.ptx 49 : 16384 124672 0 0 0 0 0 0 0 
_1.ptx 147 : 704 2112 0 0 0 0 0 0 0 
_1.ptx 50 : 16384 126944 0 0 0 0 0 0 0 
_1.ptx 148 : 704 4928 0 0 0 0 0 0 0 
_1.ptx 150 : 704 7040 0 0 0 0 0 0 0 
_1.ptx 53 : 245760 1883264 0 0 0 0 0 0 0 
_1.ptx 151 : 704 7744 0 0 0 0 0 0 0 
_1.ptx 54 : 245760 1835968 0 0 0 0 0 0 0 
_1.ptx 152 : 704 3520 0 0 0 22 22 0 0 
_1.ptx 56 : 245760 0 0 0 0 0 0 0 0 
_1.ptx 156 : 360448 2178222 0 0 0 0 0 0 704 
_1.ptx 59 : 245760 1757600 0 0 0 0 0 0 0 
_1.ptx 60 : 245760 3271008 0 0 0 0 0 0 0 
_1.ptx 62 : 245760 2248064 0 0 0 0 0 0 0 
_1.ptx 160 : 59815 1001811 0 0 0 59815 59815 0 0 
_1.ptx 63 : 245760 2191040 0 0 0 0 0 0 0 
_1.ptx 161 : 59815 478725 0 0 0 0 0 0 0 
_1.ptx 162 : 59815 354820 0 0 0 0 0 0 0 
_1.ptx 66 : 1966080 21458688 0 0 0 0 0 0 0 
_1.ptx 68 : 1966080 17903488 0 0 0 0 0 0 0 
_1.ptx 166 : 360448 2195104 0 0 0 0 0 0 0 
_1.ptx 69 : 1966080 16831552 0 0 0 0 0 0 0 
_1.ptx 71 : 1966080 23360256 0 0 0 0 0 0 0 
_1.ptx 169 : 1966080 14722848 0 0 0 0 0 0 0 
_1.ptx 73 : 1966080 22843488 0 0 0 0 0 0 0 
_1.ptx 171 : 1966080 14604864 0 0 0 0 0 0 0 
_1.ptx 74 : 1966080 6283264 0 0 0 0 0 0 0 
_1.ptx 172 : 1966080 11614336 0 0 0 0 0 0 0 
_1.ptx 75 : 1966080 16291680 0 0 0 0 0 0 0 
_1.ptx 77 : 1966080 29678496 0 0 0 0 0 0 0 
_1.ptx 78 : 1966080 22646784 0 0 0 0 0 0 0 
_1.ptx 176 : 245760 1846048 0 0 0 0 0 0 0 
_1.ptx 177 : 245760 812416 0 0 0 0 0 0 0 
_1.ptx 80 : 1966080 33271360 0 0 0 0 0 0 0 
_1.ptx 81 : 1966080 22580768 0 0 0 0 0 0 0 
_1.ptx 179 : 245760 2038208 0 0 0 0 0 0 0 
_1.ptx 82 : 1966080 183342816 0 0 0 94720 61440 0 0 
_1.ptx 180 : 245760 1540928 0 0 0 0 0 0 0 
_1.ptx 83 : 1966080 212834528 0 0 0 94720 61440 0 0 
_1.ptx 84 : 1966080 16605568 0 0 0 0 0 0 0 
_1.ptx 85 : 1966080 16554016 0 0 0 0 0 0 0 
_1.ptx 184 : 16384 110912 0 0 0 0 0 0 0 
_1.ptx 87 : 1966080 6509504 0 0 0 0 0 0 10240 
_1.ptx 90 : 991232 6476448 0 0 0 54784 36096 0 0 
_1.ptx 91 : 991232 6521904 0 0 0 54784 36096 0 0 
_1.ptx 95 : 1966080 15323360 0 0 0 0 0 0 0 
_1.ptx 96 : 1966080 15362272 0 0 0 0 0 0 0 
