kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 4000000 51101824 0 0 0 0 0 0 0 
_1.ptx 200 : 4000000 51155616 0 0 0 0 0 0 0 
_1.ptx 202 : 4000000 31402496 0 0 0 0 0 0 0 
_1.ptx 204 : 4000000 39558976 0 0 0 0 0 0 0 
_1.ptx 205 : 4000000 32520352 0 0 0 0 0 0 0 
_1.ptx 208 : 61440 501440 0 0 0 0 0 0 0 
_1.ptx 67 : 61440 487744 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 498624 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 3385280 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 477504 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 761632 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 568544 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 3981280 128 0 0 0 0 0 0 
_1.ptx 74 : 61440 590784 0 0 0 0 0 0 0 
_1.ptx 75 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 345088 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 496640 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 849696 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 502592 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 3271840 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 539840 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 3188896 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 536096 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 508736 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 850944 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 327360 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 749408 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 3385568 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 465280 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 749440 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 364128 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 749184 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 443872 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 745536 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 395008 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 746464 0 0 0 0 0 0 0 
_1.ptx 100 : 4000000 1819513696 16000000 0 0 125000 125000 0 0 
_1.ptx 101 : 4000000 1833346400 16000000 0 0 125000 125000 0 0 
_1.ptx 102 : 4000000 1847998016 16000000 0 0 125000 125000 0 0 
_1.ptx 104 : 4000000 52160992 0 0 0 0 0 0 0 
_1.ptx 106 : 4000000 59100256 0 0 0 0 0 0 0 
_1.ptx 107 : 4000000 413824096 0 0 0 0 0 0 0 
_1.ptx 108 : 4000000 282736576 0 0 0 0 0 0 0 
_1.ptx 109 : 4000000 35589664 0 0 0 0 0 0 0 
_1.ptx 110 : 4000000 290698464 0 0 0 0 0 0 0 
_1.ptx 112 : 4000000 30553216 0 0 0 0 0 0 0 
_1.ptx 114 : 4000000 60899040 0 0 0 0 0 0 0 
_1.ptx 115 : 4000000 31982688 0 0 0 0 0 0 0 
_1.ptx 116 : 4000000 60777632 0 0 0 0 0 0 0 
_1.ptx 117 : 4000000 33168736 0 0 0 0 0 0 0 
_1.ptx 118 : 4000000 57769408 0 0 0 0 0 0 0 
_1.ptx 119 : 4000000 290048928 0 0 0 0 0 0 0 
_1.ptx 120 : 4000000 55422592 0 0 0 0 0 0 0 
_1.ptx 121 : 4000000 55984032 0 0 0 0 0 0 0 
_1.ptx 122 : 4000000 414953632 0 0 0 0 0 0 0 
_1.ptx 123 : 4000000 50250016 0 0 0 0 0 0 0 
_1.ptx 124 : 4000000 49847488 0 0 0 0 0 0 0 
_1.ptx 125 : 4000000 31978720 0 0 0 0 0 0 0 
_1.ptx 126 : 4000000 39034784 0 0 0 0 0 0 0 
_1.ptx 127 : 4000000 32866496 0 0 0 0 0 0 0 
_1.ptx 128 : 4000000 55292064 0 0 0 0 0 0 0 
_1.ptx 129 : 4000000 38125600 0 0 0 0 0 0 0 
_1.ptx 130 : 4000000 33882112 0 0 0 0 0 0 0 
_1.ptx 131 : 4000000 38448832 0 0 0 0 0 0 0 
_1.ptx 132 : 4000000 32924864 0 0 0 0 0 0 0 
_1.ptx 133 : 4000000 54775968 0 0 0 0 0 0 0 
_1.ptx 134 : 4000000 36745472 0 0 0 0 0 0 0 
_1.ptx 135 : 4000000 56261216 0 0 0 0 0 0 0 
_1.ptx 136 : 4000000 34068064 0 0 0 0 0 0 0 
_1.ptx 137 : 4000000 34677760 0 0 0 0 0 0 0 
_1.ptx 138 : 4000000 55960544 0 0 0 0 0 0 0 
_1.ptx 139 : 4000000 55085472 0 0 0 0 0 0 0 
_1.ptx 140 : 4000000 34674720 0 0 0 0 0 0 0 
_1.ptx 141 : 4000000 36220096 0 0 0 0 0 0 0 
_1.ptx 142 : 4000000 56380800 0 0 0 0 0 0 0 
_1.ptx 143 : 4000000 31927712 0 0 0 0 0 0 0 
_1.ptx 144 : 4000000 57061856 0 0 0 0 0 0 0 
_1.ptx 145 : 4000000 282495456 0 0 0 0 0 0 0 
_1.ptx 146 : 4000000 32558656 0 0 0 0 0 0 0 
_1.ptx 147 : 4000000 56200928 0 0 0 0 0 0 0 
_1.ptx 148 : 4000000 291960672 0 0 0 0 0 0 0 
