kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 3493 : 30208 187200 0 0 0 0 0 0 0 
_1.ptx 3494 : 30208 187232 0 0 0 0 0 0 0 
_1.ptx 3495 : 30208 587008 0 0 0 0 0 0 0 
_1.ptx 3496 : 30208 336672 0 0 0 0 0 0 0 
_1.ptx 3497 : 30208 228256 0 0 0 0 0 0 0 
_1.ptx 3498 : 30208 596192 0 0 0 0 0 0 0 
_1.ptx 3499 : 30208 3967872 128 0 0 0 0 0 0 
_1.ptx 3500 : 30208 335680 0 0 0 0 0 0 0 
_1.ptx 3501 : 30208 10659744 119936 0 0 944 944 0 0 
_1.ptx 3502 : 30208 356736 0 0 0 0 0 0 0 
_1.ptx 3503 : 30208 243360 0 0 0 0 0 0 0 
_1.ptx 3504 : 30208 0 0 0 0 0 0 0 0 
_1.ptx 3506 : 30208 2185696 0 0 0 0 0 0 0 
_1.ptx 3507 : 30208 533248 0 0 0 0 0 0 0 
_1.ptx 3508 : 30208 245184 0 0 0 0 0 0 0 
_1.ptx 3510 : 30208 217216 0 0 0 0 0 0 0 
_1.ptx 3512 : 30208 339232 0 0 0 0 0 0 0 
_1.ptx 3513 : 30208 231104 0 0 0 0 0 0 0 
_1.ptx 3514 : 30208 521440 0 0 0 0 0 0 0 
_1.ptx 3515 : 30208 341536 0 0 0 0 0 0 0 
_1.ptx 3516 : 30208 11945184 240256 0 0 1888 944 0 0 
_1.ptx 3517 : 30208 338848 0 0 0 0 0 0 0 
_1.ptx 3518 : 30208 233504 0 0 0 0 0 0 0 
_1.ptx 3519 : 30208 443520 0 0 0 0 0 0 0 
_1.ptx 3520 : 30208 338432 0 0 0 0 0 0 0 
_1.ptx 3521 : 30208 7515680 0 0 0 1888 944 0 0 
_1.ptx 3523 : 30208 335072 0 0 0 0 0 0 0 
_1.ptx 3524 : 30208 184096 0 0 0 0 0 0 0 
_1.ptx 3525 : 30208 244768 0 0 0 0 0 0 0 
_1.ptx 3526 : 30208 142152 0 0 0 0 0 0 400 
_1.ptx 3528 : 6995 94645 0 0 0 0 0 0 0 
_1.ptx 3529 : 6995 77506 0 0 0 0 0 0 0 
_1.ptx 3530 : 6995 2449429 60416 0 0 472 472 0 0 
_1.ptx 3531 : 6995 77368 0 0 0 0 0 0 0 
_1.ptx 3532 : 6995 70308 0 0 0 472 472 0 0 
_1.ptx 3533 : 6995 43129 0 0 0 0 0 0 0 
_1.ptx 3536 : 23213 269570 0 0 0 0 0 0 0 
_1.ptx 3537 : 23213 256606 0 0 0 0 0 0 0 
_1.ptx 3538 : 23213 8761704 111616 0 0 872 872 0 0 
_1.ptx 3539 : 23213 256426 0 0 0 0 0 0 0 
_1.ptx 3540 : 23213 246532 0 0 0 872 872 0 0 
_1.ptx 3543 : 30208 3300576 0 0 0 944 944 0 0 
_1.ptx 3545 : 30208 242464 0 0 0 0 0 0 0 
_1.ptx 3547 : 30208 246720 0 0 0 0 0 0 0 
_1.ptx 3550 : 30208 0 0 0 0 0 0 0 0 
_1.ptx 3551 : 30208 186400 0 0 0 0 0 0 0 
_1.ptx 3552 : 30208 5057440 0 0 0 0 0 0 0 
_1.ptx 3553 : 30208 497952 0 0 0 0 0 0 0 
_1.ptx 3554 : 30208 340416 0 0 0 0 0 0 0 
_1.ptx 72 : 34048 212640 0 0 0 0 0 0 0 
_1.ptx 3555 : 30208 311904 0 0 0 0 0 0 0 
_1.ptx 73 : 34048 213824 0 0 0 0 0 0 0 
_1.ptx 3556 : 30208 252288 0 0 0 0 0 0 0 
_1.ptx 74 : 34048 280096 0 0 0 0 0 0 0 
_1.ptx 3557 : 30208 971 0 0 0 0 0 0 151 
_1.ptx 75 : 34048 211968 0 0 0 0 0 0 0 
_1.ptx 76 : 34048 225184 0 0 0 0 0 0 0 
_1.ptx 3559 : 30057 164852 0 0 0 0 0 0 0 
_1.ptx 77 : 34048 284704 0 0 0 0 0 0 0 
_1.ptx 3560 : 30057 336840 0 0 0 0 0 0 0 
_1.ptx 78 : 34048 255232 0 0 0 0 0 0 0 
_1.ptx 3561 : 30057 8647145 120064 0 0 944 944 0 0 
_1.ptx 79 : 34048 417120 0 0 0 0 0 0 0 
_1.ptx 3562 : 30057 200720 0 0 0 0 0 0 0 
_1.ptx 80 : 34048 266304 0 0 0 0 0 0 0 
_1.ptx 81 : 34048 408128 0 0 0 0 0 0 0 
_1.ptx 3564 : 30057 176505 0 0 0 0 0 0 0 
_1.ptx 82 : 34048 109184 0 0 0 0 0 0 0 
_1.ptx 83 : 34048 292896 0 0 0 0 0 0 0 
_1.ptx 3566 : 30057 540362 0 0 0 0 0 0 0 
_1.ptx 84 : 34048 395872 0 0 0 0 0 0 0 
_1.ptx 3567 : 30057 1511490 256 0 0 1851 944 0 0 
_1.ptx 85 : 34048 277408 0 0 0 0 0 0 0 
_1.ptx 3568 : 30057 525756 0 0 0 0 0 0 0 
_1.ptx 86 : 34048 435584 0 0 0 0 0 0 0 
_1.ptx 3569 : 30057 167502 0 0 0 0 0 0 0 
_1.ptx 87 : 34048 106880 0 0 0 0 0 0 0 
_1.ptx 3570 : 30057 337219 0 0 0 0 0 0 0 
_1.ptx 88 : 34048 378848 0 0 0 0 0 0 0 
_1.ptx 3571 : 30057 229207 0 0 0 0 0 0 0 
_1.ptx 89 : 34048 11449760 98944 0 0 1064 1064 0 0 
_1.ptx 3572 : 30057 529359 0 0 0 0 0 0 0 
_1.ptx 3573 : 30057 338909 0 0 0 0 0 0 0 
_1.ptx 91 : 34048 209888 0 0 0 0 0 0 0 
_1.ptx 3574 : 30057 1845500 128 0 0 944 944 0 0 
_1.ptx 92 : 34048 278176 0 0 0 0 0 0 0 
_1.ptx 3575 : 30057 340541 0 0 0 0 0 0 0 
_1.ptx 93 : 34048 167986 0 0 0 0 0 0 432 
_1.ptx 3576 : 30057 233808 0 0 0 0 0 0 0 
_1.ptx 94 : 6914 89632 0 0 0 0 0 0 0 
_1.ptx 3577 : 30057 520516 0 0 0 0 0 0 0 
_1.ptx 95 : 6914 77090 0 0 0 0 0 0 0 
_1.ptx 3578 : 30057 338679 0 0 0 0 0 0 0 
_1.ptx 96 : 6914 2277496 62848 0 0 491 491 0 0 
_1.ptx 3579 : 30057 524739 0 0 0 0 0 0 0 
_1.ptx 97 : 6914 42436 0 0 0 0 0 0 0 
_1.ptx 3580 : 30057 160154 0 0 0 944 944 0 0 
_1.ptx 98 : 6914 57018 0 0 0 0 0 0 0 
_1.ptx 3581 : 30057 559821 0 0 0 0 0 0 0 
_1.ptx 99 : 6914 43834 0 0 0 0 0 0 0 
_1.ptx 3582 : 30057 251728 0 0 0 0 0 0 0 
_1.ptx 3583 : 30057 0 0 0 0 0 0 0 0 
_1.ptx 3585 : 30057 122827 0 0 0 0 0 0 0 
_1.ptx 3587 : 30057 340757 0 0 0 0 0 0 0 
_1.ptx 3588 : 30057 237500 0 0 0 0 0 0 0 
_1.ptx 3589 : 30057 489188 0 0 0 0 0 0 0 
_1.ptx 3591 : 30057 125610 0 0 0 0 0 0 0 
_1.ptx 3593 : 30057 340189 0 0 0 0 0 0 0 
_1.ptx 3594 : 30057 141703 0 0 0 944 944 0 0 
_1.ptx 3595 : 30057 510139 0 0 0 0 0 0 0 
_1.ptx 3596 : 30057 233796 0 0 0 0 0 0 0 
_1.ptx 3597 : 30057 240564 0 0 0 0 0 0 0 
_1.ptx 3598 : 30057 347664 0 0 0 0 0 0 0 
_1.ptx 3599 : 30057 237260 0 0 0 0 0 0 0 
_1.ptx 3600 : 30057 498190 0 0 0 0 0 0 0 
_1.ptx 3601 : 30057 341596 0 0 0 0 0 0 0 
_1.ptx 3602 : 30057 148915 0 0 0 944 944 0 0 
_1.ptx 3603 : 30057 527105 0 0 0 0 0 0 0 
_1.ptx 3604 : 30057 340470 0 0 0 0 0 0 0 
_1.ptx 3605 : 30057 354451 0 0 0 0 0 0 0 
_1.ptx 3606 : 30057 273914 0 0 0 0 0 0 0 
_1.ptx 3607 : 30057 218112 0 0 0 0 0 0 0 
_1.ptx 126 : 27134 169465 0 0 0 0 0 0 0 
_1.ptx 127 : 27134 121699 0 0 0 0 0 0 0 
_1.ptx 128 : 27134 301894 0 0 0 0 0 0 0 
_1.ptx 129 : 27134 349518 2944 0 0 1005 1005 0 0 
_1.ptx 130 : 27134 168714 0 0 0 0 0 0 0 
_1.ptx 134 : 6914 77812 0 0 0 0 0 0 0 
_1.ptx 135 : 6914 76881 0 0 0 0 0 0 0 
_1.ptx 136 : 6914 1585405 31616 0 0 491 491 0 0 
_1.ptx 137 : 6914 1684284 14848 0 0 721 491 0 0 
_1.ptx 138 : 6914 71511 0 0 0 0 0 0 0 
_1.ptx 139 : 6914 56818 0 0 0 0 0 0 0 
_1.ptx 140 : 6914 43313 0 0 0 0 0 0 0 
_1.ptx 145 : 6914 666156 1536 0 0 706 491 0 0 
_1.ptx 146 : 6914 71408 0 0 0 0 0 0 0 
_1.ptx 147 : 6914 56949 0 0 0 0 0 0 0 
_1.ptx 3630 : 30057 360774 0 0 0 0 0 0 0 
_1.ptx 148 : 6914 44023 0 0 0 0 0 0 0 
_1.ptx 3631 : 30057 217648 0 0 0 0 0 0 0 
_1.ptx 3632 : 30057 265576 0 0 0 0 0 0 0 
_1.ptx 3633 : 30057 213507 0 0 0 0 0 0 0 
_1.ptx 157 : 6914 27243 0 0 0 0 0 0 0 
_1.ptx 159 : 6914 77286 0 0 0 0 0 0 0 
_1.ptx 160 : 6914 50702 0 0 0 0 0 0 0 
_1.ptx 3643 : 30057 113339 0 0 0 0 0 0 0 
_1.ptx 161 : 6914 72670 0 0 0 0 0 0 0 
_1.ptx 3644 : 30057 332632 0 0 0 0 0 0 0 
_1.ptx 162 : 6914 25254 0 0 0 0 0 0 0 
_1.ptx 3645 : 30057 5865043 9216 0 0 944 944 0 0 
_1.ptx 163 : 6914 77330 0 0 0 0 0 0 0 
_1.ptx 3646 : 30057 333497 0 0 0 0 0 0 0 
_1.ptx 164 : 6914 227409 4608 0 0 491 491 0 0 
_1.ptx 3647 : 30057 201949 0 0 0 944 944 0 0 
_1.ptx 165 : 6914 71547 0 0 0 0 0 0 0 
_1.ptx 166 : 6914 57287 0 0 0 0 0 0 0 
_1.ptx 167 : 6914 44396 0 0 0 0 0 0 0 
_1.ptx 3650 : 30057 336282 0 0 0 0 0 0 0 
_1.ptx 3651 : 30057 335808 0 0 0 0 0 0 0 
_1.ptx 3652 : 30057 123198 0 0 0 0 0 0 0 
_1.ptx 3653 : 30057 337886 0 0 0 0 0 0 0 
_1.ptx 3654 : 30057 112963 0 0 0 0 0 0 0 
_1.ptx 3655 : 30057 347804 0 0 0 0 0 0 0 
_1.ptx 3656 : 30057 199434 0 0 0 0 0 0 0 
_1.ptx 3657 : 30057 251540 0 0 0 0 0 0 0 
_1.ptx 3658 : 30057 204424 0 0 0 0 0 0 0 
_1.ptx 176 : 6914 26327 0 0 0 0 0 0 0 
_1.ptx 178 : 6914 76822 0 0 0 0 0 0 0 
_1.ptx 179 : 6914 50644 0 0 0 0 0 0 0 
_1.ptx 180 : 6914 74432 0 0 0 0 0 0 0 
_1.ptx 181 : 6914 32046 0 0 0 0 0 0 0 
_1.ptx 182 : 6914 77410 0 0 0 0 0 0 0 
_1.ptx 183 : 6914 202864 4096 0 0 491 491 0 0 
_1.ptx 184 : 6914 71803 0 0 0 0 0 0 0 
_1.ptx 185 : 6914 57940 0 0 0 0 0 0 0 
_1.ptx 186 : 6914 44539 0 0 0 0 0 0 0 
_1.ptx 194 : 6914 43349 0 0 0 0 0 0 0 
_1.ptx 195 : 6914 57017 0 0 0 0 0 0 0 
_1.ptx 196 : 6914 0 0 0 0 0 0 0 0 
_1.ptx 197 : 6914 41562 0 0 0 0 0 0 0 
_1.ptx 198 : 6914 77177 0 0 0 0 0 0 0 
_1.ptx 199 : 6914 2506360 53376 0 0 491 491 0 0 
_1.ptx 200 : 6914 43358 0 0 0 0 0 0 0 
_1.ptx 201 : 6914 56548 0 0 0 0 0 0 0 
_1.ptx 202 : 6914 43026 0 0 0 0 0 0 0 
_1.ptx 3690 : 30057 191364 0 0 0 0 0 0 0 
_1.ptx 3691 : 30057 250231 0 0 0 0 0 0 0 
_1.ptx 3692 : 30057 186896 0 0 0 0 0 0 0 
_1.ptx 212 : 6914 43302 0 0 0 0 0 0 0 
_1.ptx 213 : 6914 25665 0 0 0 0 0 0 0 
_1.ptx 214 : 6914 77069 0 0 0 0 0 0 0 
_1.ptx 215 : 6914 39463 224 0 0 491 491 0 0 
_1.ptx 219 : 34048 210496 0 0 0 0 0 0 0 
_1.ptx 221 : 34048 122816 0 0 0 0 0 0 0 
_1.ptx 222 : 34048 282752 0 0 0 0 0 0 0 
_1.ptx 223 : 34048 0 0 0 0 0 0 0 0 
_1.ptx 224 : 34048 110304 0 0 0 0 0 0 0 
_1.ptx 225 : 34048 353248 0 0 0 0 0 0 0 
_1.ptx 226 : 34048 285952 0 0 0 0 0 0 0 
_1.ptx 227 : 34048 26025 0 0 0 0 0 0 152 
_1.ptx 228 : 30248 203125 0 0 0 0 0 0 0 
_1.ptx 229 : 30248 254907 0 0 0 0 0 0 0 
_1.ptx 230 : 30248 998 0 0 0 0 0 0 152 
_1.ptx 231 : 30096 101180 0 0 0 0 0 0 0 
