kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 60 : 291456 1916416 0 0 0 0 0 0 0 
_1.ptx 61 : 291456 1995392 0 0 0 0 0 0 0 
_1.ptx 62 : 291456 4329408 0 0 0 0 0 0 0 
_1.ptx 63 : 291456 1918272 0 0 0 0 0 0 0 
_1.ptx 64 : 291456 3268800 0 0 0 0 0 0 0 
_1.ptx 65 : 291456 969664 0 0 0 0 0 0 0 
_1.ptx 66 : 291456 966400 0 0 0 0 0 0 0 
_1.ptx 67 : 291456 2214528 0 0 0 0 0 0 0 
_1.ptx 68 : 291456 4043776 0 0 0 0 0 0 0 
_1.ptx 69 : 291456 3283072 0 0 0 0 0 0 0 
_1.ptx 70 : 291456 1552192 0 0 0 9108 9108 0 0 
_1.ptx 71 : 291456 1013760 0 0 0 0 0 0 0 
_1.ptx 72 : 291456 991168 0 0 0 0 0 0 0 
_1.ptx 73 : 291456 3283520 0 0 0 0 0 0 0 
_1.ptx 74 : 291456 2259648 0 0 0 0 0 0 0 
_1.ptx 75 : 291456 3963328 0 0 0 0 0 0 0 
_1.ptx 76 : 291456 3279488 0 0 0 0 0 0 0 
_1.ptx 77 : 291456 1567744 0 0 0 9108 9108 0 0 
_1.ptx 78 : 291456 992128 0 0 0 0 0 0 0 
_1.ptx 79 : 291456 4051456 0 0 0 0 0 0 0 
_1.ptx 80 : 291456 3273280 0 0 0 0 0 0 0 
_1.ptx 81 : 291456 2265216 0 0 0 0 0 0 0 
_1.ptx 82 : 291456 4127616 0 0 0 0 0 0 0 
_1.ptx 83 : 291456 3281856 0 0 0 0 0 0 0 
_1.ptx 84 : 291456 1528256 0 0 0 9108 9108 0 0 
_1.ptx 85 : 291456 1008832 0 0 0 0 0 0 0 
_1.ptx 86 : 291456 4112320 0 0 0 0 0 0 0 
_1.ptx 87 : 291456 3265024 0 0 0 0 0 0 0 
_1.ptx 88 : 291456 2231680 0 0 0 0 0 0 0 
_1.ptx 89 : 291456 4175872 0 0 0 0 0 0 0 
_1.ptx 90 : 291456 3284608 0 0 0 0 0 0 0 
