kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 409 : 2097152 17410752 0 0 0 0 0 0 0 
_1.ptx 410 : 2097152 17424640 0 0 0 0 0 0 0 
_1.ptx 411 : 2097152 15399552 0 0 0 0 0 0 0 
_1.ptx 412 : 2097152 18509504 0 0 0 0 0 0 0 
_1.ptx 413 : 2097152 15249024 0 0 0 0 0 0 0 
_1.ptx 67 : 1048576 18861216 128 0 0 0 0 0 0 
_1.ptx 68 : 1048576 6747200 0 0 0 0 0 0 0 
_1.ptx 69 : 1048576 11424608 0 0 0 0 0 0 0 
_1.ptx 70 : 1048576 6730752 0 0 0 0 0 0 0 
_1.ptx 71 : 1048576 8771008 0 0 0 0 0 0 0 
_1.ptx 72 : 1048576 13916192 0 0 0 0 0 0 0 
_1.ptx 73 : 1048576 8123808 0 0 0 0 0 0 0 
_1.ptx 74 : 1048576 7175104 0 0 0 0 0 0 0 
_1.ptx 75 : 1048576 13803936 0 0 0 0 0 0 0 
_1.ptx 76 : 1048576 8184704 0 0 0 0 0 0 0 
_1.ptx 77 : 1048576 13788672 0 0 0 0 0 0 0 
_1.ptx 78 : 1048576 8168064 0 0 0 0 0 0 0 
_1.ptx 79 : 1048576 9317280 0 0 0 0 0 0 0 
_1.ptx 80 : 1048576 8525888 0 0 0 0 0 0 0 
_1.ptx 81 : 1048576 18643840 0 0 0 0 0 0 0 
_1.ptx 82 : 1048576 14491360 0 0 0 0 0 0 0 
_1.ptx 83 : 1048576 15036608 0 0 0 0 0 0 0 
_1.ptx 84 : 1048576 9779968 0 0 0 0 0 0 0 
_1.ptx 85 : 1048576 55076512 0 0 0 0 0 0 0 
_1.ptx 86 : 1048576 7495328 0 0 0 0 0 0 0 
_1.ptx 87 : 1048576 7458816 0 0 0 0 0 0 0 
_1.ptx 88 : 1048576 7489504 0 0 0 0 0 0 0 
_1.ptx 89 : 1048576 7431360 0 0 0 0 0 0 0 
_1.ptx 93 : 2097152 17000416 0 0 0 0 0 0 0 
_1.ptx 94 : 2097152 15132256 0 0 0 0 0 0 0 
_1.ptx 95 : 2097152 18561024 0 0 0 0 0 0 0 
_1.ptx 96 : 2097152 24616704 0 0 0 0 0 0 0 
_1.ptx 97 : 2097152 17395776 0 0 0 0 0 0 0 
_1.ptx 98 : 2097152 24674912 0 0 0 0 0 0 0 
_1.ptx 99 : 2097152 17267488 0 0 0 0 0 0 0 
_1.ptx 100 : 2097152 23847200 0 0 0 0 0 0 0 
_1.ptx 101 : 2097152 24570208 0 0 0 0 0 0 0 
_1.ptx 102 : 2097152 2689272640 0 0 0 131072 65536 0 0 
_1.ptx 103 : 2097152 88142880 0 0 0 0 0 0 0 
_1.ptx 104 : 2097152 88835616 0 0 0 0 0 0 0 
_1.ptx 106 : 2097152 16975264 0 0 0 0 0 0 0 
_1.ptx 107 : 2097152 24358432 0 0 0 0 0 0 0 
_1.ptx 108 : 2097152 17051200 0 0 0 0 0 0 0 
_1.ptx 110 : 2097152 17154112 0 0 0 0 0 0 0 
_1.ptx 111 : 2097152 15039840 0 0 0 0 0 0 0 
_1.ptx 112 : 2097152 18399712 0 0 0 0 0 0 0 
_1.ptx 113 : 2097152 14899552 0 0 0 0 0 0 0 
_1.ptx 119 : 2097152 14896736 0 0 0 0 0 0 0 
_1.ptx 120 : 2097152 24367968 0 0 0 0 0 0 0 
_1.ptx 121 : 2097152 17018784 0 0 0 0 0 0 0 
_1.ptx 122 : 2097152 17021248 0 0 0 0 0 0 0 
_1.ptx 124 : 2097152 17055648 0 0 0 0 0 0 0 
_1.ptx 125 : 2097152 17039520 0 0 0 0 0 0 0 
_1.ptx 126 : 2097152 17078528 0 0 0 0 0 0 0 
_1.ptx 127 : 2097152 15111456 0 0 0 0 0 0 0 
_1.ptx 128 : 2097152 17023680 0 0 0 0 0 0 0 
_1.ptx 129 : 2097152 17146208 0 0 0 0 0 0 0 
_1.ptx 130 : 2097152 28465760 0 0 0 0 0 0 0 
_1.ptx 131 : 2097152 17144960 0 0 0 0 0 0 0 
_1.ptx 132 : 2097152 17110464 0 0 0 0 0 0 0 
_1.ptx 133 : 2097152 15147648 0 0 0 0 0 0 0 
_1.ptx 134 : 2097152 17069632 0 0 0 0 0 0 0 
_1.ptx 135 : 2097152 17183008 0 0 0 0 0 0 0 
_1.ptx 136 : 2097152 28449728 0 0 0 0 0 0 0 
_1.ptx 137 : 2097152 17184544 0 0 0 0 0 0 0 
_1.ptx 138 : 2097152 17150048 0 0 0 0 0 0 0 
_1.ptx 139 : 2097152 15194144 0 0 0 0 0 0 0 
_1.ptx 140 : 2097152 17109408 0 0 0 0 0 0 0 
_1.ptx 141 : 2097152 17195840 0 0 0 0 0 0 0 
_1.ptx 142 : 2097152 28472704 0 0 0 0 0 0 0 
_1.ptx 143 : 2097152 17237536 0 0 0 0 0 0 0 
_1.ptx 144 : 2097152 17224768 0 0 0 0 0 0 0 
_1.ptx 145 : 2097152 15248384 0 0 0 0 0 0 0 
_1.ptx 146 : 2097152 17143328 0 0 0 0 0 0 0 
_1.ptx 147 : 2097152 17234112 0 0 0 0 0 0 0 
_1.ptx 148 : 2097152 28479008 0 0 0 0 0 0 0 
_1.ptx 149 : 2097152 17282976 0 0 0 0 0 0 0 
_1.ptx 151 : 2097152 17181216 0 0 0 0 0 0 0 
_1.ptx 561 : 2097152 24853376 0 0 0 0 0 0 0 
_1.ptx 152 : 2097152 17434400 0 0 0 0 0 0 0 
_1.ptx 562 : 2097152 18184544 0 0 0 0 0 0 0 
_1.ptx 153 : 2097152 15166688 0 0 0 0 0 0 0 
_1.ptx 563 : 2097152 15828096 0 0 0 0 0 0 0 
_1.ptx 154 : 2097152 18516800 0 0 0 0 0 0 0 
_1.ptx 564 : 2097152 18497728 0 0 0 0 0 0 0 
_1.ptx 155 : 2097152 15063968 0 0 0 0 0 0 0 
_1.ptx 565 : 2097152 12340489 0 0 0 0 0 0 25600 
_1.ptx 567 : 394240 2838331 0 0 0 0 0 0 0 
_1.ptx 568 : 394240 3192132 0 0 0 0 0 0 0 
_1.ptx 569 : 394240 3200883 0 0 0 0 0 0 0 
_1.ptx 570 : 394240 2851633 0 0 0 0 0 0 0 
_1.ptx 571 : 394240 3201140 0 0 0 0 0 0 0 
_1.ptx 572 : 394240 5332090 0 0 0 0 0 0 0 
_1.ptx 573 : 394240 3228145 0 0 0 0 0 0 0 
_1.ptx 574 : 394240 3214072 0 0 0 0 0 0 0 
_1.ptx 575 : 394240 3213758 0 0 0 0 0 0 0 
_1.ptx 576 : 394240 2865800 0 0 0 0 0 0 0 
_1.ptx 577 : 394240 3200163 0 0 0 0 0 0 0 
_1.ptx 578 : 394240 5329851 0 0 0 0 0 0 0 
_1.ptx 579 : 394240 3207780 0 0 0 0 0 0 0 
_1.ptx 580 : 394240 3204289 0 0 0 0 0 0 0 
_1.ptx 581 : 394240 3212188 0 0 0 0 0 0 0 
_1.ptx 582 : 394240 2855076 0 0 0 0 0 0 0 
_1.ptx 583 : 394240 3191242 0 0 0 0 0 0 0 
_1.ptx 584 : 394240 5325384 0 0 0 0 0 0 0 
_1.ptx 585 : 394240 3189549 0 0 0 0 0 0 0 
_1.ptx 586 : 394240 3195119 0 0 0 0 0 0 0 
_1.ptx 587 : 394240 3204560 0 0 0 0 0 0 0 
_1.ptx 588 : 394240 2848544 0 0 0 0 0 0 0 
_1.ptx 589 : 394240 3176234 0 0 0 0 0 0 0 
_1.ptx 590 : 394240 5318226 0 0 0 0 0 0 0 
_1.ptx 591 : 394240 3181859 0 0 0 0 0 0 0 
_1.ptx 593 : 394240 3180252 0 0 0 0 0 0 0 
_1.ptx 594 : 394240 2838649 0 0 0 0 0 0 0 
_1.ptx 597 : 1702912 12280560 0 0 0 0 0 0 0 
_1.ptx 598 : 1702912 13838360 0 0 0 0 0 0 0 
_1.ptx 599 : 1702912 13930398 0 0 0 0 0 0 0 
_1.ptx 600 : 1702912 12426578 0 0 0 0 0 0 0 
_1.ptx 601 : 1702912 14020244 0 0 0 0 0 0 0 
_1.ptx 602 : 1702912 23172593 0 0 0 0 0 0 0 
_1.ptx 603 : 1702912 14190391 0 0 0 0 0 0 0 
_1.ptx 604 : 1702912 14134894 0 0 0 0 0 0 0 
