kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 64 : 12800 81152 0 0 0 0 0 0 0 
_1.ptx 65 : 12800 94464 0 0 0 0 0 0 0 
_1.ptx 66 : 12800 92928 0 0 0 0 0 0 0 
_1.ptx 67 : 12800 155488 0 0 0 0 0 0 0 
_1.ptx 68 : 12800 106656 0 0 0 0 0 0 0 
_1.ptx 69 : 12800 111200 0 0 0 0 0 0 0 
_1.ptx 70 : 12800 97024 0 0 0 0 0 0 0 
_1.ptx 71 : 12800 1878560 128 0 0 0 0 0 0 
_1.ptx 72 : 12800 1367840 0 0 0 0 0 0 0 
_1.ptx 73 : 12800 735488 0 0 0 0 0 0 0 
_1.ptx 74 : 12800 76928 0 0 0 0 0 0 0 
_1.ptx 75 : 12800 76800 0 0 0 0 0 0 0 
_1.ptx 76 : 12800 31264 0 0 0 0 0 0 100 
_1.ptx 77 : 7600 45600 0 0 0 0 0 0 0 
_1.ptx 78 : 7600 45600 0 0 0 0 0 0 0 
_1.ptx 79 : 7600 61520 0 0 0 0 0 0 0 
_1.ptx 80 : 7600 7200 0 0 0 0 0 0 0 
_1.ptx 82 : 6400 46080 0 0 0 0 0 0 0 
_1.ptx 84 : 6400 47104 0 0 0 0 0 0 0 
_1.ptx 85 : 6400 67968 0 0 0 0 0 0 0 
_1.ptx 86 : 6400 43392 0 0 0 0 0 0 0 
_1.ptx 89 : 1200 8832 0 0 0 0 0 0 0 
_1.ptx 90 : 1200 7872 0 0 0 0 0 0 0 
_1.ptx 91 : 1200 10080 0 0 0 0 0 0 0 
_1.ptx 92 : 1200 13536 0 0 0 0 0 0 0 
_1.ptx 93 : 1200 8400 0 0 0 0 0 0 0 
_1.ptx 94 : 1200 13152 0 0 0 0 0 0 0 
_1.ptx 95 : 1200 13200 0 0 0 0 0 0 0 
_1.ptx 96 : 1200 12816 0 0 0 0 0 0 0 
_1.ptx 97 : 1200 12300 0 0 0 0 0 0 0 
_1.ptx 99 : 1200 8832 0 0 0 0 0 0 0 
_1.ptx 100 : 1200 7860 0 0 0 0 0 0 0 
_1.ptx 101 : 1200 9804 0 0 0 0 0 0 0 
_1.ptx 102 : 1200 14484 0 0 0 0 0 0 0 
_1.ptx 103 : 1200 11844 0 0 0 0 0 0 0 
_1.ptx 104 : 1200 15216 0 0 0 0 0 0 0 
_1.ptx 107 : 7600 83448 0 0 0 0 0 0 0 
_1.ptx 108 : 7600 56232 0 0 0 0 0 0 0 
_1.ptx 109 : 7600 70988 0 0 0 0 0 0 0 
_1.ptx 110 : 7600 94904 0 0 0 0 0 0 0 
_1.ptx 111 : 7600 92184 0 0 0 0 0 0 0 
_1.ptx 112 : 7600 73608 0 0 0 0 0 0 0 
_1.ptx 114 : 7600 63024 0 0 0 0 0 0 0 
_1.ptx 115 : 7600 73048 0 0 0 0 0 0 0 
_1.ptx 116 : 7600 92080 0 0 0 0 0 0 0 
_1.ptx 118 : 7600 61644 0 0 0 0 0 0 0 
_1.ptx 119 : 7600 70356 0 0 0 0 0 0 0 
_1.ptx 120 : 7600 88832 0 0 0 0 0 0 0 
_1.ptx 122 : 7600 22800 0 0 0 0 0 0 0 
_1.ptx 124 : 7600 63484 0 0 0 0 0 0 0 
_1.ptx 125 : 7600 89844 0 0 0 0 0 0 0 
_1.ptx 126 : 7600 65896 0 0 0 0 0 0 0 
_1.ptx 128 : 7600 57648 0 0 0 0 0 0 0 
_1.ptx 129 : 7600 65348 0 0 0 0 0 0 0 
_1.ptx 130 : 7600 58024 0 0 0 0 0 0 0 
_1.ptx 132 : 7600 22800 0 0 0 0 0 0 0 
_1.ptx 134 : 7600 62564 0 0 0 0 0 0 0 
_1.ptx 135 : 7600 56788 0 0 0 0 0 0 0 
_1.ptx 136 : 7600 63064 0 0 0 0 0 0 0 
_1.ptx 137 : 7600 51384 0 0 0 0 0 0 0 
_1.ptx 138 : 7600 63284 0 0 0 0 0 0 0 
_1.ptx 139 : 7600 58848 0 0 0 0 0 0 0 
_1.ptx 141 : 7600 22800 0 0 0 0 0 0 0 
_1.ptx 143 : 7600 64816 0 0 0 0 0 0 0 
_1.ptx 144 : 7600 61092 0 0 0 0 0 0 0 
_1.ptx 145 : 7600 65020 0 0 0 0 0 0 0 
_1.ptx 146 : 7600 66196 0 0 0 0 0 0 0 
_1.ptx 147 : 7600 55524 0 0 0 0 0 0 0 
_1.ptx 149 : 5200 35504 0 0 0 0 0 0 0 
_1.ptx 150 : 5200 43908 0 0 0 0 0 0 0 
_1.ptx 151 : 5200 34740 0 0 0 0 0 0 0 
_1.ptx 152 : 5200 43216 0 0 0 0 0 0 0 
_1.ptx 153 : 5200 34172 0 0 0 0 0 0 0 
_1.ptx 156 : 12800 146752 0 0 0 0 0 0 0 
_1.ptx 157 : 12800 90400 0 0 0 0 0 0 0 
_1.ptx 158 : 12800 144896 0 0 0 0 0 0 0 
_1.ptx 160 : 12800 38880 0 0 0 0 0 0 0 
_1.ptx 162 : 12800 107744 0 0 0 0 0 0 0 
_1.ptx 163 : 12800 146656 0 0 0 0 0 0 0 
_1.ptx 165 : 12800 40128 0 0 0 0 0 0 0 
_1.ptx 167 : 12800 109440 0 0 0 0 0 0 0 
_1.ptx 169 : 12800 39296 0 0 0 0 0 0 0 
_1.ptx 171 : 12800 111840 0 0 0 0 0 0 0 
_1.ptx 172 : 12800 101984 0 0 0 0 0 0 0 
_1.ptx 173 : 12800 102016 0 0 0 0 0 0 0 
_1.ptx 174 : 12800 106880 0 0 0 0 0 0 0 
_1.ptx 175 : 12800 85536 0 0 0 0 0 0 0 
_1.ptx 176 : 12800 106464 0 0 0 0 0 0 0 
_1.ptx 177 : 12800 18116 0 0 0 0 0 0 100 
_1.ptx 179 : 10000 63296 0 0 0 0 0 0 0 
_1.ptx 180 : 10000 31620 0 0 0 0 0 0 0 
_1.ptx 181 : 10000 74500 0 0 0 0 0 0 0 
_1.ptx 182 : 10000 107984 0 0 0 0 0 0 0 
_1.ptx 183 : 10000 113640 0 0 0 0 0 0 0 
_1.ptx 184 : 10000 4221548 0 0 0 661 400 0 0 
_1.ptx 185 : 10000 107052 0 0 0 0 0 0 0 
_1.ptx 186 : 10000 70588 0 0 0 0 0 0 0 
_1.ptx 187 : 10000 86804 0 0 0 0 0 0 0 
_1.ptx 188 : 10000 116304 0 0 0 0 0 0 0 
_1.ptx 189 : 10000 80000 0 0 0 0 0 0 0 
_1.ptx 190 : 10000 105992 0 0 0 0 0 0 0 
_1.ptx 191 : 10000 115416 0 0 0 0 0 0 0 
_1.ptx 192 : 10000 52580 0 400 400 0 0 0 0 
_1.ptx 194 : 12800 82720 0 0 0 0 0 0 0 
_1.ptx 195 : 12800 81760 0 0 0 0 0 0 0 
_1.ptx 196 : 12800 107840 0 0 0 0 0 0 0 
_1.ptx 197 : 12800 46766 0 0 0 0 0 0 148 
_1.ptx 199 : 5688 17812 0 0 0 0 0 0 0 
_1.ptx 200 : 5688 41657 0 0 0 0 0 0 0 
_1.ptx 201 : 5688 41370 0 0 0 0 0 0 0 
_1.ptx 202 : 5688 58447 0 0 0 0 0 0 0 
_1.ptx 203 : 5688 63256 0 0 0 0 0 0 0 
_1.ptx 204 : 5688 4708743 0 0 0 1188 292 0 0 
_1.ptx 205 : 5688 40728 0 0 0 0 0 0 0 
_1.ptx 206 : 5688 40848 0 0 0 0 0 0 0 
_1.ptx 207 : 5688 58268 0 0 0 0 0 0 0 
