kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 61 : 512 3072 0 0 0 0 0 0 0 
_2.ptx 63 : 512 5216 128 0 0 0 0 0 0 
_2.ptx 64 : 512 5200 0 0 0 0 0 0 0 
_2.ptx 65 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 66 : 512 3072 0 0 0 0 0 0 0 
_2.ptx 67 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 68 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 69 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 70 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 71 : 512 1536 0 0 0 0 0 0 0 
_2.ptx 72 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 73 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 74 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 75 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 76 : 512 67104 0 0 0 32 32 0 0 
_2.ptx 77 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 78 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 79 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 80 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 81 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 82 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 83 : 512 67920 0 0 0 32 32 0 0 
_2.ptx 84 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 85 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 86 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 87 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 88 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 89 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 90 : 512 65616 0 0 0 32 32 0 0 
_2.ptx 91 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 92 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 93 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 94 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 95 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 96 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 97 : 512 65856 0 0 0 32 32 0 0 
_2.ptx 98 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 99 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 100 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 101 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 102 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 103 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 104 : 512 67216 0 0 0 32 32 0 0 
_2.ptx 105 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 106 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 107 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 108 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 109 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 110 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 111 : 512 67344 0 0 0 32 32 0 0 
_2.ptx 112 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 113 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 114 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 115 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 116 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 117 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 118 : 512 69072 0 0 0 32 32 0 0 
_2.ptx 119 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 120 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 121 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 122 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 123 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 124 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 125 : 512 68896 0 0 0 32 32 0 0 
_2.ptx 126 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 127 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 128 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 129 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 130 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 131 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 132 : 512 65888 0 0 0 32 32 0 0 
_2.ptx 133 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 134 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 135 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 136 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 137 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 138 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 139 : 512 66064 0 0 0 32 32 0 0 
_2.ptx 140 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 142 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 144 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 145 : 512 3584 0 0 0 0 0 0 0 
_2.ptx 146 : 512 5120 0 0 0 0 0 0 0 
_2.ptx 147 : 512 5632 0 0 0 0 0 0 0 
_2.ptx 148 : 512 67872 0 0 0 32 32 0 0 
_2.ptx 149 : 512 2560 0 32 32 0 0 0 0 
_2.ptx 151 : 512 5632 0 0 0 0 0 0 0 
