kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 1860082 16073617 0 63078 63078 0 0 0 0 
_1.ptx 201 : 1860082 10101017 0 63078 63078 0 0 0 0 
_1.ptx 205 : 2021376 12611008 0 0 0 0 0 0 0 
_1.ptx 206 : 2021376 15154688 0 0 0 0 0 0 0 
_1.ptx 207 : 2021376 14503968 0 0 0 0 0 0 0 
_1.ptx 214 : 107520 773472 0 0 0 0 0 0 0 
_1.ptx 215 : 107520 673984 0 0 0 0 0 0 0 
_1.ptx 216 : 107520 784064 0 0 0 0 0 0 0 
_1.ptx 217 : 107520 880352 0 0 0 0 0 0 0 
_1.ptx 219 : 107520 105212 0 0 0 0 0 0 840 
_1.ptx 222 : 90720 760214 0 3355 3355 0 0 0 0 
_1.ptx 223 : 90720 329587 0 0 0 0 0 0 0 
_1.ptx 224 : 90720 656124 0 0 0 0 0 0 0 
_1.ptx 226 : 90720 1012297 0 0 0 0 0 0 0 
_1.ptx 227 : 90720 1009496 0 0 0 0 0 0 0 
_1.ptx 228 : 90720 559952 0 0 0 6063 3355 0 0 
_1.ptx 232 : 107520 662208 0 0 0 0 0 0 0 
_1.ptx 37 : 107520 2323968 128 0 0 0 0 0 0 
_1.ptx 38 : 107520 2217472 0 0 0 0 0 0 0 
_1.ptx 39 : 107520 344064 0 0 0 0 0 0 0 
_1.ptx 40 : 107520 344064 0 0 0 0 0 0 0 
_1.ptx 41 : 107520 813312 0 0 0 0 0 0 0 
_1.ptx 42 : 107520 809664 0 0 0 0 0 0 0 
_1.ptx 43 : 107520 796128 0 0 0 0 0 0 0 
_1.ptx 45 : 107520 1280640 0 0 0 0 0 0 0 
_1.ptx 47 : 107520 828320 0 0 0 0 0 0 0 
_1.ptx 49 : 107520 1805824 0 0 0 0 0 0 0 
_1.ptx 50 : 107520 1401632 0 0 0 0 0 0 0 
_1.ptx 51 : 107520 1325376 0 0 0 0 0 0 0 
_1.ptx 53 : 107520 916256 0 0 0 0 0 0 0 
_1.ptx 55 : 107520 1353792 0 0 0 0 0 0 0 
_1.ptx 57 : 107520 1001536 0 0 0 0 0 0 0 
_1.ptx 59 : 107520 1011520 0 0 0 0 0 0 0 
_1.ptx 60 : 107520 1057600 0 0 0 0 0 0 0 
_1.ptx 61 : 107520 1317952 0 0 0 0 0 0 0 
_1.ptx 63 : 107520 1097216 0 0 0 0 0 0 0 
_1.ptx 64 : 107520 948800 0 0 0 0 0 0 0 
_1.ptx 65 : 107520 1343488 0 0 0 0 0 0 0 
_1.ptx 66 : 107520 1330976 0 0 0 0 0 0 0 
_1.ptx 67 : 107520 1292736 0 0 0 0 0 0 0 
_1.ptx 68 : 107520 1028800 0 0 0 0 0 0 0 
_1.ptx 69 : 107520 1305120 0 0 0 0 0 0 0 
_1.ptx 71 : 107520 1381952 0 0 0 0 0 0 0 
_1.ptx 72 : 107520 2462048 0 0 0 0 0 0 0 
_1.ptx 73 : 107520 2462496 0 0 0 0 0 0 0 
_1.ptx 75 : 107520 1144736 0 0 0 0 0 0 0 
