kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 50745 637200 0 0 0 0 0 0 0 
_1.ptx 824 : 50745 443262 0 0 0 0 0 0 0 
_1.ptx 825 : 50745 616915 0 0 0 0 0 0 0 
_1.ptx 826 : 50745 610861 0 0 0 0 0 0 0 
_1.ptx 827 : 50745 610979 0 0 0 0 0 0 0 
_1.ptx 828 : 50745 606052 0 0 0 0 0 0 0 
_1.ptx 829 : 50745 600922 0 0 0 0 0 0 0 
_1.ptx 830 : 50745 599383 0 0 0 0 0 0 0 
_1.ptx 831 : 50745 438143 0 0 0 0 0 0 0 
_1.ptx 832 : 50745 429195 0 0 0 0 0 0 0 
_1.ptx 833 : 50745 322994 0 0 0 0 0 0 0 
_1.ptx 834 : 50745 424975 0 0 0 0 0 0 0 
_1.ptx 835 : 50745 335540 0 0 0 0 0 0 0 
_1.ptx 844 : 50745 337979 0 0 0 0 0 0 0 
_1.ptx 845 : 50745 585701 0 0 0 0 0 0 0 
_1.ptx 846 : 50745 416681 0 0 0 0 0 0 0 
_1.ptx 847 : 50745 414356 0 0 0 0 0 0 0 
_1.ptx 848 : 50745 368978 0 0 0 0 0 0 0 
_1.ptx 849 : 50745 415742 0 0 0 0 0 0 0 
_1.ptx 850 : 50745 416630 0 0 0 0 0 0 0 
_1.ptx 851 : 50745 686113 0 0 0 0 0 0 0 
_1.ptx 852 : 50745 407259 0 0 0 0 0 0 0 
_1.ptx 853 : 50745 403942 0 0 0 0 0 0 0 
_1.ptx 854 : 50745 323959 0 0 0 0 0 0 0 
_1.ptx 855 : 50745 388393 0 0 0 0 0 0 0 
_1.ptx 856 : 50745 404213 0 0 0 0 0 0 0 
_1.ptx 857 : 50745 688422 0 0 0 0 0 0 0 
_1.ptx 858 : 50745 423915 0 0 0 0 0 0 0 
_1.ptx 860 : 50745 373398 0 0 0 0 0 0 0 
_1.ptx 861 : 50745 450776 0 0 0 0 0 0 0 
_1.ptx 862 : 50745 374542 0 0 0 0 0 0 0 
_1.ptx 863 : 50745 447333 0 0 0 0 0 0 0 
_1.ptx 864 : 50745 373800 0 0 0 0 0 0 0 
_1.ptx 865 : 50745 592750 0 0 0 0 0 0 0 
_1.ptx 866 : 50745 2906038 0 0 0 0 0 0 0 
_1.ptx 867 : 50745 3449029 0 0 0 0 0 0 0 
_1.ptx 868 : 50745 606537 0 0 0 0 0 0 0 
_1.ptx 869 : 50745 337932 0 0 0 0 0 0 0 
_1.ptx 870 : 50745 476256 0 0 0 0 0 0 0 
_1.ptx 871 : 50745 336546 0 0 0 0 0 0 0 
_1.ptx 872 : 50745 482506 0 0 0 0 0 0 0 
_1.ptx 873 : 50745 412041 0 0 0 0 0 0 0 
_1.ptx 874 : 50745 355795 0 0 0 0 0 0 0 
_1.ptx 875 : 50745 443186 0 0 0 0 0 0 0 
_1.ptx 876 : 50745 0 0 0 0 0 0 0 0 
_1.ptx 878 : 50745 405153 0 0 0 0 0 0 0 
_1.ptx 879 : 50745 403481 0 0 0 0 0 0 0 
_1.ptx 880 : 50745 412300 0 0 0 0 0 0 0 
_1.ptx 881 : 50745 683057 0 0 0 0 0 0 0 
_1.ptx 882 : 50745 408071 0 0 0 0 0 0 0 
_1.ptx 884 : 50745 405631 0 0 0 0 0 0 0 
_1.ptx 887 : 50745 403089 0 0 0 0 0 0 0 
_1.ptx 888 : 50745 358554 0 0 0 0 0 0 0 
_1.ptx 889 : 50745 399078 0 0 0 0 0 0 0 
_1.ptx 890 : 50745 397835 0 0 0 0 0 0 0 
_1.ptx 891 : 50745 348915 0 0 0 0 0 0 0 
_1.ptx 892 : 50745 598359 0 0 0 0 0 0 0 
_1.ptx 893 : 50745 605130 0 0 0 0 0 0 0 
_1.ptx 70 : 65536 414880 0 0 0 0 0 0 0 
_1.ptx 894 : 50745 431040 0 0 0 0 0 0 0 
_1.ptx 71 : 65536 1918656 0 0 0 0 0 0 0 
_1.ptx 895 : 50745 380454 0 0 0 0 0 0 0 
_1.ptx 72 : 65536 408448 0 0 0 0 0 0 0 
_1.ptx 896 : 50745 440735 0 0 0 0 0 0 0 
_1.ptx 73 : 65536 1990720 0 0 0 0 0 0 0 
_1.ptx 897 : 50745 406238 0 0 0 0 0 0 0 
_1.ptx 74 : 65536 408576 0 0 0 0 0 0 0 
_1.ptx 898 : 50745 438051 0 0 0 0 0 0 0 
_1.ptx 75 : 65536 1855712 0 0 0 0 0 0 0 
_1.ptx 899 : 50745 360262 0 0 0 0 0 0 0 
_1.ptx 76 : 65536 410528 0 0 0 0 0 0 0 
_1.ptx 900 : 50745 434923 0 0 0 0 0 0 0 
_1.ptx 77 : 65536 2879040 0 0 0 0 0 0 0 
_1.ptx 901 : 50745 350497 0 0 0 0 0 0 0 
_1.ptx 78 : 65536 410240 0 0 0 0 0 0 0 
_1.ptx 79 : 65536 3232768 0 0 0 0 0 0 0 
_1.ptx 80 : 65536 411584 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 3636032 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 410688 0 0 0 0 0 0 0 
_1.ptx 83 : 65536 3814624 0 0 0 0 0 0 0 
