kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 400 : 16 128 0 1 1 0 0 0 0 
_1.ptx 401 : 16 128 0 1 1 0 0 0 0 
_1.ptx 402 : 16 176 0 0 0 0 0 0 0 
_1.ptx 403 : 16 80 0 1 1 0 0 0 0 
_1.ptx 407 : 32 192 0 0 0 0 0 0 0 
_1.ptx 409 : 32 192 0 0 0 0 0 0 0 
_1.ptx 411 : 32 224 0 0 0 0 0 0 0 
_1.ptx 412 : 32 144 0 0 0 0 0 0 1 
_1.ptx 415 : 8 64 0 1 1 0 0 0 0 
_1.ptx 416 : 8 64 0 1 1 0 0 0 0 
_1.ptx 417 : 8 88 0 0 0 0 0 0 0 
_1.ptx 418 : 8 40 0 1 1 0 0 0 0 
_1.ptx 422 : 32 192 0 0 0 0 0 0 0 
_1.ptx 424 : 32 192 0 0 0 0 0 0 0 
_1.ptx 426 : 32 224 0 0 0 0 0 0 0 
_1.ptx 427 : 32 168 0 0 0 0 0 0 1 
_1.ptx 430 : 4 32 0 1 1 0 0 0 0 
_1.ptx 431 : 4 32 0 1 1 0 0 0 0 
_1.ptx 432 : 4 44 0 0 0 0 0 0 0 
_1.ptx 433 : 4 20 0 1 1 0 0 0 0 
_1.ptx 437 : 32 192 0 0 0 0 0 0 0 
_1.ptx 439 : 32 192 0 0 0 0 0 0 0 
_1.ptx 441 : 32 224 0 0 0 0 0 0 0 
_1.ptx 442 : 32 180 0 0 0 0 0 0 1 
_1.ptx 445 : 2 16 0 1 1 0 0 0 0 
_1.ptx 446 : 2 16 0 1 1 0 0 0 0 
_1.ptx 447 : 2 22 0 0 0 0 0 0 0 
_1.ptx 448 : 2 10 0 1 1 0 0 0 0 
_1.ptx 452 : 32 192 0 0 0 0 0 0 0 
_1.ptx 254 : 16384 1834496 128 0 0 0 0 0 0 
_1.ptx 454 : 32 186 0 0 0 0 0 0 1 
