kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 59 : 12672 78176 0 0 0 0 0 0 0 
_2.ptx 60 : 12672 92000 0 0 0 0 0 0 0 
_1.ptx 61 : 96624 658316 0 0 0 0 0 0 0 
_2.ptx 61 : 12672 84352 0 0 0 0 0 0 0 
_1.ptx 62 : 96624 919778 0 0 0 0 0 0 0 
_2.ptx 62 : 12672 104256 0 0 0 0 0 0 0 
_1.ptx 63 : 96624 664026 0 0 0 0 0 0 0 
_2.ptx 63 : 12672 0 0 0 0 0 0 0 0 
_1.ptx 64 : 96624 664169 0 0 0 0 0 0 0 
_1.ptx 65 : 96624 1450806 0 0 0 0 0 0 0 
_2.ptx 65 : 12672 38016 0 0 0 0 0 0 0 
_1.ptx 66 : 96624 951533 0 0 0 0 0 0 0 
_2.ptx 66 : 12672 79968 0 0 0 0 0 0 0 
_1.ptx 67 : 96624 657706 0 0 0 0 0 0 0 
_2.ptx 67 : 12672 105536 0 0 0 0 0 0 0 
_1.ptx 68 : 96624 1326560 0 0 0 0 0 0 0 
_2.ptx 68 : 12672 38016 0 0 0 0 0 0 0 
_1.ptx 69 : 96624 858630 0 0 0 0 0 0 0 
_2.ptx 69 : 12672 102240 0 0 0 0 0 0 0 
_1.ptx 70 : 96624 3249550 128 0 0 0 0 0 0 
_2.ptx 70 : 12672 80896 0 0 0 0 0 0 0 
_1.ptx 71 : 96624 3047631 0 0 0 0 0 0 0 
_2.ptx 71 : 12672 94080 0 0 0 0 0 0 0 
_1.ptx 72 : 96624 1087461 0 0 0 0 0 0 0 
_2.ptx 72 : 12672 92224 0 0 0 0 0 0 0 
_1.ptx 73 : 96624 901791 0 0 0 0 0 0 0 
_2.ptx 73 : 12672 151968 0 0 0 0 0 0 0 
_1.ptx 74 : 96624 1007744 0 0 0 0 0 0 0 
_2.ptx 74 : 12672 38016 0 0 0 0 0 0 0 
_1.ptx 75 : 96624 921835 0 0 0 0 0 0 0 
_2.ptx 75 : 12672 208800 0 0 0 0 0 0 0 
_1.ptx 76 : 96624 1055310 0 0 0 0 0 0 0 
_2.ptx 76 : 12672 114144 0 0 0 0 0 0 0 
_1.ptx 77 : 96624 667552 0 0 0 0 0 0 0 
_2.ptx 77 : 12672 113184 0 0 0 0 0 0 0 
_1.ptx 78 : 96624 1061159 0 0 0 0 0 0 0 
_2.ptx 78 : 12672 157280 0 0 0 0 0 0 0 
_1.ptx 79 : 96624 0 0 0 0 0 0 0 0 
_2.ptx 79 : 12672 117504 0 0 0 0 0 0 0 
_2.ptx 80 : 12672 153056 0 0 0 0 0 0 0 
_1.ptx 81 : 96624 660190 0 0 0 0 0 0 0 
_2.ptx 81 : 12672 152224 0 0 0 0 0 0 0 
_1.ptx 82 : 96624 1407458 0 0 0 0 0 0 0 
_2.ptx 82 : 12672 175872 0 0 0 0 0 0 0 
_1.ptx 83 : 96624 906098 0 0 0 0 0 0 0 
_2.ptx 83 : 12672 106304 0 0 0 0 0 0 0 
_1.ptx 84 : 96624 1253526 0 0 0 0 0 0 0 
_2.ptx 84 : 12672 142720 0 0 0 0 0 0 0 
_1.ptx 85 : 96624 1387375 0 0 0 0 0 0 0 
_2.ptx 85 : 12672 247328 0 0 0 0 0 0 0 
_1.ptx 86 : 96624 1228772 0 0 0 0 0 0 0 
_2.ptx 86 : 12672 147520 0 0 0 0 0 0 0 
_1.ptx 87 : 96624 893188 0 0 0 0 0 0 0 
_2.ptx 87 : 12672 110656 0 0 0 0 0 0 0 
_1.ptx 88 : 96624 1220836 0 0 0 0 0 0 0 
_1.ptx 89 : 96624 677466 0 0 0 0 0 0 0 
_2.ptx 89 : 12672 281376 0 0 0 0 0 0 0 
_1.ptx 90 : 96624 1061817 0 0 0 0 0 0 0 
_2.ptx 90 : 12672 118368 0 0 0 0 0 0 0 
_1.ptx 91 : 96624 672577 0 0 0 0 0 0 0 
