kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 4177920 57799132 0 0 0 0 0 0 0 
_1.ptx 201 : 4177920 42391486 0 0 0 0 0 0 0 
_1.ptx 202 : 4177920 44488345 0 0 0 0 0 0 0 
_1.ptx 203 : 4177920 46197430 0 0 0 0 0 0 0 
_1.ptx 204 : 4177920 56526439 0 0 0 0 0 0 0 
_1.ptx 205 : 4177920 29692395 0 0 0 0 0 0 0 
_1.ptx 206 : 4177920 41958942 0 0 0 0 0 0 0 
_1.ptx 207 : 4177920 44595040 0 0 0 0 0 0 0 
_1.ptx 208 : 4177920 46154001 0 0 0 0 0 0 0 
_1.ptx 210 : 4177920 47116373 0 770048 196608 0 0 0 0 
_1.ptx 211 : 4177920 56596091 0 770048 196608 0 0 0 0 
_1.ptx 212 : 4177920 46146708 0 0 0 0 0 0 0 
_1.ptx 213 : 4177920 33456104 0 770048 196608 0 0 0 0 
_1.ptx 217 : 33554432 206158496 0 0 0 0 0 0 0 
_1.ptx 218 : 33554432 239158368 0 0 0 0 0 0 0 
_1.ptx 220 : 33554432 273298752 0 0 0 0 0 0 0 
_1.ptx 221 : 33554432 181932576 0 0 0 0 0 0 0 
_1.ptx 225 : 4194304 26923168 0 0 0 0 0 0 0 
_1.ptx 226 : 4194304 56388448 0 0 0 0 0 0 0 
_1.ptx 227 : 4194304 48524352 0 0 0 0 0 0 0 
_1.ptx 228 : 4194304 45413728 0 0 0 0 0 0 0 
_1.ptx 229 : 4194304 49387104 0 0 0 0 0 0 0 
_1.ptx 230 : 4194304 47549408 0 0 0 0 0 0 0 
_1.ptx 232 : 4194304 37016320 0 131072 131072 0 0 0 0 
_1.ptx 234 : 4194304 26838560 0 0 0 0 0 0 0 
_1.ptx 236 : 4194304 30938912 0 0 0 0 0 0 0 
_1.ptx 237 : 4194304 27123664 0 0 0 0 0 0 16384 
_1.ptx 240 : 32768 210448 0 0 0 0 0 0 0 
_1.ptx 241 : 32768 243842 0 0 0 0 0 0 0 
_1.ptx 243 : 32768 241444 0 0 0 0 0 0 0 
_1.ptx 244 : 32768 369462 0 0 0 0 0 0 0 
_1.ptx 246 : 32768 247238 0 0 0 0 0 0 0 
_1.ptx 247 : 32768 378292 0 0 0 0 0 0 0 
_1.ptx 249 : 32768 236150 0 0 0 0 0 0 0 
_1.ptx 251 : 32768 249930 0 0 0 0 0 0 0 
_1.ptx 253 : 32768 253758 0 0 0 0 0 0 0 
_1.ptx 254 : 32768 229142 0 0 0 0 0 0 0 
_1.ptx 256 : 32768 246100 0 0 0 0 0 0 0 
_1.ptx 260 : 3466830 452843450 131072 0 0 1733415 1733415 0 0 
_1.ptx 262 : 3466830 10657282 0 0 0 0 0 0 1733415 
_1.ptx 265 : 1733415 9023550 0 1733415 1733415 0 0 0 0 
_1.ptx 269 : 3466830 12 0 0 0 0 0 0 0 
_1.ptx 271 : 3466828 28720442 0 1733414 1733414 0 0 0 0 
_1.ptx 272 : 3466828 24730226 0 0 0 0 0 0 0 
_1.ptx 273 : 3466828 197602 0 0 0 0 0 0 0 
_1.ptx 275 : 3434062 10518896 0 0 0 0 0 0 1717031 
_1.ptx 276 : 1717031 10448480 0 0 0 0 0 0 0 
_1.ptx 280 : 1717031 9031040 0 1717031 1717031 0 0 0 0 
_1.ptx 281 : 1717031 13560472 0 0 0 0 0 0 0 
_1.ptx 285 : 3434062 24430976 0 0 0 0 0 0 0 
_1.ptx 286 : 3434062 20926708 0 0 0 0 0 0 0 
_1.ptx 290 : 32768 98567 0 0 0 0 0 0 16384 
_1.ptx 293 : 16384 90131 0 16384 16384 0 0 0 0 
_1.ptx 297 : 32768 98552 0 0 0 0 0 0 0 
_1.ptx 300 : 16384 137729 0 16384 16384 0 0 0 0 
_1.ptx 301 : 16384 115335 0 0 0 0 0 0 0 
_1.ptx 302 : 16384 131602 0 0 0 0 0 0 0 
_1.ptx 304 : 16384 0 0 0 0 0 0 0 0 
_1.ptx 306 : 16384 59199 0 0 0 0 0 0 0 
_1.ptx 307 : 16384 115578 0 0 0 0 0 0 0 
_1.ptx 308 : 16384 207146 0 0 0 0 0 0 0 
_1.ptx 310 : 16384 181329 0 0 0 0 0 0 0 
_1.ptx 311 : 16384 164229 0 0 0 0 0 0 0 
_1.ptx 312 : 16384 181244 0 0 0 0 0 0 0 
_1.ptx 314 : 16384 2143236 128 0 0 16384 16384 0 0 
_1.ptx 315 : 16384 98721 0 0 0 0 0 0 0 
_1.ptx 329 : 4194304 26856160 0 0 0 0 0 0 0 
_1.ptx 330 : 4194304 30860768 0 0 0 0 0 0 0 
_1.ptx 331 : 4194304 30740032 0 0 0 0 0 0 0 
_1.ptx 333 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 336 : 4194304 27242752 0 0 0 0 0 0 0 
_1.ptx 337 : 4194304 31065152 0 0 0 0 0 0 0 
_1.ptx 339 : 4194304 27313280 0 0 0 0 0 0 0 
_1.ptx 340 : 4194304 30820480 0 0 0 0 0 0 0 
_1.ptx 341 : 4194304 43265504 0 0 0 0 0 0 0 
_1.ptx 342 : 4194304 43694816 0 0 0 0 0 0 0 
_1.ptx 345 : 29360128 215465248 0 0 0 0 0 0 0 
_1.ptx 347 : 29360128 5104002656 0 0 0 0 0 0 0 
_1.ptx 348 : 29360128 301434528 0 0 0 0 0 0 0 
_1.ptx 350 : 29360128 239960576 0 0 0 0 0 0 0 
_1.ptx 351 : 29360128 158924217 0 0 0 0 0 0 114688 
_1.ptx 353 : 4046848 55502155 0 0 0 0 0 0 0 
_1.ptx 354 : 4046848 43423053 0 0 0 0 0 0 0 
_1.ptx 155 : 4194304 15309344 128 0 0 0 0 0 0 
_1.ptx 355 : 4046848 45161839 0 0 0 0 0 0 0 
_1.ptx 156 : 4194304 15402432 0 0 0 0 0 0 0 
_1.ptx 356 : 4046848 50778969 0 0 0 0 0 0 0 
_1.ptx 157 : 4194304 30569440 0 0 0 0 0 0 0 
_1.ptx 357 : 4046848 41855166 0 0 0 0 0 0 0 
_1.ptx 358 : 4046848 44916189 0 0 0 0 0 0 0 
_1.ptx 159 : 4194304 26423584 0 0 0 0 0 0 0 
_1.ptx 360 : 4046848 44485336 0 704512 180224 0 0 0 0 
_1.ptx 161 : 4194304 26346048 0 0 0 0 0 0 0 
_1.ptx 361 : 4046848 51493917 0 704512 180224 0 0 0 0 
_1.ptx 362 : 4046848 44780080 0 0 0 0 0 0 0 
_1.ptx 163 : 4194304 26614272 0 0 0 0 0 0 0 
_1.ptx 363 : 4046848 32095204 0 704512 180224 0 0 0 0 
_1.ptx 165 : 4194304 57094720 0 0 0 0 0 0 0 
_1.ptx 166 : 4194304 30484640 0 0 0 0 0 0 0 
_1.ptx 367 : 29360128 181468800 0 0 0 0 0 0 0 
_1.ptx 168 : 4194304 49024928 0 0 0 0 0 0 0 
_1.ptx 169 : 4194304 47475168 0 0 0 0 0 0 0 
_1.ptx 369 : 29360128 209243520 0 0 0 0 0 0 0 
_1.ptx 170 : 4194304 31144288 0 0 0 0 0 0 0 
_1.ptx 370 : 29360128 331760448 0 0 0 0 0 0 0 
_1.ptx 171 : 4194304 45479616 0 0 0 0 0 0 0 
_1.ptx 371 : 29360128 216779808 0 0 0 0 0 0 0 
_1.ptx 172 : 4194304 27593248 0 0 0 0 0 0 0 
_1.ptx 372 : 29360128 221940064 0 0 0 0 0 0 0 
_1.ptx 173 : 4194304 46982560 0 0 0 0 0 0 0 
_1.ptx 373 : 29360128 225960032 0 0 0 0 0 0 0 
_1.ptx 175 : 4194304 1119331328 16777216 0 0 131072 131072 0 0 
_1.ptx 375 : 29360128 171567232 0 0 0 0 0 0 0 
_1.ptx 176 : 4194304 21171680 0 131072 131072 0 0 0 0 
_1.ptx 178 : 4194304 25175936 0 0 0 0 0 0 0 
_1.ptx 379 : 4194304 26912864 0 0 0 0 0 0 0 
_1.ptx 180 : 4194304 25473824 0 0 0 0 0 0 0 
_1.ptx 380 : 4194304 48284352 0 0 0 0 0 0 0 
_1.ptx 181 : 4194304 29745184 0 0 0 0 0 0 0 
_1.ptx 381 : 4194304 46312960 0 0 0 0 0 0 0 
_1.ptx 183 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 383 : 4194304 36439616 0 131072 131072 0 0 0 0 
_1.ptx 384 : 4194304 35995584 0 131072 131072 0 0 0 0 
_1.ptx 385 : 4194304 46447232 0 0 0 0 0 0 0 
_1.ptx 186 : 4194304 25861088 0 0 0 0 0 0 0 
_1.ptx 386 : 4194304 21698144 0 0 0 131072 131072 0 0 
_1.ptx 187 : 4194304 30072832 0 0 0 0 0 0 0 
_1.ptx 188 : 4194304 25840448 0 0 0 0 0 0 0 
_1.ptx 388 : 4194304 25421568 0 0 0 0 0 0 0 
_1.ptx 190 : 4194304 25769696 0 0 0 0 0 0 0 
_1.ptx 191 : 4194304 29575392 0 0 0 0 0 0 0 
_1.ptx 195 : 33554432 5774775776 0 0 0 0 0 0 0 
_1.ptx 196 : 33554432 275013696 0 0 0 0 0 0 0 
_1.ptx 197 : 33554432 183950898 0 0 0 0 0 0 81920 
