kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 4177920 44992277 0 0 0 0 0 0 0 
_1.ptx 200 : 4177920 46236356 0 0 0 0 0 0 0 
_1.ptx 201 : 4177920 56779912 0 0 0 0 0 0 0 
_1.ptx 202 : 4177920 29748769 0 0 0 0 0 0 0 
_1.ptx 203 : 4177920 42119478 0 0 0 0 0 0 0 
_1.ptx 204 : 4177920 43526096 0 0 0 0 0 0 0 
_1.ptx 205 : 4177920 46274261 0 0 0 0 0 0 0 
_1.ptx 207 : 4177920 47179803 0 770048 196608 0 0 0 0 
_1.ptx 208 : 4177920 58283885 0 770048 196608 0 0 0 0 
_1.ptx 209 : 4177920 46210978 0 0 0 0 0 0 0 
_1.ptx 210 : 4177920 33539089 0 770048 196608 0 0 0 0 
_1.ptx 214 : 33554432 206524288 0 0 0 0 0 0 0 
_1.ptx 215 : 33554432 239836544 0 0 0 0 0 0 0 
_1.ptx 217 : 33554432 273912992 0 0 0 0 0 0 0 
_1.ptx 218 : 33554432 182089024 0 0 0 0 0 0 0 
_1.ptx 222 : 4194304 27387648 0 0 0 0 0 0 0 
_1.ptx 223 : 4194304 52566656 0 0 0 0 0 0 0 
_1.ptx 224 : 4194304 48756448 0 0 0 0 0 0 0 
_1.ptx 225 : 4194304 45605472 0 0 0 0 0 0 0 
_1.ptx 226 : 4194304 49434720 0 0 0 0 0 0 0 
_1.ptx 227 : 4194304 47445024 0 0 0 0 0 0 0 
_1.ptx 229 : 4194304 37293728 0 131072 131072 0 0 0 0 
_1.ptx 231 : 4194304 26772320 0 0 0 0 0 0 0 
_1.ptx 233 : 4194304 30853088 0 0 0 0 0 0 0 
_1.ptx 234 : 4194304 26966394 0 0 0 0 0 0 16384 
_1.ptx 237 : 32768 210946 0 0 0 0 0 0 0 
_1.ptx 238 : 32768 242660 0 0 0 0 0 0 0 
_1.ptx 240 : 32768 211628 0 0 0 0 0 0 0 
_1.ptx 242 : 32768 369888 0 0 0 0 0 0 0 
_1.ptx 243 : 32768 456132 0 0 0 0 0 0 0 
_1.ptx 244 : 32768 376362 0 0 0 0 0 0 0 
_1.ptx 246 : 32768 256060 0 0 0 0 0 0 0 
_1.ptx 248 : 32768 260682 0 0 0 0 0 0 0 
_1.ptx 250 : 32768 249918 0 0 0 0 0 0 0 
_1.ptx 254 : 3419144 446445196 131072 0 0 1709572 1709572 0 0 
_1.ptx 256 : 3419144 10399924 0 0 0 0 0 0 1709572 
_1.ptx 259 : 1709572 8969448 0 1709572 1709572 0 0 0 0 
_1.ptx 263 : 3419144 14 0 0 0 0 0 0 0 
_1.ptx 265 : 3419142 28410060 0 1709571 1709571 0 0 0 0 
_1.ptx 266 : 3419142 24260798 0 0 0 0 0 0 0 
_1.ptx 267 : 3419142 197928 0 0 0 0 0 0 0 
_1.ptx 270 : 3386376 10370350 0 0 0 0 0 0 1693188 
_1.ptx 272 : 1693188 12049754 0 0 0 0 0 0 0 
_1.ptx 273 : 1693188 10469334 0 0 0 0 0 0 0 
_1.ptx 277 : 1693188 8941087 0 1693188 1693188 0 0 0 0 
_1.ptx 278 : 1693188 12630137 0 0 0 0 0 0 0 
