kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 29360128 164751200 0 0 0 0 0 0 0 
_1.ptx 204 : 4194304 36289792 0 131072 131072 0 0 0 0 
_1.ptx 205 : 4194304 37254848 0 131072 131072 0 0 0 0 
_1.ptx 206 : 4194304 46756768 0 0 0 0 0 0 0 
_1.ptx 207 : 4194304 21407968 0 0 0 131072 131072 0 0 
_1.ptx 209 : 4194304 25349312 0 0 0 0 0 0 0 
_1.ptx 28 : 4194304 15594688 128 0 0 0 0 0 0 
_1.ptx 29 : 4194304 15635392 0 0 0 0 0 0 0 
_1.ptx 30 : 4194304 13929600 0 0 0 0 0 0 0 
_1.ptx 31 : 4194304 29883360 0 0 0 0 0 0 0 
_1.ptx 32 : 4194304 29960864 0 0 0 0 0 0 0 
_1.ptx 34 : 4194304 26681696 0 0 0 0 0 0 0 
_1.ptx 36 : 4194304 26542240 0 0 0 0 0 0 0 
_1.ptx 38 : 4194304 26420352 0 0 0 0 0 0 0 
_1.ptx 40 : 4194304 57651104 0 0 0 0 0 0 0 
_1.ptx 41 : 4194304 30207584 0 0 0 0 0 0 0 
_1.ptx 43 : 4194304 49557088 0 0 0 0 0 0 0 
_1.ptx 44 : 4194304 46729792 0 0 0 0 0 0 0 
_1.ptx 45 : 4194304 47392608 0 0 0 0 0 0 0 
_1.ptx 46 : 4194304 25942304 0 0 0 0 0 0 0 
_1.ptx 47 : 4194304 46406336 0 0 0 0 0 0 0 
_1.ptx 49 : 4194304 1115192224 16777216 0 0 131072 131072 0 0 
_1.ptx 50 : 4194304 21099968 0 131072 131072 0 0 0 0 
_1.ptx 52 : 4194304 25170528 0 0 0 0 0 0 0 
_1.ptx 54 : 4194304 25390432 0 0 0 0 0 0 0 
_1.ptx 55 : 4194304 29517216 0 0 0 0 0 0 0 
_1.ptx 57 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 60 : 4194304 25524352 0 0 0 0 0 0 0 
_1.ptx 61 : 4194304 30672928 0 0 0 0 0 0 0 
_1.ptx 62 : 4194304 27280416 0 0 0 0 0 0 0 
_1.ptx 64 : 4194304 26822208 0 0 0 0 0 0 0 
_1.ptx 65 : 4194304 30190208 0 0 0 0 0 0 0 
_1.ptx 69 : 33554432 5844547456 0 0 0 0 0 0 0 
_1.ptx 70 : 33554432 270831456 0 0 0 0 0 0 0 
_1.ptx 71 : 33554432 178658605 0 0 0 0 0 0 81920 
_1.ptx 74 : 4177920 55492438 0 0 0 0 0 0 0 
_1.ptx 75 : 4177920 42882097 0 0 0 0 0 0 0 
_1.ptx 76 : 4177920 43186540 0 0 0 0 0 0 0 
_1.ptx 77 : 4177920 46032835 0 0 0 0 0 0 0 
_1.ptx 78 : 4177920 55695157 0 0 0 0 0 0 0 
_1.ptx 79 : 4177920 29968162 0 0 0 0 0 0 0 
_1.ptx 80 : 4177920 42408132 0 0 0 0 0 0 0 
_1.ptx 81 : 4177920 42613512 0 0 0 0 0 0 0 
_1.ptx 82 : 4177920 46061654 0 0 0 0 0 0 0 
_1.ptx 84 : 4177920 46526080 0 770048 196608 0 0 0 0 
_1.ptx 85 : 4177920 57853950 0 770048 196608 0 0 0 0 
_1.ptx 86 : 4177920 46074251 0 0 0 0 0 0 0 
_1.ptx 87 : 4177920 33348957 0 770048 196608 0 0 0 0 
_1.ptx 91 : 33554432 202969088 0 0 0 0 0 0 0 
_1.ptx 92 : 33554432 235754208 0 0 0 0 0 0 0 
_1.ptx 94 : 33554432 269698976 0 0 0 0 0 0 0 
_1.ptx 95 : 33554432 176981472 0 0 0 0 0 0 0 
_1.ptx 99 : 4194304 25728896 0 0 0 0 0 0 0 
_1.ptx 100 : 4194304 42333376 0 0 0 0 0 0 0 
_1.ptx 101 : 4194304 54404096 0 0 0 0 0 0 0 
_1.ptx 102 : 4194304 46345344 0 0 0 0 0 0 0 
_1.ptx 104 : 4194304 34521536 0 131072 131072 0 0 0 0 
_1.ptx 106 : 4194304 25429568 0 0 0 0 0 0 0 
_1.ptx 108 : 4194304 49286784 0 0 0 0 0 0 0 
_1.ptx 109 : 4194304 46680256 0 0 0 0 0 0 0 
_1.ptx 110 : 4194304 54140544 0 0 0 0 0 0 0 
_1.ptx 111 : 4194304 47555904 0 0 0 0 0 0 0 
_1.ptx 113 : 4194304 28182880 0 0 0 0 0 0 0 
_1.ptx 115 : 4194304 31436896 0 0 0 0 0 0 0 
_1.ptx 116 : 4194304 31396704 0 0 0 0 0 0 0 
_1.ptx 117 : 4194304 26651275 0 0 0 0 0 0 16384 
_1.ptx 120 : 16384 110308 0 0 0 0 0 0 0 
_1.ptx 121 : 16384 117490 0 0 0 0 0 0 0 
_1.ptx 123 : 16384 9 0 0 0 0 0 0 0 
_1.ptx 127 : 3182643 415416789 65536 0 0 3182643 3182643 0 0 
_1.ptx 128 : 3182643 22583680 0 0 0 0 0 0 0 
_1.ptx 129 : 3182643 19304583 0 0 0 0 0 0 0 
_1.ptx 133 : 16384 100526 0 0 0 0 0 0 0 
_1.ptx 135 : 16384 215215 0 0 0 0 0 0 0 
_1.ptx 136 : 16384 181075 0 0 0 0 0 0 0 
_1.ptx 137 : 16384 2180806 128 0 0 16384 16384 0 0 
_1.ptx 138 : 16384 84166 0 16384 16384 0 0 0 0 
_1.ptx 139 : 16384 181770 0 0 0 0 0 0 0 
_1.ptx 140 : 16384 93196 16384 0 0 16384 16384 0 0 
_1.ptx 144 : 4194304 12854048 0 0 0 0 0 0 0 
_1.ptx 146 : 4194304 25432975 0 0 0 0 0 0 16384 
_1.ptx 148 : 16384 100269 0 0 0 0 0 0 0 
_1.ptx 150 : 16384 83551 32 0 0 16384 16384 0 0 
_1.ptx 154 : 4194304 25715840 0 0 0 0 0 0 0 
_1.ptx 155 : 4194304 29967200 0 0 0 0 0 0 0 
_1.ptx 156 : 4194304 30254752 0 0 0 0 0 0 0 
_1.ptx 158 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 161 : 4194304 26631360 0 0 0 0 0 0 0 
_1.ptx 162 : 4194304 31150784 0 0 0 0 0 0 0 
_1.ptx 164 : 4194304 27356000 0 0 0 0 0 0 0 
_1.ptx 165 : 4194304 30479776 0 0 0 0 0 0 0 
_1.ptx 166 : 4194304 43271552 0 0 0 0 0 0 0 
_1.ptx 167 : 4194304 43711904 0 0 0 0 0 0 0 
_1.ptx 170 : 29360128 209520544 0 0 0 0 0 0 0 
_1.ptx 172 : 29360128 5056433344 0 0 0 0 0 0 0 
_1.ptx 173 : 29360128 300265920 0 0 0 0 0 0 0 
_1.ptx 175 : 29360128 236314048 0 0 0 0 0 0 0 
_1.ptx 176 : 29360128 154427868 0 0 0 0 0 0 114688 
_1.ptx 178 : 4046848 49271417 0 0 0 0 0 0 0 
_1.ptx 179 : 4046848 41491601 0 0 0 0 0 0 0 
_1.ptx 180 : 4046848 44823421 0 0 0 0 0 0 0 
_1.ptx 181 : 4046848 49219628 0 0 0 0 0 0 0 
_1.ptx 182 : 4046848 40991542 0 0 0 0 0 0 0 
_1.ptx 183 : 4046848 45041718 0 0 0 0 0 0 0 
_1.ptx 185 : 4046848 44293221 0 704512 180224 0 0 0 0 
_1.ptx 186 : 4046848 51763546 0 704512 180224 0 0 0 0 
