kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 4194304 26298720 0 0 0 0 0 0 0 
_1.ptx 201 : 4194304 30632672 0 0 0 0 0 0 0 
_1.ptx 202 : 4194304 30570848 0 0 0 0 0 0 0 
_1.ptx 204 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 207 : 4194304 27732096 0 0 0 0 0 0 0 
_1.ptx 208 : 4194304 31571008 0 0 0 0 0 0 0 
_1.ptx 210 : 4194304 27999232 0 0 0 0 0 0 0 
_1.ptx 211 : 4194304 31256352 0 0 0 0 0 0 0 
_1.ptx 212 : 4194304 46494720 0 0 0 0 0 0 0 
_1.ptx 213 : 4194304 48118848 0 0 0 0 0 0 0 
_1.ptx 216 : 29360128 226313056 0 0 0 0 0 0 0 
_1.ptx 218 : 29360128 5108294592 0 0 0 0 0 0 0 
_1.ptx 219 : 29360128 302318464 0 0 0 0 0 0 0 
_1.ptx 221 : 29360128 238767424 0 0 0 0 0 0 0 
_1.ptx 222 : 29360128 156997268 0 0 0 0 0 0 114688 
_1.ptx 224 : 4046848 113251945 0 0 0 0 0 0 0 
_1.ptx 225 : 4046848 68366836 0 0 0 0 0 0 0 
_1.ptx 226 : 4046848 44913250 0 0 0 0 0 0 0 
_1.ptx 227 : 4046848 65489799 0 0 0 0 0 0 0 
_1.ptx 228 : 4046848 48092958 0 0 0 0 0 0 0 
_1.ptx 229 : 4046848 44764004 0 0 0 0 0 0 0 
_1.ptx 231 : 4046848 45298256 0 704512 180224 0 0 0 0 
_1.ptx 232 : 4046848 53814680 0 704512 180224 0 0 0 0 
_1.ptx 233 : 4046848 44675936 0 0 0 0 0 0 0 
_1.ptx 234 : 4046848 32141798 0 704512 180224 0 0 0 0 
_1.ptx 238 : 29360128 179998528 0 0 0 0 0 0 0 
_1.ptx 240 : 29360128 209808672 0 0 0 0 0 0 0 
_1.ptx 241 : 29360128 331087872 0 0 0 0 0 0 0 
_1.ptx 242 : 29360128 219677344 0 0 0 0 0 0 0 
_1.ptx 243 : 29360128 228144096 0 0 0 0 0 0 0 
_1.ptx 244 : 29360128 233960992 0 0 0 0 0 0 0 
_1.ptx 246 : 29360128 178082880 0 0 0 0 0 0 0 
_1.ptx 250 : 4194304 37147648 0 131072 131072 0 0 0 0 
_1.ptx 251 : 4194304 37158656 0 131072 131072 0 0 0 0 
_1.ptx 252 : 4194304 47009888 0 0 0 0 0 0 0 
_1.ptx 253 : 4194304 21637472 0 0 0 131072 131072 0 0 
_1.ptx 255 : 4194304 25894368 0 0 0 0 0 0 0 
_1.ptx 88 : 4194304 15188416 128 0 0 0 0 0 0 
_1.ptx 89 : 4194304 15255776 0 0 0 0 0 0 0 
_1.ptx 90 : 4194304 30829376 0 0 0 0 0 0 0 
_1.ptx 92 : 4194304 27344608 0 0 0 0 0 0 0 
_1.ptx 94 : 4194304 26881920 0 0 0 0 0 0 0 
_1.ptx 96 : 4194304 27194112 0 0 0 0 0 0 0 
_1.ptx 98 : 4194304 69717536 0 0 0 0 0 0 0 
_1.ptx 99 : 4194304 30572448 0 0 0 0 0 0 0 
_1.ptx 101 : 4194304 52967392 0 0 0 0 0 0 0 
_1.ptx 102 : 4194304 47058240 0 0 0 0 0 0 0 
_1.ptx 103 : 4194304 50804960 0 0 0 0 0 0 0 
_1.ptx 104 : 4194304 26369216 0 0 0 0 0 0 0 
_1.ptx 105 : 4194304 46540608 0 0 0 0 0 0 0 
_1.ptx 107 : 4194304 1121393600 16777216 0 0 131072 131072 0 0 
_1.ptx 108 : 4194304 21419392 0 131072 131072 0 0 0 0 
_1.ptx 110 : 4194304 25448992 0 0 0 0 0 0 0 
_1.ptx 112 : 4194304 26034048 0 0 0 0 0 0 0 
_1.ptx 113 : 4194304 30037024 0 0 0 0 0 0 0 
_1.ptx 115 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 118 : 4194304 26401376 0 0 0 0 0 0 0 
_1.ptx 119 : 4194304 31033856 0 0 0 0 0 0 0 
_1.ptx 120 : 4194304 27290464 0 0 0 0 0 0 0 
_1.ptx 122 : 4194304 27087872 0 0 0 0 0 0 0 
_1.ptx 123 : 4194304 30117344 0 0 0 0 0 0 0 
_1.ptx 127 : 33554432 5838749152 0 0 0 0 0 0 0 
_1.ptx 128 : 33554432 280511584 0 0 0 0 0 0 0 
_1.ptx 129 : 33554432 190221092 0 0 0 0 0 0 81920 
_1.ptx 132 : 4177920 83776764 0 0 0 0 0 0 0 
_1.ptx 133 : 4177920 43432871 0 0 0 0 0 0 0 
_1.ptx 134 : 4177920 72883679 0 0 0 0 0 0 0 
_1.ptx 135 : 4177920 46422769 0 0 0 0 0 0 0 
_1.ptx 136 : 4177920 72259483 0 0 0 0 0 0 0 
_1.ptx 137 : 4177920 30364192 0 0 0 0 0 0 0 
_1.ptx 138 : 4177920 42709704 0 0 0 0 0 0 0 
_1.ptx 139 : 4177920 58166800 0 0 0 0 0 0 0 
_1.ptx 140 : 4177920 46291824 0 0 0 0 0 0 0 
_1.ptx 142 : 4177920 47407246 0 770048 196608 0 0 0 0 
_1.ptx 143 : 4177920 58660302 0 770048 196608 0 0 0 0 
_1.ptx 144 : 4177920 46177853 0 0 0 0 0 0 0 
_1.ptx 145 : 4177920 33616285 0 770048 196608 0 0 0 0 
_1.ptx 149 : 33554432 209938528 0 0 0 0 0 0 0 
_1.ptx 150 : 33554432 242290496 0 0 0 0 0 0 0 
_1.ptx 152 : 33554432 274405216 0 0 0 0 0 0 0 
_1.ptx 153 : 33554432 187153568 0 0 0 0 0 0 0 
_1.ptx 157 : 4194304 26441888 0 0 0 0 0 0 0 
_1.ptx 158 : 4194304 58065760 0 0 0 0 0 0 0 
_1.ptx 159 : 4194304 47690496 0 0 0 0 0 0 0 
_1.ptx 160 : 4194304 44064128 0 0 0 0 0 0 0 
_1.ptx 161 : 4194304 51067200 0 0 0 0 0 0 0 
_1.ptx 162 : 4194304 47187968 0 0 0 0 0 0 0 
_1.ptx 164 : 4194304 35429440 0 131072 131072 0 0 0 0 
_1.ptx 166 : 4194304 26276608 0 0 0 0 0 0 0 
_1.ptx 168 : 4194304 26622016 0 0 0 0 0 0 0 
_1.ptx 170 : 4194304 30791552 0 0 0 0 0 0 0 
_1.ptx 171 : 4194304 27168353 0 0 0 0 0 0 16384 
_1.ptx 174 : 16384 109769 0 0 0 0 0 0 0 
_1.ptx 176 : 16384 187055 0 0 0 0 0 0 0 
_1.ptx 177 : 16384 183441 0 0 0 0 0 0 0 
_1.ptx 179 : 16384 119916 0 0 0 0 0 0 0 
_1.ptx 183 : 1441386 188459289 65536 0 0 1441386 1441386 0 0 
_1.ptx 185 : 1441386 10442400 0 0 0 0 0 0 0 
_1.ptx 186 : 1441386 11753427 0 0 0 0 0 0 0 
_1.ptx 188 : 1441386 8948326 0 0 0 0 0 0 0 
_1.ptx 191 : 16384 83425 0 16384 16384 0 0 0 0 
_1.ptx 193 : 16384 181740 0 0 0 0 0 0 0 
_1.ptx 194 : 16384 84206 32 0 0 16384 16384 0 0 
_1.ptx 198 : 4194304 26808352 0 0 0 0 0 0 0 
