kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 4194304 37623968 0 131072 131072 0 0 0 0 
_1.ptx 200 : 4194304 47126464 0 0 0 0 0 0 0 
_1.ptx 201 : 4194304 22314784 0 0 0 131072 131072 0 0 
_1.ptx 203 : 4194304 26233440 0 0 0 0 0 0 0 
_1.ptx 28 : 4194304 15088192 128 0 0 0 0 0 0 
_1.ptx 29 : 4194304 14990880 0 0 0 0 0 0 0 
_1.ptx 30 : 4194304 30288096 0 0 0 0 0 0 0 
_1.ptx 32 : 4194304 26788064 0 0 0 0 0 0 0 
_1.ptx 34 : 4194304 26764384 0 0 0 0 0 0 0 
_1.ptx 36 : 4194304 26642272 0 0 0 0 0 0 0 
_1.ptx 38 : 4194304 103714016 0 0 0 0 0 0 0 
_1.ptx 39 : 4194304 30536896 0 0 0 0 0 0 0 
_1.ptx 41 : 4194304 60321472 0 0 0 0 0 0 0 
_1.ptx 42 : 4194304 47014240 0 0 0 0 0 0 0 
_1.ptx 43 : 4194304 56299648 0 0 0 0 0 0 0 
_1.ptx 44 : 4194304 26145856 0 0 0 0 0 0 0 
_1.ptx 45 : 4194304 46520064 0 0 0 0 0 0 0 
_1.ptx 47 : 4194304 1123859296 16777216 0 0 131072 131072 0 0 
_1.ptx 48 : 4194304 21229152 0 131072 131072 0 0 0 0 
_1.ptx 50 : 4194304 25368032 0 0 0 0 0 0 0 
_1.ptx 52 : 4194304 25629312 0 0 0 0 0 0 0 
_1.ptx 53 : 4194304 29773504 0 0 0 0 0 0 0 
_1.ptx 55 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 58 : 4194304 25934624 0 0 0 0 0 0 0 
_1.ptx 59 : 4194304 32089536 0 0 0 0 0 0 0 
_1.ptx 60 : 4194304 28279104 0 0 0 0 0 0 0 
_1.ptx 62 : 4194304 27553056 0 0 0 0 0 0 0 
_1.ptx 63 : 4194304 30652320 0 0 0 0 0 0 0 
_1.ptx 67 : 33554432 5890986784 0 0 0 0 0 0 0 
_1.ptx 68 : 33554432 277850464 0 0 0 0 0 0 0 
_1.ptx 69 : 33554432 186988066 0 0 0 0 0 0 81920 
_1.ptx 72 : 4177920 86970708 0 0 0 0 0 0 0 
_1.ptx 73 : 4177920 42920658 0 0 0 0 0 0 0 
_1.ptx 74 : 4177920 77649798 0 0 0 0 0 0 0 
_1.ptx 75 : 4177920 46359576 0 0 0 0 0 0 0 
_1.ptx 76 : 4177920 76589736 0 0 0 0 0 0 0 
_1.ptx 77 : 4177920 30167765 0 0 0 0 0 0 0 
_1.ptx 78 : 4177920 42386180 0 0 0 0 0 0 0 
_1.ptx 79 : 4177920 73670194 0 0 0 0 0 0 0 
_1.ptx 80 : 4177920 46224618 0 0 0 0 0 0 0 
_1.ptx 82 : 4177920 47351003 0 770048 196608 0 0 0 0 
_1.ptx 83 : 4177920 58407274 0 770048 196608 0 0 0 0 
_1.ptx 84 : 4177920 46195107 0 0 0 0 0 0 0 
_1.ptx 85 : 4177920 33525000 0 770048 196608 0 0 0 0 
_1.ptx 89 : 33554432 209553696 0 0 0 0 0 0 0 
_1.ptx 90 : 33554432 245007648 0 0 0 0 0 0 0 
_1.ptx 92 : 33554432 278026528 0 0 0 0 0 0 0 
_1.ptx 93 : 33554432 187652256 0 0 0 0 0 0 0 
_1.ptx 97 : 4194304 28392192 0 0 0 0 0 0 0 
_1.ptx 99 : 4194304 31778432 0 0 0 0 0 0 0 
_1.ptx 101 : 4194304 28234208 0 0 0 0 0 0 0 
_1.ptx 103 : 4194304 78752000 0 0 0 0 0 0 0 
_1.ptx 104 : 4194304 49200128 0 0 0 0 0 0 0 
_1.ptx 106 : 4194304 37486976 0 0 0 0 0 0 0 
_1.ptx 107 : 4194304 31300153 0 0 0 0 0 0 16384 
_1.ptx 110 : 16384 131404 0 0 0 0 0 0 0 
_1.ptx 111 : 16384 188151 0 0 0 0 0 0 0 
_1.ptx 112 : 16384 254031 0 0 0 0 0 0 0 
_1.ptx 113 : 16384 187535 0 0 0 0 0 0 0 
_1.ptx 115 : 16384 143717 0 16384 16384 0 0 0 0 
_1.ptx 116 : 16384 90655 23648 0 0 16384 16384 0 0 
_1.ptx 120 : 4194304 29902560 0 0 0 0 0 0 0 
_1.ptx 121 : 4194304 32471488 0 0 0 0 0 0 0 
_1.ptx 123 : 4194304 1856 0 0 0 0 0 0 0 
_1.ptx 126 : 4194048 27991072 0 0 0 0 0 0 0 
_1.ptx 130 : 4194304 26914592 0 0 0 0 0 0 0 
_1.ptx 131 : 4194304 94804896 0 0 0 0 0 0 0 
_1.ptx 132 : 4194304 47980192 0 0 0 0 0 0 0 
_1.ptx 134 : 4194304 27954048 0 0 0 0 0 0 16384 
_1.ptx 137 : 16384 2187230 0 0 0 16384 16384 0 0 
_1.ptx 138 : 16384 99949 0 16384 16384 0 0 0 0 
_1.ptx 140 : 16384 139959 0 0 0 16384 16384 0 0 
_1.ptx 141 : 16384 181477 0 0 0 0 0 0 0 
_1.ptx 142 : 16384 87871 0 0 0 16384 16384 0 0 
_1.ptx 146 : 4194304 27669728 0 0 0 0 0 0 0 
_1.ptx 148 : 4194304 26639424 0 0 0 0 0 0 0 
_1.ptx 149 : 4194304 30539616 0 0 0 0 0 0 0 
_1.ptx 150 : 4194304 30694528 0 0 0 0 0 0 0 
_1.ptx 152 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 155 : 4194304 27780096 0 0 0 0 0 0 0 
_1.ptx 156 : 4194304 32004800 0 0 0 0 0 0 0 
_1.ptx 158 : 4194304 28211424 0 0 0 0 0 0 0 
_1.ptx 159 : 4194304 31574336 0 0 0 0 0 0 0 
_1.ptx 160 : 4194304 46653984 0 0 0 0 0 0 0 
_1.ptx 161 : 4194304 48646368 0 0 0 0 0 0 0 
_1.ptx 164 : 29360128 224995264 0 0 0 0 0 0 0 
_1.ptx 166 : 29360128 5179176000 0 0 0 0 0 0 0 
_1.ptx 167 : 29360128 305930784 0 0 0 0 0 0 0 
_1.ptx 169 : 29360128 241849024 0 0 0 0 0 0 0 
_1.ptx 170 : 29360128 161606239 0 0 0 0 0 0 114688 
_1.ptx 172 : 4046848 91881504 0 0 0 0 0 0 0 
_1.ptx 173 : 4046848 64570310 0 0 0 0 0 0 0 
_1.ptx 174 : 4046848 45121825 0 0 0 0 0 0 0 
_1.ptx 175 : 4046848 70674942 0 0 0 0 0 0 0 
_1.ptx 176 : 4046848 55427197 0 0 0 0 0 0 0 
_1.ptx 177 : 4046848 44872941 0 0 0 0 0 0 0 
_1.ptx 179 : 4046848 45025159 0 704512 180224 0 0 0 0 
_1.ptx 180 : 4046848 52804666 0 704512 180224 0 0 0 0 
_1.ptx 181 : 4046848 44733206 0 0 0 0 0 0 0 
_1.ptx 182 : 4046848 32268996 0 704512 180224 0 0 0 0 
_1.ptx 186 : 29360128 183872544 0 0 0 0 0 0 0 
_1.ptx 188 : 29360128 213645184 0 0 0 0 0 0 0 
_1.ptx 189 : 29360128 332429312 0 0 0 0 0 0 0 
_1.ptx 190 : 29360128 224870464 0 0 0 0 0 0 0 
_1.ptx 191 : 29360128 230271296 0 0 0 0 0 0 0 
_1.ptx 192 : 29360128 233033824 0 0 0 0 0 0 0 
_1.ptx 194 : 29360128 176568992 0 0 0 0 0 0 0 
_1.ptx 198 : 4194304 37137952 0 131072 131072 0 0 0 0 
