kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 4177920 46109706 0 0 0 0 0 0 0 
_1.ptx 200 : 4177920 56372768 0 0 0 0 0 0 0 
_1.ptx 201 : 4177920 29466834 0 0 0 0 0 0 0 
_1.ptx 202 : 4177920 41911143 0 0 0 0 0 0 0 
_1.ptx 203 : 4177920 44955351 0 0 0 0 0 0 0 
_1.ptx 204 : 4177920 46070801 0 0 0 0 0 0 0 
_1.ptx 206 : 4177920 46497040 0 770048 196608 0 0 0 0 
_1.ptx 207 : 4177920 56354672 0 770048 196608 0 0 0 0 
_1.ptx 208 : 4177920 46134731 0 0 0 0 0 0 0 
_1.ptx 209 : 4177920 33578712 0 770048 196608 0 0 0 0 
_1.ptx 213 : 33554432 205706368 0 0 0 0 0 0 0 
_1.ptx 214 : 33554432 240048768 0 0 0 0 0 0 0 
_1.ptx 216 : 33554432 273561824 0 0 0 0 0 0 0 
_1.ptx 217 : 33554432 181911456 0 0 0 0 0 0 0 
_1.ptx 221 : 4194304 27024480 0 0 0 0 0 0 0 
_1.ptx 222 : 4194304 53028448 0 0 0 0 0 0 0 
_1.ptx 223 : 4194304 48279616 0 0 0 0 0 0 0 
_1.ptx 224 : 4194304 44973056 0 0 0 0 0 0 0 
_1.ptx 225 : 4194304 48260640 0 0 0 0 0 0 0 
_1.ptx 226 : 4194304 47501696 0 0 0 0 0 0 0 
_1.ptx 228 : 4194304 37496672 0 131072 131072 0 0 0 0 
_1.ptx 230 : 4194304 26908800 0 0 0 0 0 0 0 
_1.ptx 232 : 4194304 31057024 0 0 0 0 0 0 0 
_1.ptx 233 : 4194304 27115568 0 0 0 0 0 0 16384 
_1.ptx 236 : 32768 212190 0 0 0 0 0 0 0 
_1.ptx 237 : 32768 242846 0 0 0 0 0 0 0 
_1.ptx 239 : 32768 244574 0 0 0 0 0 0 0 
_1.ptx 240 : 32768 369912 0 0 0 0 0 0 0 
_1.ptx 242 : 32768 242922 0 0 0 0 0 0 0 
_1.ptx 243 : 32768 373214 0 0 0 0 0 0 0 
_1.ptx 245 : 32768 227766 0 0 0 0 0 0 0 
_1.ptx 247 : 32768 244246 0 0 0 0 0 0 0 
_1.ptx 249 : 32768 248678 0 0 0 0 0 0 0 
_1.ptx 250 : 32768 222096 0 0 0 0 0 0 0 
_1.ptx 252 : 32768 242122 0 0 0 0 0 0 0 
_1.ptx 256 : 3416552 446001516 131072 0 0 1708276 1708276 0 0 
_1.ptx 258 : 3416552 10578291 0 0 0 0 0 0 1708276 
_1.ptx 261 : 1708276 8785324 0 1708276 1708276 0 0 0 0 
_1.ptx 265 : 3416552 14 0 0 0 0 0 0 0 
_1.ptx 267 : 3416550 28085934 0 1708275 1708275 0 0 0 0 
_1.ptx 268 : 3416550 24424146 0 0 0 0 0 0 0 
_1.ptx 269 : 3416550 198270 0 0 0 0 0 0 0 
_1.ptx 271 : 3383784 10390170 0 0 0 0 0 0 1691892 
_1.ptx 272 : 1691892 10275956 0 0 0 0 0 0 0 
_1.ptx 276 : 1691892 8726289 0 1691892 1691892 0 0 0 0 
_1.ptx 277 : 1691892 13390478 0 0 0 0 0 0 0 
_1.ptx 281 : 3383784 24064800 0 0 0 0 0 0 0 
_1.ptx 282 : 3383784 20558550 0 0 0 0 0 0 0 
_1.ptx 286 : 32768 98564 0 0 0 0 0 0 16384 
_1.ptx 289 : 16384 90167 0 16384 16384 0 0 0 0 
_1.ptx 293 : 32768 98630 0 0 0 0 0 0 0 
_1.ptx 296 : 16384 138410 0 16384 16384 0 0 0 0 
_1.ptx 297 : 16384 115613 0 0 0 0 0 0 0 
_1.ptx 298 : 16384 131532 0 0 0 0 0 0 0 
_1.ptx 300 : 16384 0 0 0 0 0 0 0 0 
_1.ptx 302 : 16384 56896 0 0 0 0 0 0 0 
_1.ptx 303 : 16384 115888 0 0 0 0 0 0 0 
_1.ptx 304 : 16384 234019 0 0 0 0 0 0 0 
_1.ptx 306 : 16384 181430 0 0 0 0 0 0 0 
_1.ptx 307 : 16384 164307 0 0 0 0 0 0 0 
_1.ptx 308 : 16384 181391 0 0 0 0 0 0 0 
_1.ptx 310 : 16384 2137392 128 0 0 16384 16384 0 0 
_1.ptx 311 : 16384 98770 0 0 0 0 0 0 0 
_1.ptx 325 : 4194304 26795808 0 0 0 0 0 0 0 
_1.ptx 326 : 4194304 30738368 0 0 0 0 0 0 0 
_1.ptx 327 : 4194304 30736768 0 0 0 0 0 0 0 
_1.ptx 329 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 332 : 4194304 26873120 0 0 0 0 0 0 0 
_1.ptx 333 : 4194304 30772384 0 0 0 0 0 0 0 
_1.ptx 335 : 4194304 26837888 0 0 0 0 0 0 0 
_1.ptx 336 : 4194304 30543648 0 0 0 0 0 0 0 
_1.ptx 337 : 4194304 43117952 0 0 0 0 0 0 0 
_1.ptx 340 : 29360128 213465600 0 0 0 0 0 0 0 
_1.ptx 342 : 29360128 5092170080 0 0 0 0 0 0 0 
_1.ptx 343 : 29360128 301707552 0 0 0 0 0 0 0 
_1.ptx 345 : 29360128 239861600 0 0 0 0 0 0 0 
_1.ptx 346 : 29360128 159108977 0 0 0 0 0 0 114688 
_1.ptx 348 : 4046848 61770447 0 0 0 0 0 0 0 
_1.ptx 349 : 4046848 29596314 0 0 0 0 0 0 0 
_1.ptx 350 : 4046848 41807586 0 0 0 0 0 0 0 
_1.ptx 351 : 4046848 45251297 0 0 0 0 0 0 0 
_1.ptx 352 : 4046848 44988351 0 0 0 0 0 0 0 
_1.ptx 353 : 4046848 51790491 0 0 0 0 0 0 0 
_1.ptx 354 : 4046848 43021577 0 0 0 0 0 0 0 
_1.ptx 155 : 4194304 15075744 128 0 0 0 0 0 0 
_1.ptx 355 : 4046848 44910709 0 0 0 0 0 0 0 
_1.ptx 156 : 4194304 15079232 0 0 0 0 0 0 0 
_1.ptx 157 : 4194304 30351264 0 0 0 0 0 0 0 
_1.ptx 357 : 4046848 44659058 0 704512 180224 0 0 0 0 
_1.ptx 358 : 4046848 51577798 0 704512 180224 0 0 0 0 
_1.ptx 159 : 4194304 26188192 0 0 0 0 0 0 0 
_1.ptx 359 : 4046848 44917993 0 0 0 0 0 0 0 
_1.ptx 160 : 4194304 26319776 0 0 0 0 0 0 0 
_1.ptx 360 : 4046848 32063089 0 704512 180224 0 0 0 0 
_1.ptx 161 : 4194304 26747328 0 0 0 0 0 0 0 
_1.ptx 162 : 4194304 57043936 0 0 0 0 0 0 0 
_1.ptx 163 : 4194304 30435648 0 0 0 0 0 0 0 
_1.ptx 364 : 29360128 181485408 0 0 0 0 0 0 0 
_1.ptx 165 : 4194304 48533088 0 0 0 0 0 0 0 
_1.ptx 166 : 4194304 47180704 0 0 0 0 0 0 0 
_1.ptx 366 : 29360128 210649600 0 0 0 0 0 0 0 
_1.ptx 167 : 4194304 31030656 0 0 0 0 0 0 0 
_1.ptx 367 : 29360128 328504416 0 0 0 0 0 0 0 
_1.ptx 168 : 4194304 45189952 0 0 0 0 0 0 0 
_1.ptx 368 : 29360128 215595552 0 0 0 0 0 0 0 
_1.ptx 169 : 4194304 27383264 0 0 0 0 0 0 0 
_1.ptx 369 : 29360128 221667392 0 0 0 0 0 0 0 
_1.ptx 170 : 4194304 46923008 0 0 0 0 0 0 0 
_1.ptx 370 : 29360128 226143136 0 0 0 0 0 0 0 
_1.ptx 172 : 4194304 1121340320 16777216 0 0 131072 131072 0 0 
_1.ptx 372 : 29360128 170044000 0 0 0 0 0 0 0 
_1.ptx 173 : 4194304 21135648 0 131072 131072 0 0 0 0 
_1.ptx 175 : 4194304 25176992 0 0 0 0 0 0 0 
_1.ptx 376 : 4194304 26803648 0 0 0 0 0 0 0 
_1.ptx 177 : 4194304 25498208 0 0 0 0 0 0 0 
_1.ptx 377 : 4194304 48367808 0 0 0 0 0 0 0 
_1.ptx 178 : 4194304 29759616 0 0 0 0 0 0 0 
_1.ptx 378 : 4194304 46552608 0 0 0 0 0 0 0 
_1.ptx 180 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 380 : 4194304 37773344 0 131072 131072 0 0 0 0 
_1.ptx 381 : 4194304 37286528 0 131072 131072 0 0 0 0 
_1.ptx 382 : 4194304 46410304 0 0 0 0 0 0 0 
_1.ptx 183 : 4194304 25587648 0 0 0 0 0 0 0 
_1.ptx 383 : 4194304 21759296 0 0 0 131072 131072 0 0 
_1.ptx 184 : 4194304 29784832 0 0 0 0 0 0 0 
_1.ptx 185 : 4194304 25599680 0 0 0 0 0 0 0 
_1.ptx 385 : 4194304 25354496 0 0 0 0 0 0 0 
_1.ptx 189 : 33554432 5725695456 0 0 0 0 0 0 0 
_1.ptx 190 : 33554432 274528608 0 0 0 0 0 0 0 
_1.ptx 191 : 33554432 183089351 0 0 0 0 0 0 81920 
_1.ptx 194 : 4177920 49574733 0 0 0 0 0 0 0 
_1.ptx 195 : 4177920 29953162 0 0 0 0 0 0 0 
_1.ptx 196 : 4177920 46474277 0 0 0 0 0 0 0 
_1.ptx 197 : 4177920 42306732 0 0 0 0 0 0 0 
_1.ptx 198 : 4177920 45399913 0 0 0 0 0 0 0 
