kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 131072 1158144 0 4096 4096 0 0 0 0 
_1.ptx 201 : 131072 1145472 0 4096 4096 0 0 0 0 
_1.ptx 202 : 131072 1467424 0 0 0 0 0 0 0 
_1.ptx 203 : 131072 692128 0 0 0 4096 4096 0 0 
_1.ptx 205 : 131072 792160 0 0 0 0 0 0 0 
_1.ptx 28 : 131072 2603328 128 0 0 0 0 0 0 
_1.ptx 29 : 131072 2487520 0 0 0 0 0 0 0 
_1.ptx 30 : 131072 944224 0 0 0 0 0 0 0 
_1.ptx 32 : 131072 835776 0 0 0 0 0 0 0 
_1.ptx 33 : 131072 826432 0 0 0 0 0 0 0 
_1.ptx 34 : 131072 851808 0 0 0 0 0 0 0 
_1.ptx 35 : 131072 1829568 0 0 0 0 0 0 0 
_1.ptx 36 : 131072 943872 0 0 0 0 0 0 0 
_1.ptx 38 : 131072 1728704 0 0 0 0 0 0 0 
_1.ptx 39 : 131072 1464864 0 0 0 0 0 0 0 
_1.ptx 40 : 131072 1602208 0 0 0 0 0 0 0 
_1.ptx 41 : 131072 814496 0 0 0 0 0 0 0 
_1.ptx 42 : 131072 1457120 0 0 0 0 0 0 0 
_1.ptx 44 : 131072 35318016 524288 0 0 4096 4096 0 0 
_1.ptx 45 : 131072 743776 0 4096 4096 0 0 0 0 
_1.ptx 47 : 131072 786784 0 0 0 0 0 0 0 
_1.ptx 49 : 131072 791520 0 0 0 0 0 0 0 
_1.ptx 50 : 131072 922240 0 0 0 0 0 0 0 
_1.ptx 52 : 131072 0 0 0 0 0 0 0 0 
_1.ptx 55 : 131072 798176 0 0 0 0 0 0 0 
_1.ptx 56 : 131072 982304 0 0 0 0 0 0 0 
_1.ptx 57 : 131072 848448 0 0 0 0 0 0 0 
_1.ptx 61 : 1048576 188722688 0 0 0 0 0 0 0 
_1.ptx 62 : 1048576 8742880 0 0 0 0 0 0 0 
_1.ptx 63 : 1048576 5881241 0 0 0 0 0 0 2560 
_1.ptx 66 : 130560 2454587 0 0 0 0 0 0 0 
_1.ptx 67 : 130560 965605 0 0 0 0 0 0 0 
_1.ptx 68 : 130560 1461591 0 0 0 0 0 0 0 
_1.ptx 69 : 130560 1342767 0 0 0 0 0 0 0 
_1.ptx 70 : 130560 2203537 0 0 0 0 0 0 0 
_1.ptx 71 : 130560 1446002 0 0 0 0 0 0 0 
_1.ptx 72 : 130560 2259002 0 0 0 0 0 0 0 
_1.ptx 73 : 130560 945248 0 0 0 0 0 0 0 
_1.ptx 74 : 130560 1335946 0 0 0 0 0 0 0 
_1.ptx 75 : 130560 1924386 0 0 0 0 0 0 0 
