kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 4177920 47510273 0 770048 196608 0 0 0 0 
_1.ptx 200 : 4177920 58619636 0 770048 196608 0 0 0 0 
_1.ptx 201 : 4177920 46200464 0 0 0 0 0 0 0 
_1.ptx 202 : 4177920 33604638 0 770048 196608 0 0 0 0 
_1.ptx 206 : 33554432 206260384 0 0 0 0 0 0 0 
_1.ptx 207 : 33554432 240632992 0 0 0 0 0 0 0 
_1.ptx 209 : 33554432 274249888 0 0 0 0 0 0 0 
_1.ptx 210 : 33554432 182482048 0 0 0 0 0 0 0 
_1.ptx 214 : 4194304 27199872 0 0 0 0 0 0 0 
_1.ptx 215 : 4194304 52603360 0 0 0 0 0 0 0 
_1.ptx 216 : 4194304 48687648 0 0 0 0 0 0 0 
_1.ptx 217 : 4194304 45418464 0 0 0 0 0 0 0 
_1.ptx 218 : 4194304 48846752 0 0 0 0 0 0 0 
_1.ptx 219 : 4194304 47532672 0 0 0 0 0 0 0 
_1.ptx 221 : 4194304 37125920 0 131072 131072 0 0 0 0 
_1.ptx 223 : 4194304 26897920 0 0 0 0 0 0 0 
_1.ptx 225 : 4194304 30988896 0 0 0 0 0 0 0 
_1.ptx 226 : 4194304 27037506 0 0 0 0 0 0 16384 
_1.ptx 229 : 32768 212874 0 0 0 0 0 0 0 
_1.ptx 230 : 32768 241732 0 0 0 0 0 0 0 
_1.ptx 232 : 32768 214086 0 0 0 0 0 0 0 
_1.ptx 234 : 32768 370758 0 0 0 0 0 0 0 
_1.ptx 235 : 32768 454028 0 0 0 0 0 0 0 
_1.ptx 236 : 32768 374190 0 0 0 0 0 0 0 
_1.ptx 238 : 32768 251722 0 0 0 0 0 0 0 
_1.ptx 240 : 32768 253628 0 0 0 0 0 0 0 
_1.ptx 242 : 32768 246136 0 0 0 0 0 0 0 
_1.ptx 246 : 3343272 436655680 131072 0 0 1671636 1671636 0 0 
