kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 61 : 4194304 26051840 0 0 0 0 0 0 0 
_1.ptx 63 : 4194304 26180256 0 0 0 0 0 0 0 
_1.ptx 64 : 4194304 25898272 0 0 0 0 0 0 0 
_1.ptx 65 : 4194304 73502368 0 0 0 0 0 0 0 
_1.ptx 66 : 4194304 26679168 0 0 0 0 0 0 0 
_1.ptx 67 : 4194304 30407776 0 0 0 0 0 0 0 
_1.ptx 68 : 4194304 91499584 0 0 0 0 0 0 0 
_1.ptx 69 : 4194304 47640608 0 0 0 0 0 0 0 
_1.ptx 70 : 4194304 16311360 128 0 0 0 0 0 0 
_1.ptx 71 : 4194304 47576064 0 0 0 0 0 0 0 
_1.ptx 72 : 4194304 33237152 0 0 0 0 0 0 0 
_1.ptx 73 : 4194304 54275680 0 0 0 0 0 0 0 
_1.ptx 74 : 4194304 47209632 0 0 0 0 0 0 0 
_1.ptx 75 : 4194304 1124568640 16777216 0 0 131072 131072 0 0 
_1.ptx 76 : 4194304 21377952 0 131072 131072 0 0 0 0 
_1.ptx 78 : 4194304 25370720 0 0 0 0 0 0 0 
_1.ptx 79 : 4194304 31953984 0 0 0 0 0 0 0 
_1.ptx 80 : 4194304 27822432 0 0 0 0 0 0 0 
_1.ptx 81 : 4194304 34538816 0 0 0 0 0 0 0 
_1.ptx 82 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 83 : 4194304 26138272 0 0 0 0 0 0 0 
_1.ptx 86 : 33554432 5857009696 0 0 0 0 0 0 0 
_1.ptx 87 : 33554432 274305728 0 0 0 0 0 0 0 
_1.ptx 88 : 33554432 184299367 0 0 0 0 0 0 81920 
_1.ptx 90 : 4177920 80486389 0 0 0 0 0 0 0 
_1.ptx 91 : 4177920 46392866 0 0 0 0 0 0 0 
_1.ptx 92 : 4177920 68026347 0 0 0 0 0 0 0 
_1.ptx 93 : 4177920 30384780 0 0 0 0 0 0 0 
_1.ptx 94 : 4177920 61792317 0 0 0 0 0 0 0 
_1.ptx 95 : 4177920 46341131 0 0 0 0 0 0 0 
_1.ptx 96 : 4177920 46283905 0 770048 196608 0 0 0 0 
_1.ptx 97 : 4177920 63329849 0 0 0 0 0 0 0 
_1.ptx 98 : 4177920 46247107 0 0 0 0 0 0 0 
_1.ptx 99 : 4177920 29986166 0 0 0 0 0 0 0 
_1.ptx 100 : 4177920 67525846 0 0 0 0 0 0 0 
_1.ptx 101 : 4177920 46187129 0 0 0 0 0 0 0 
_1.ptx 102 : 4177920 46441850 0 770048 196608 0 0 0 0 
_1.ptx 103 : 4177920 46193050 0 0 0 0 0 0 0 
_1.ptx 104 : 4177920 33294462 0 770048 196608 0 0 0 0 
_1.ptx 107 : 33554432 208410816 0 0 0 0 0 0 0 
_1.ptx 109 : 33554432 611789056 0 0 0 0 0 0 0 
_1.ptx 110 : 33554432 272005728 0 0 0 0 0 0 0 
_1.ptx 111 : 33554432 182933088 0 0 0 0 0 0 0 
_1.ptx 114 : 4194304 31274336 0 0 0 0 0 0 0 
_1.ptx 115 : 4194304 67110048 0 0 0 0 0 0 0 
_1.ptx 116 : 4194304 48026944 0 0 0 0 0 0 0 
_1.ptx 117 : 4194304 13378240 0 0 0 0 0 0 0 
_1.ptx 118 : 4194304 32954144 0 0 0 0 0 0 0 
_1.ptx 119 : 4194304 57970944 0 0 0 0 0 0 0 
_1.ptx 120 : 4194304 47994656 0 0 0 0 0 0 0 
_1.ptx 121 : 4194304 37302144 0 131072 131072 0 0 0 0 
_1.ptx 122 : 4194304 23877568 63936 0 0 131072 131072 0 0 
_1.ptx 123 : 4194304 27211936 0 0 0 0 0 0 0 
_1.ptx 124 : 4194304 34881632 0 0 0 0 0 0 0 
_1.ptx 125 : 4194304 1632 0 0 0 0 0 0 0 
_1.ptx 127 : 4194048 26592992 0 0 0 0 0 0 0 
_1.ptx 129 : 4194304 27091488 0 0 0 0 0 0 0 
_1.ptx 130 : 4194304 35654496 0 0 0 0 0 0 0 
_1.ptx 131 : 4194304 26971646 0 0 0 0 0 0 16384 
_1.ptx 132 : 16384 6 0 0 0 0 0 0 0 
_1.ptx 134 : 16383 2184015 0 0 0 16383 16383 0 0 
_1.ptx 135 : 16383 101872 0 0 0 0 0 0 0 
_1.ptx 137 : 1 6 0 0 0 0 0 0 0 
_1.ptx 139 : 16384 89423 0 16384 16384 0 0 0 0 
_1.ptx 141 : 16384 145574 0 16384 16384 0 0 0 0 
_1.ptx 142 : 16384 181402 0 0 0 0 0 0 0 
_1.ptx 143 : 16384 85344 0 0 0 16384 16384 0 0 
_1.ptx 146 : 4194304 25792352 0 0 0 0 0 0 0 
_1.ptx 148 : 4194304 30683776 0 0 0 0 0 0 0 
_1.ptx 149 : 4194304 32112256 0 0 0 0 0 0 0 
_1.ptx 150 : 4194304 28372448 0 0 0 0 0 0 0 
_1.ptx 151 : 4194304 34756864 0 0 0 0 0 0 0 
_1.ptx 152 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 154 : 29360128 5204458048 0 0 0 0 0 0 0 
_1.ptx 155 : 29360128 302111200 0 0 0 0 0 0 0 
_1.ptx 156 : 29360128 239502048 0 0 0 0 0 0 0 
_1.ptx 157 : 29360128 157786944 0 0 0 0 0 0 114688 
_1.ptx 159 : 4046848 73814228 0 0 0 0 0 0 0 
_1.ptx 160 : 4046848 76551406 0 0 0 0 0 0 0 
_1.ptx 161 : 4046848 54139277 0 0 0 0 0 0 0 
_1.ptx 162 : 4046848 45136098 0 0 0 0 0 0 0 
_1.ptx 163 : 4046848 29337612 0 0 0 0 0 0 0 
_1.ptx 164 : 4046848 52924773 0 0 0 0 0 0 0 
_1.ptx 165 : 4046848 44949341 0 0 0 0 0 0 0 
_1.ptx 166 : 4046848 44616781 0 704512 180224 0 0 0 0 
_1.ptx 167 : 4046848 44761658 0 0 0 0 0 0 0 
_1.ptx 168 : 4046848 53559529 0 0 0 0 0 0 0 
_1.ptx 169 : 4046848 29040856 0 0 0 0 0 0 0 
_1.ptx 170 : 4046848 48852937 0 0 0 0 0 0 0 
_1.ptx 171 : 4046848 44816782 0 0 0 0 0 0 0 
_1.ptx 172 : 4046848 44572583 0 704512 180224 0 0 0 0 
_1.ptx 173 : 4046848 44789947 0 0 0 0 0 0 0 
_1.ptx 174 : 4046848 32373910 0 704512 180224 0 0 0 0 
_1.ptx 177 : 29360128 180780352 0 0 0 0 0 0 0 
_1.ptx 179 : 29360128 221627264 0 0 0 0 0 0 0 
_1.ptx 180 : 29360128 195286304 0 0 0 0 0 0 0 
_1.ptx 181 : 29360128 243261504 0 0 0 0 0 0 0 
_1.ptx 182 : 29360128 330362656 0 0 0 0 0 0 0 
_1.ptx 183 : 29360128 219597216 0 0 0 0 0 0 0 
_1.ptx 184 : 29360128 194196800 0 0 0 0 0 0 0 
_1.ptx 185 : 29360128 241665888 0 0 0 0 0 0 0 
_1.ptx 186 : 29360128 156928544 0 0 0 0 0 0 0 
_1.ptx 189 : 4194304 35084224 0 131072 131072 0 0 0 0 
_1.ptx 190 : 4194304 35743072 0 131072 131072 0 0 0 0 
_1.ptx 191 : 4194304 46819872 0 0 0 0 0 0 0 
_1.ptx 192 : 4194304 22919776 0 0 0 131072 131072 0 0 
_1.ptx 194 : 4194304 25919968 0 0 0 0 0 0 0 
