kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 4194304 37139968 0 131072 131072 0 0 0 0 
_1.ptx 201 : 4194304 36515616 0 131072 131072 0 0 0 0 
_1.ptx 202 : 4194304 47171008 0 0 0 0 0 0 0 
_1.ptx 203 : 4194304 22188576 0 0 0 131072 131072 0 0 
_1.ptx 205 : 4194304 25382464 0 0 0 0 0 0 0 
_1.ptx 28 : 4194304 15456928 128 0 0 0 0 0 0 
_1.ptx 29 : 4194304 15387584 0 0 0 0 0 0 0 
_1.ptx 30 : 4194304 29844512 0 0 0 0 0 0 0 
_1.ptx 32 : 4194304 26361760 0 0 0 0 0 0 0 
_1.ptx 33 : 4194304 26055200 0 0 0 0 0 0 0 
_1.ptx 34 : 4194304 26733472 0 0 0 0 0 0 0 
_1.ptx 35 : 4194304 57954528 0 0 0 0 0 0 0 
_1.ptx 36 : 4194304 29970752 0 0 0 0 0 0 0 
_1.ptx 38 : 4194304 55513248 0 0 0 0 0 0 0 
_1.ptx 39 : 4194304 46633376 0 0 0 0 0 0 0 
_1.ptx 40 : 4194304 50987712 0 0 0 0 0 0 0 
_1.ptx 41 : 4194304 25537216 0 0 0 0 0 0 0 
_1.ptx 42 : 4194304 46400384 0 0 0 0 0 0 0 
_1.ptx 44 : 4194304 1119892032 16777216 0 0 131072 131072 0 0 
_1.ptx 45 : 4194304 21072384 0 131072 131072 0 0 0 0 
_1.ptx 47 : 4194304 25174048 0 0 0 0 0 0 0 
_1.ptx 49 : 4194304 25211520 0 0 0 0 0 0 0 
_1.ptx 50 : 4194304 29436480 0 0 0 0 0 0 0 
_1.ptx 52 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 55 : 4194304 25304608 0 0 0 0 0 0 0 
_1.ptx 56 : 4194304 31457888 0 0 0 0 0 0 0 
_1.ptx 57 : 4194304 27222848 0 0 0 0 0 0 0 
_1.ptx 61 : 33554432 5916310784 0 0 0 0 0 0 0 
_1.ptx 62 : 33554432 280689408 0 0 0 0 0 0 0 
_1.ptx 63 : 33554432 189436508 0 0 0 0 0 0 81920 
_1.ptx 66 : 4177920 56631740 0 0 0 0 0 0 0 
_1.ptx 67 : 4177920 30820035 0 0 0 0 0 0 0 
_1.ptx 68 : 4177920 46756564 0 0 0 0 0 0 0 
_1.ptx 69 : 4177920 42991046 0 0 0 0 0 0 0 
_1.ptx 70 : 4177920 59169100 0 0 0 0 0 0 0 
_1.ptx 71 : 4177920 46124553 0 0 0 0 0 0 0 
_1.ptx 72 : 4177920 63244545 0 0 0 0 0 0 0 
_1.ptx 73 : 4177920 29866693 0 0 0 0 0 0 0 
_1.ptx 74 : 4177920 42500086 0 0 0 0 0 0 0 
_1.ptx 75 : 4177920 53156671 0 0 0 0 0 0 0 
_1.ptx 76 : 4177920 46157633 0 0 0 0 0 0 0 
_1.ptx 78 : 4177920 47148718 0 770048 196608 0 0 0 0 
_1.ptx 79 : 4177920 57501166 0 770048 196608 0 0 0 0 
_1.ptx 80 : 4177920 46447940 0 0 0 0 0 0 0 
_1.ptx 81 : 4177920 33465376 0 770048 196608 0 0 0 0 
_1.ptx 85 : 33554432 209924704 0 0 0 0 0 0 0 
_1.ptx 86 : 33554432 240530464 0 0 0 0 0 0 0 
_1.ptx 88 : 33554432 274090720 0 0 0 0 0 0 0 
_1.ptx 89 : 33554432 183195680 0 0 0 0 0 0 0 
_1.ptx 93 : 4194304 26928064 0 0 0 0 0 0 0 
_1.ptx 94 : 4194304 42870528 0 0 0 0 0 0 0 
_1.ptx 95 : 4194304 56136352 0 0 0 0 0 0 0 
_1.ptx 96 : 4194304 47517120 0 0 0 0 0 0 0 
_1.ptx 98 : 4194304 28670272 0 0 0 0 0 0 0 
_1.ptx 100 : 4194304 48461280 0 0 0 0 0 0 0 
_1.ptx 101 : 4194304 47134208 0 0 0 0 0 0 0 
_1.ptx 102 : 4194304 36419360 0 131072 131072 0 0 0 0 
_1.ptx 103 : 4194304 22402304 60576 0 0 131072 131072 0 0 
_1.ptx 104 : 4194304 30311296 0 0 0 0 0 0 0 
_1.ptx 106 : 4194304 1728 0 0 0 0 0 0 0 
_1.ptx 109 : 4194048 26298592 0 0 0 0 0 0 0 
_1.ptx 113 : 4194304 25906016 0 0 0 0 0 0 0 
_1.ptx 114 : 4194304 71579328 0 0 0 0 0 0 0 
_1.ptx 115 : 4194304 47658112 0 0 0 0 0 0 0 
_1.ptx 117 : 4194304 27503136 0 0 0 0 0 0 0 
_1.ptx 119 : 4194304 32579680 0 0 0 0 0 0 0 
_1.ptx 120 : 4194304 28236436 0 0 0 0 0 0 16384 
_1.ptx 123 : 16384 7 0 0 0 0 0 0 0 
_1.ptx 126 : 16383 118922 0 0 0 0 0 0 0 
_1.ptx 127 : 16383 169806 0 0 0 0 0 0 0 
_1.ptx 129 : 16383 179166 0 0 0 0 0 0 0 
_1.ptx 130 : 16383 180724 0 0 0 0 0 0 0 
_1.ptx 131 : 16383 2181409 0 0 0 16383 16383 0 0 
_1.ptx 132 : 16383 98729 0 0 0 0 0 0 0 
_1.ptx 135 : 1 6 0 0 0 0 0 0 0 
_1.ptx 139 : 16384 94964 0 16384 16384 0 0 0 0 
_1.ptx 141 : 16384 139264 0 16384 16384 0 0 0 0 
_1.ptx 142 : 16384 180484 0 0 0 0 0 0 0 
_1.ptx 143 : 16384 84237 0 0 0 16384 16384 0 0 
_1.ptx 147 : 4194304 26339328 0 0 0 0 0 0 0 
_1.ptx 149 : 4194304 26160896 0 0 0 0 0 0 0 
_1.ptx 150 : 4194304 30432800 0 0 0 0 0 0 0 
_1.ptx 151 : 4194304 29841472 0 0 0 0 0 0 0 
_1.ptx 153 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 156 : 4194304 26283232 0 0 0 0 0 0 0 
_1.ptx 157 : 4194304 30104544 0 0 0 0 0 0 0 
_1.ptx 159 : 4194304 26107936 0 0 0 0 0 0 0 
_1.ptx 160 : 4194304 29876256 0 0 0 0 0 0 0 
_1.ptx 161 : 4194304 44660128 0 0 0 0 0 0 0 
_1.ptx 164 : 29360128 220231552 0 0 0 0 0 0 0 
_1.ptx 166 : 29360128 5143614432 0 0 0 0 0 0 0 
_1.ptx 167 : 29360128 300840096 0 0 0 0 0 0 0 
_1.ptx 169 : 29360128 238324128 0 0 0 0 0 0 0 
_1.ptx 170 : 29360128 156214750 0 0 0 0 0 0 114688 
_1.ptx 172 : 4046848 103313955 0 0 0 0 0 0 0 
_1.ptx 173 : 4046848 29682947 0 0 0 0 0 0 0 
_1.ptx 174 : 4046848 41461284 0 0 0 0 0 0 0 
