kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 4194304 25574400 0 0 0 0 0 0 0 
_1.ptx 62 : 4194304 26085568 0 0 0 0 0 0 0 
_1.ptx 64 : 4194304 26406880 0 0 0 0 0 0 0 
_1.ptx 65 : 4194304 25639584 0 0 0 0 0 0 0 
_1.ptx 66 : 4194304 55860672 0 0 0 0 0 0 0 
_1.ptx 67 : 4194304 26660576 0 0 0 0 0 0 0 
_1.ptx 68 : 4194304 30837504 0 0 0 0 0 0 0 
_1.ptx 69 : 4194304 61202208 0 0 0 0 0 0 0 
_1.ptx 70 : 4194304 47132800 0 0 0 0 0 0 0 
_1.ptx 71 : 4194304 16247968 128 0 0 0 0 0 0 
_1.ptx 72 : 4194304 47285792 0 0 0 0 0 0 0 
_1.ptx 73 : 4194304 31819072 0 0 0 0 0 0 0 
_1.ptx 74 : 4194304 46746240 0 0 0 0 0 0 0 
_1.ptx 75 : 4194304 46835424 0 0 0 0 0 0 0 
_1.ptx 76 : 4194304 1123564832 16777216 0 0 131072 131072 0 0 
_1.ptx 77 : 4194304 21254048 0 131072 131072 0 0 0 0 
_1.ptx 79 : 4194304 25198912 0 0 0 0 0 0 0 
_1.ptx 80 : 4194304 31026080 0 0 0 0 0 0 0 
_1.ptx 81 : 4194304 26786336 0 0 0 0 0 0 0 
_1.ptx 82 : 4194304 34327648 0 0 0 0 0 0 0 
_1.ptx 83 : 4194304 0 0 0 0 0 0 0 0 
_1.ptx 84 : 4194304 25726048 0 0 0 0 0 0 0 
_1.ptx 87 : 33554432 5766260160 0 0 0 0 0 0 0 
_1.ptx 88 : 33554432 276167584 0 0 0 0 0 0 0 
_1.ptx 89 : 33554432 186500375 0 0 0 0 0 0 81920 
_1.ptx 91 : 4177920 62223310 0 0 0 0 0 0 0 
_1.ptx 92 : 4177920 46599322 0 0 0 0 0 0 0 
_1.ptx 93 : 4177920 56686306 0 0 0 0 0 0 0 
_1.ptx 94 : 4177920 30574943 0 0 0 0 0 0 0 
_1.ptx 95 : 4177920 52417075 0 0 0 0 0 0 0 
_1.ptx 96 : 4177920 46580307 0 0 0 0 0 0 0 
_1.ptx 97 : 4177920 46548530 0 770048 196608 0 0 0 0 
_1.ptx 98 : 4177920 66328525 0 0 0 0 0 0 0 
_1.ptx 99 : 4177920 46317405 0 0 0 0 0 0 0 
_1.ptx 100 : 4177920 29942648 0 0 0 0 0 0 0 
_1.ptx 101 : 4177920 62759892 0 0 0 0 0 0 0 
_1.ptx 102 : 4177920 46266527 0 0 0 0 0 0 0 
_1.ptx 103 : 4177920 46463271 0 770048 196608 0 0 0 0 
_1.ptx 104 : 4177920 46283579 0 0 0 0 0 0 0 
_1.ptx 105 : 4177920 33420046 0 770048 196608 0 0 0 0 
_1.ptx 108 : 33554432 211015840 0 0 0 0 0 0 0 
_1.ptx 110 : 33554432 548405536 0 0 0 0 0 0 0 
