kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 146689 1067783 0 0 0 0 0 0 0 
_1.ptx 101 : 3637385 262449769 256 0 0 0 0 0 0 
_1.ptx 102 : 3637385 40399527 0 0 0 0 0 0 0 
_1.ptx 103 : 3637385 26333376 0 0 0 0 0 0 0 
_1.ptx 104 : 3637385 38488122 0 0 0 0 0 0 0 
_1.ptx 106 : 3637385 280377371 0 0 0 0 0 0 0 
_1.ptx 108 : 3637385 40360419 0 0 0 0 0 0 0 
_1.ptx 109 : 3637385 5782048542 0 0 0 113677 113677 0 0 
_1.ptx 111 : 3637385 234290878 0 0 0 0 0 0 0 
_1.ptx 113 : 3637385 40341923 0 0 0 0 0 0 0 
_1.ptx 114 : 3637385 5887961642 0 0 0 113677 113677 0 0 
_1.ptx 115 : 3637385 25659615 0 0 0 0 0 0 0 
_1.ptx 116 : 3637385 36700218 0 0 0 0 0 0 0 
_1.ptx 118 : 3637385 319002196 0 0 0 0 0 0 0 
_1.ptx 120 : 3637385 40280709 0 0 0 0 0 0 0 
_1.ptx 121 : 3637385 5856746872 0 0 0 706825 113677 0 0 
_1.ptx 122 : 3637385 47750005 0 0 0 0 0 0 0 
_1.ptx 123 : 3637385 37403484 0 0 0 0 0 0 0 
_1.ptx 124 : 3637385 37509019 0 0 0 0 0 0 0 
_1.ptx 125 : 3637385 29745800 0 0 0 0 0 0 0 
_1.ptx 126 : 3637385 21589744 0 0 0 0 0 0 0 
_1.ptx 127 : 146689 904230 0 0 0 0 0 0 0 
_1.ptx 132 : 146689 7596867 0 0 0 0 0 0 0 
_1.ptx 133 : 146689 6343299 0 0 0 0 0 0 0 
_1.ptx 134 : 146689 1053607 0 0 0 0 0 0 0 
_1.ptx 135 : 146689 1509034 0 0 0 0 0 0 0 
_1.ptx 136 : 146689 1624011 0 0 0 0 0 0 0 
_1.ptx 137 : 146689 208144826 0 0 0 4585 4585 0 0 
_1.ptx 138 : 146689 1036071 0 0 0 0 0 0 0 
_1.ptx 139 : 146689 1482666 0 0 0 0 0 0 0 
_1.ptx 140 : 146689 1618603 0 0 0 0 0 0 0 
_1.ptx 141 : 146689 13669125 0 0 0 9782 4585 0 0 
_1.ptx 144 : 146880 897888 0 0 0 0 0 0 0 
_1.ptx 68 : 146880 915488 0 0 0 0 0 0 0 
_1.ptx 69 : 146880 919520 0 0 0 0 0 0 0 
_1.ptx 70 : 146880 2153312 0 0 0 0 0 0 0 
_1.ptx 71 : 146880 913760 0 0 0 0 0 0 0 
_1.ptx 72 : 146880 1634112 0 0 0 0 0 0 0 
_1.ptx 73 : 146880 6369312 128 0 0 0 0 0 0 
_1.ptx 74 : 146880 1216416 0 0 0 0 0 0 0 
_1.ptx 75 : 146880 1304 0 0 0 0 0 0 1 
_1.ptx 77 : 146689 986886 0 0 0 0 0 0 0 
_1.ptx 78 : 146689 1152007 0 0 0 0 0 0 0 
_1.ptx 79 : 146689 992263 0 0 0 0 0 0 0 
_1.ptx 80 : 146689 1248616 0 0 0 0 0 0 0 
_1.ptx 81 : 146689 1665227 0 0 0 0 0 0 0 
_1.ptx 82 : 146689 1126183 0 0 0 0 0 0 0 
_1.ptx 83 : 146689 1101767 0 0 0 0 0 0 0 
_1.ptx 84 : 146689 1834986 0 0 0 0 0 0 0 
_1.ptx 85 : 146689 1633099 0 0 0 0 0 0 0 
_1.ptx 86 : 146689 16732647 18432 0 0 0 0 0 0 
_1.ptx 87 : 146689 909414 0 0 0 0 0 0 0 
_1.ptx 88 : 146689 1197064 0 0 0 0 0 0 0 
_1.ptx 89 : 146689 0 0 0 0 0 0 0 0 
_1.ptx 90 : 146689 1072327 0 0 0 0 0 0 0 
_1.ptx 91 : 146689 931334 0 0 0 0 0 0 0 
_1.ptx 92 : 146689 2386019 0 0 0 0 0 0 0 
_1.ptx 93 : 146689 1472355 0 0 0 0 0 0 0 
_1.ptx 94 : 146689 1162340 0 0 0 0 0 0 0 
_1.ptx 95 : 146689 911782 0 0 0 0 0 0 0 
_1.ptx 96 : 146689 913063 0 0 0 0 0 0 0 
