kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 73 : 8388608 58875648 0 0 0 0 0 0 0 
_1.ptx 74 : 8388608 158777824 128 0 0 0 0 0 0 
_1.ptx 75 : 8388608 104471296 0 0 0 0 0 0 0 
_1.ptx 76 : 8388608 63962624 0 0 0 0 0 0 0 
_1.ptx 77 : 8388608 64046560 0 0 0 0 0 0 0 
_1.ptx 78 : 8388608 65254528 0 0 0 0 0 0 0 
_1.ptx 79 : 8388608 99935648 0 0 0 0 0 0 0 
_1.ptx 80 : 8388608 100128352 0 0 0 0 0 0 0 
_1.ptx 81 : 8388608 69991808 0 0 0 0 0 0 0 
_1.ptx 82 : 8388608 70994496 0 0 0 0 0 0 0 
_1.ptx 83 : 8388608 101313280 0 0 0 0 0 0 0 
_1.ptx 84 : 8388608 98850016 0 0 0 0 0 0 0 
_1.ptx 85 : 8388608 98221280 0 0 0 0 0 0 0 
_1.ptx 86 : 8388608 59908160 0 0 0 0 0 0 0 
_1.ptx 87 : 8388608 98021792 0 0 0 0 0 0 0 
_1.ptx 88 : 8388608 176343488 0 0 0 0 0 0 0 
_1.ptx 89 : 8388608 100669952 0 0 0 0 0 0 0 
_1.ptx 90 : 8388608 100532448 0 0 0 0 0 0 0 
_1.ptx 91 : 8388608 70649184 0 0 0 0 0 0 0 
_1.ptx 92 : 8388608 97741152 0 0 0 0 0 0 0 
_1.ptx 93 : 8388608 99910976 0 0 0 0 0 0 0 
_1.ptx 94 : 8388608 493723392 16128 0 0 262144 262144 0 0 
_1.ptx 95 : 8388608 141488832 0 262144 262144 0 0 0 0 
_1.ptx 97 : 8388608 64782592 0 0 0 0 0 0 0 
_1.ptx 98 : 8388608 101363872 0 0 0 0 0 0 0 
_1.ptx 99 : 8388608 101332800 0 0 0 0 0 0 0 
_1.ptx 100 : 8388608 97576672 0 0 0 0 0 0 0 
_1.ptx 101 : 8388608 101832992 0 0 0 0 0 0 0 
_1.ptx 102 : 8388608 71879616 0 0 0 0 0 0 0 
_1.ptx 103 : 8388608 99623520 0 0 0 0 0 0 0 
_1.ptx 104 : 8388608 100637440 0 0 0 0 0 0 0 
