kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 248 3293 0 0 0 0 0 0 0 
_1.ptx 399 : 16384 102560 0 0 0 0 0 0 0 
_1.ptx 200 : 248 2818 0 0 0 0 0 0 0 
_1.ptx 201 : 248 2749 0 0 0 0 0 0 0 
_1.ptx 203 : 248 24139 0 0 0 248 248 0 0 
_1.ptx 207 : 8176 58448 0 0 0 0 0 0 0 
_1.ptx 209 : 8176 0 0 0 0 0 0 0 0 
_1.ptx 212 : 8176 90702 0 0 0 0 0 0 0 
_1.ptx 213 : 8176 87753 0 0 0 0 0 0 0 
_1.ptx 214 : 8176 90606 0 0 0 0 0 0 0 
_1.ptx 215 : 8176 66394 0 256 256 0 0 0 0 
_1.ptx 216 : 8176 49919 0 0 0 0 0 0 0 
_1.ptx 233 : 8176 82751 0 0 0 0 0 0 0 
_1.ptx 235 : 8176 66783 0 0 0 0 0 0 0 
_1.ptx 237 : 8176 0 0 0 0 0 0 0 0 
_1.ptx 39 : 16384 98304 0 0 0 0 0 0 0 
_1.ptx 240 : 8176 91212 0 0 0 0 0 0 0 
_1.ptx 41 : 16384 98304 0 0 0 0 0 0 0 
_1.ptx 241 : 8176 96754 0 0 0 0 0 0 0 
_1.ptx 242 : 8176 90576 0 0 0 0 0 0 0 
_1.ptx 43 : 16384 102912 0 0 0 0 0 0 0 
_1.ptx 243 : 8176 68220 0 256 256 0 0 0 0 
_1.ptx 244 : 8176 49599 0 0 0 0 0 0 0 
_1.ptx 45 : 16384 217408 0 0 0 0 0 0 0 
_1.ptx 47 : 16384 127296 0 0 0 0 0 0 0 
_1.ptx 49 : 16384 123488 0 0 0 0 0 0 0 
_1.ptx 51 : 16384 111904 0 0 0 0 0 0 0 
_1.ptx 53 : 16384 218496 0 0 0 0 0 0 0 
_1.ptx 55 : 16384 127520 0 0 0 0 0 0 0 
_1.ptx 57 : 16384 129856 0 0 0 0 0 0 0 
_1.ptx 59 : 16384 117312 0 0 0 0 0 0 0 
_1.ptx 61 : 16384 280768 0 0 0 0 0 0 0 
_1.ptx 262 : 8176 58126 0 0 0 0 0 0 0 
_1.ptx 63 : 16384 348800 0 0 0 0 0 0 0 
_1.ptx 64 : 16384 328800 0 0 0 0 0 0 0 
_1.ptx 264 : 8176 0 0 0 0 0 0 0 0 
_1.ptx 65 : 16384 300256 0 0 0 0 0 0 0 
_1.ptx 66 : 16384 363008 0 0 0 0 0 0 0 
_1.ptx 67 : 16384 102816 0 0 0 0 0 0 0 
_1.ptx 267 : 8176 103645 0 0 0 0 0 0 0 
_1.ptx 68 : 16384 186368 0 0 0 0 0 0 0 
_1.ptx 69 : 16384 112672 0 0 0 0 0 0 0 
_1.ptx 269 : 8176 90574 0 0 0 0 0 0 0 
_1.ptx 270 : 8176 85943 0 0 0 0 0 0 0 
_1.ptx 71 : 16384 88416 0 512 512 0 0 0 0 
_1.ptx 271 : 8176 92108 0 0 0 0 0 0 0 
_1.ptx 272 : 8176 68632 0 256 256 0 0 0 0 
_1.ptx 73 : 16384 90432 0 512 512 0 0 0 0 
_1.ptx 273 : 8176 49950 0 0 0 0 0 0 0 
_1.ptx 75 : 16384 100672 0 0 0 0 0 0 0 
_1.ptx 77 : 16384 120960 0 0 0 0 0 0 0 
_1.ptx 78 : 16384 118656 0 0 0 0 0 0 0 
_1.ptx 79 : 16384 132032 0 0 0 0 0 0 0 
_1.ptx 81 : 16384 124224 0 0 0 0 0 0 0 
_1.ptx 82 : 16384 132160 0 0 0 0 0 0 0 
_1.ptx 83 : 16384 3009120 128 0 0 0 0 0 0 
_1.ptx 84 : 16384 179488 0 0 0 0 0 0 0 
_1.ptx 86 : 16384 152256 0 0 0 0 0 0 0 
_1.ptx 87 : 16384 141376 0 0 0 0 0 0 0 
_1.ptx 88 : 16384 49152 0 0 0 0 0 0 0 
_1.ptx 89 : 16384 177120 0 0 0 0 0 0 0 
_1.ptx 290 : 8176 82558 0 0 0 0 0 0 0 
_1.ptx 91 : 16384 141888 0 0 0 0 0 0 0 
_1.ptx 92 : 16384 138048 0 0 0 0 0 0 0 
_1.ptx 292 : 8176 66878 0 0 0 0 0 0 0 
_1.ptx 94 : 16384 43787 0 0 0 0 0 0 12 
_1.ptx 294 : 8176 0 0 0 0 0 0 0 0 
_1.ptx 96 : 10252 74287 0 0 0 0 0 0 0 
