kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 8192 59616 0 0 0 0 0 0 0 
_1.ptx 98 : 8192 60480 0 0 0 0 0 0 0 
_1.ptx 99 : 8192 95456 0 0 0 0 0 0 0 
_1.ptx 100 : 8192 91840 0 0 0 0 0 0 0 
_1.ptx 101 : 8192 95840 0 0 0 0 0 0 0 
_1.ptx 102 : 8192 91904 0 0 0 0 0 0 0 
_1.ptx 103 : 8192 54368 0 0 0 0 0 0 0 
_1.ptx 104 : 8192 51104 0 0 0 0 0 0 0 
_1.ptx 105 : 8192 59008 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 67277216 1043456 0 0 8192 8192 0 0 
_1.ptx 110 : 262144 22783520 4864 0 0 8192 8192 0 0 
_1.ptx 111 : 262144 2926496 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 3446976 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2706272 0 0 0 0 0 0 0 
_1.ptx 115 : 262144 2928576 0 0 0 0 0 0 0 
_1.ptx 116 : 262144 2953216 0 0 0 0 0 0 0 
_1.ptx 118 : 262144 1469472 0 0 0 0 0 0 0 
_1.ptx 120 : 262144 2198016 0 0 0 0 0 0 0 
_1.ptx 121 : 262144 1603456 0 0 0 0 0 0 0 
_1.ptx 122 : 8192 50880 0 0 0 0 0 0 0 
_1.ptx 127 : 8192 59328 0 0 0 0 0 0 0 
_1.ptx 128 : 8192 227104 0 0 0 0 0 0 0 
_1.ptx 129 : 8192 98080 0 0 0 0 0 0 0 
_1.ptx 130 : 8192 90880 0 0 0 0 0 0 0 
_1.ptx 131 : 8192 3772032 247296 0 0 2048 256 0 0 
_1.ptx 132 : 8192 90304 0 0 0 0 0 0 0 
_1.ptx 133 : 8192 833632 0 0 0 2048 256 0 0 
_1.ptx 134 : 8192 360992 0 0 0 0 0 0 0 
_1.ptx 135 : 8192 286400 0 0 0 0 0 0 0 
_1.ptx 136 : 8192 92768 0 0 0 0 0 0 0 
_1.ptx 137 : 8192 58016 0 0 0 0 0 0 0 
_1.ptx 138 : 8192 84224 0 0 0 0 0 0 0 
_1.ptx 139 : 8192 90240 0 0 0 0 0 0 0 
_1.ptx 140 : 8192 65856 0 0 0 0 0 0 0 
_1.ptx 141 : 8192 36146 0 0 0 0 0 0 161 
_1.ptx 143 : 2199 13285 0 0 0 0 0 0 0 
_1.ptx 144 : 2199 88826 0 0 0 0 0 0 0 
_1.ptx 145 : 2199 24412 0 0 0 0 0 0 0 
_1.ptx 146 : 2199 60763 2336 0 0 161 161 0 0 
_1.ptx 148 : 2199 46209 0 0 0 0 0 0 0 
_1.ptx 149 : 2199 15605 0 0 0 0 0 0 0 
_1.ptx 150 : 2199 22722 0 0 0 0 0 0 0 
_1.ptx 151 : 2199 24243 0 0 0 0 0 0 0 
_1.ptx 152 : 2199 614399 30848 0 0 425 161 0 0 
_1.ptx 153 : 2199 366626 0 0 0 1011 161 0 0 
_1.ptx 154 : 2199 24298 0 0 0 0 0 0 0 
_1.ptx 155 : 2199 24252 0 0 0 0 0 0 0 
_1.ptx 156 : 2199 62012 0 0 0 425 161 0 0 
_1.ptx 157 : 2199 13194 0 0 0 0 0 0 0 
_1.ptx 160 : 5993 830675 0 0 0 1966 256 0 0 
_1.ptx 161 : 5993 337095 0 0 0 0 0 0 0 
_1.ptx 162 : 5993 60826 0 0 0 0 0 0 0 
