kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 69 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 71 : 65536 500928 0 0 0 0 0 0 0 
_1.ptx 72 : 65536 939072 0 0 0 0 0 0 0 
_1.ptx 73 : 65536 464128 0 0 0 0 0 0 0 
_1.ptx 74 : 65536 729888 0 0 0 0 0 0 0 
_1.ptx 75 : 65536 79282880 0 0 0 2048 2048 0 0 
_1.ptx 76 : 65536 1105056 0 0 0 0 0 0 0 
_1.ptx 77 : 65536 724832 0 0 0 0 0 0 0 
_1.ptx 78 : 65536 104718272 0 0 0 2048 2048 0 0 
_1.ptx 79 : 65536 721344 0 0 0 0 0 0 0 
_1.ptx 80 : 65536 1239424 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 721856 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 2007712 0 0 0 2048 2048 0 0 
_1.ptx 85 : 65536 394176 0 0 0 0 0 0 0 
_1.ptx 62 : 65536 409632 0 0 0 0 0 0 0 
_1.ptx 63 : 65536 408896 0 0 0 0 0 0 0 
_1.ptx 64 : 65536 1142784 0 0 0 0 0 0 0 
_1.ptx 65 : 65536 419520 0 0 0 0 0 0 0 
_1.ptx 66 : 65536 735616 0 0 0 0 0 0 0 
_1.ptx 67 : 65536 4003616 128 0 0 0 0 0 0 
_1.ptx 68 : 65536 545632 0 0 0 0 0 0 0 
