kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 640000 3842624 0 0 0 0 0 0 0 
_1.ptx 201 : 640000 7055040 0 0 0 0 0 0 0 
_1.ptx 203 : 640000 5134944 0 0 0 0 0 0 0 
_1.ptx 204 : 640000 4706912 0 0 0 0 0 0 0 
_1.ptx 206 : 640000 2859776 0 0 0 0 0 0 0 
_1.ptx 210 : 163840 724032 0 0 0 0 0 0 0 
_1.ptx 212 : 163840 983328 0 0 0 0 0 0 0 
_1.ptx 214 : 163840 1640640 0 0 0 0 0 0 0 
_1.ptx 215 : 163840 1809600 0 0 0 0 0 0 0 
_1.ptx 217 : 163840 983328 0 0 0 0 0 0 0 
_1.ptx 219 : 163840 983776 0 0 0 0 0 0 0 
_1.ptx 221 : 163840 1807936 0 0 0 0 0 0 0 
_1.ptx 222 : 163840 1809440 0 0 0 0 0 0 0 
_1.ptx 223 : 163840 2136032 0 0 0 0 0 0 0 
_1.ptx 225 : 163840 983360 0 0 0 0 0 0 0 
_1.ptx 226 : 163840 1149760 0 0 0 0 0 0 0 
_1.ptx 228 : 163840 1312704 0 0 0 0 0 0 0 
_1.ptx 229 : 163840 981439 0 0 0 0 0 0 320 
_1.ptx 32 : 16384 1912832 128 0 0 0 0 0 0 
_1.ptx 232 : 320 1921 0 0 0 0 0 0 0 
_1.ptx 33 : 16384 1695232 0 0 0 0 0 0 0 
_1.ptx 233 : 320 227546 0 0 0 320 320 0 0 
_1.ptx 34 : 16384 521216 0 0 0 0 0 0 0 
_1.ptx 35 : 16384 124416 0 0 0 0 0 0 0 
_1.ptx 36 : 16384 121344 0 0 0 0 0 0 0 
_1.ptx 237 : 75488 2751020 0 0 0 75488 75488 0 0 
_1.ptx 38 : 16384 101888 0 0 0 0 0 0 0 
_1.ptx 238 : 75488 604417 0 0 0 0 0 0 0 
_1.ptx 39 : 16384 100352 0 0 0 0 0 0 0 
_1.ptx 239 : 75488 451050 0 0 0 0 0 0 0 
