kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 640000 7053216 0 0 0 0 0 0 0 
_1.ptx 201 : 640000 5132096 0 0 0 0 0 0 0 
_1.ptx 202 : 640000 4708640 0 0 0 0 0 0 0 
_1.ptx 204 : 640000 2859680 0 0 0 0 0 0 0 
_1.ptx 208 : 163840 605984 0 0 0 0 0 0 0 
_1.ptx 210 : 163840 983264 0 0 0 0 0 0 0 
_1.ptx 212 : 163840 1720320 0 0 0 0 0 0 0 
_1.ptx 213 : 163840 491520 0 0 0 0 0 0 0 
_1.ptx 215 : 163840 1389536 0 0 0 0 0 0 0 
_1.ptx 216 : 163840 1299552 0 0 0 0 0 0 0 
_1.ptx 218 : 163840 1050400 0 0 0 0 0 0 0 
_1.ptx 222 : 16384 122048 0 0 0 0 0 0 0 
_1.ptx 30 : 16384 1914368 128 0 0 0 0 0 0 
_1.ptx 31 : 16384 1696768 0 0 0 0 0 0 0 
_1.ptx 32 : 16384 521216 0 0 0 0 0 0 0 
_1.ptx 33 : 16384 117248 0 0 0 0 0 0 0 
_1.ptx 34 : 16384 124000 0 0 0 0 0 0 0 
_1.ptx 36 : 16384 104416 0 0 0 0 0 0 0 
_1.ptx 37 : 16384 103712 0 0 0 0 0 0 0 
_1.ptx 39 : 16384 3471360 0 0 0 0 0 0 0 
_1.ptx 40 : 16384 134048 0 0 0 0 0 0 0 
_1.ptx 41 : 16384 117216 0 0 0 0 0 0 0 
_1.ptx 42 : 16384 116544 0 0 0 0 0 0 0 
_1.ptx 44 : 16384 181248 0 0 0 0 0 0 0 
_1.ptx 46 : 16384 105056 0 0 0 0 0 0 0 
_1.ptx 47 : 16384 3719072 0 0 0 0 0 0 0 
_1.ptx 48 : 16384 131232 0 0 0 0 0 0 0 
_1.ptx 49 : 16384 115200 0 0 0 0 0 0 0 
_1.ptx 50 : 16384 123584 0 0 0 0 0 0 0 
_1.ptx 52 : 16384 183936 0 0 0 0 0 0 0 
_1.ptx 54 : 16384 108672 0 0 0 0 0 0 0 
_1.ptx 55 : 16384 3519328 0 0 0 0 0 0 0 
_1.ptx 56 : 16384 134496 0 0 0 0 0 0 0 
_1.ptx 57 : 16384 121536 0 0 0 0 0 0 0 
_1.ptx 58 : 16384 116608 0 0 0 0 0 0 0 
_1.ptx 60 : 16384 184544 0 0 0 0 0 0 0 
_1.ptx 62 : 16384 543392 0 0 0 0 0 0 0 
_1.ptx 63 : 16384 388672 0 0 0 0 0 0 0 
_1.ptx 65 : 16384 126144 0 0 0 0 0 0 0 
_1.ptx 66 : 16384 0 0 0 0 0 0 0 0 
_1.ptx 69 : 16384 108896 0 0 0 0 0 0 0 
_1.ptx 71 : 16384 139232 0 0 0 0 0 0 0 
_1.ptx 72 : 16384 112192 0 0 0 0 0 0 0 
_1.ptx 75 : 163840 1250176 0 0 0 0 0 0 0 
_1.ptx 76 : 163840 1210816 0 0 0 0 0 0 0 
_1.ptx 77 : 163840 1199424 0 0 0 0 0 0 0 
_1.ptx 79 : 163840 0 0 0 0 0 0 0 0 
_1.ptx 81 : 163840 1199488 0 0 0 0 0 0 0 
_1.ptx 84 : 640000 4571392 0 0 0 0 0 0 0 
_1.ptx 86 : 640000 5173536 0 0 0 0 0 0 0 
_1.ptx 87 : 640000 104491456 0 0 0 0 0 0 0 
_1.ptx 89 : 640000 5273536 0 0 0 0 0 0 0 
_1.ptx 91 : 640000 4000480 0 0 0 0 0 0 0 
_1.ptx 92 : 640000 13912160 0 0 0 0 0 0 0 
_1.ptx 93 : 640000 6577824 0 0 0 0 0 0 0 
_1.ptx 95 : 640000 4237408 0 0 0 0 0 0 0 
_1.ptx 96 : 640000 12150592 0 0 0 0 0 0 0 
_1.ptx 97 : 640000 6521664 0 0 0 0 0 0 0 
_1.ptx 99 : 640000 102915296 0 0 0 0 0 0 0 
_1.ptx 101 : 640000 3983488 0 0 0 0 0 0 0 
_1.ptx 102 : 640000 10690048 0 0 0 0 0 0 0 
_1.ptx 103 : 640000 6550080 0 0 0 0 0 0 0 
_1.ptx 105 : 640000 4707424 0 0 0 0 0 0 0 
_1.ptx 106 : 640000 4715360 0 0 0 0 0 0 0 
_1.ptx 107 : 640000 5266848 0 0 0 0 0 0 0 
_1.ptx 109 : 640000 4686816 0 0 0 0 0 0 0 
_1.ptx 110 : 640000 5269312 0 0 0 0 0 0 0 
_1.ptx 112 : 640000 0 0 0 0 0 0 0 0 
_1.ptx 115 : 640000 8661344 0 0 0 0 0 0 0 
_1.ptx 116 : 640000 8345856 0 0 0 0 0 0 0 
_1.ptx 117 : 640000 7053664 0 0 0 0 0 0 0 
_1.ptx 118 : 640000 7151808 0 0 0 0 0 0 0 
_1.ptx 120 : 640000 7175360 0 0 0 0 0 0 0 
_1.ptx 122 : 640000 2111151104 0 0 0 96000 20000 0 0 
_1.ptx 124 : 640000 7055904 0 0 0 0 0 0 0 
_1.ptx 126 : 640000 2586698752 0 0 0 96000 20000 0 0 
_1.ptx 128 : 640000 7044512 0 0 0 0 0 0 0 
_1.ptx 129 : 640000 30251040 0 0 0 0 0 0 0 
_1.ptx 130 : 640000 4491584 0 0 0 0 0 0 0 
_1.ptx 132 : 640000 184844448 0 0 0 20000 20000 0 0 
_1.ptx 134 : 640000 2090596928 0 0 0 96000 20000 0 0 
_1.ptx 135 : 640000 2075413920 0 0 0 96000 20000 0 0 
_1.ptx 136 : 640000 7049824 0 0 0 0 0 0 0 
_1.ptx 137 : 640000 960558528 0 0 0 96000 20000 0 0 
_1.ptx 138 : 640000 7049728 0 0 0 0 0 0 0 
_1.ptx 139 : 640000 848634432 0 0 0 96000 20000 0 0 
_1.ptx 140 : 640000 7049408 0 0 0 0 0 0 0 
_1.ptx 141 : 640000 1353168032 0 0 0 96000 20000 0 0 
_1.ptx 142 : 640000 7054144 0 0 0 0 0 0 0 
_1.ptx 143 : 640000 1294128992 0 0 0 96000 20000 0 0 
_1.ptx 144 : 640000 7056032 0 0 0 0 0 0 0 
_1.ptx 145 : 640000 137828288 0 0 0 20000 20000 0 0 
_1.ptx 146 : 640000 7080032 0 0 0 0 0 0 0 
_1.ptx 147 : 640000 5788864 0 0 0 0 0 0 0 
_1.ptx 149 : 640000 1244955424 0 0 0 96000 20000 0 0 
_1.ptx 150 : 640000 1243459328 0 0 0 96000 20000 0 0 
_1.ptx 151 : 640000 7058080 0 0 0 0 0 0 0 
_1.ptx 152 : 640000 988075968 0 0 0 96000 20000 0 0 
_1.ptx 153 : 640000 7054368 0 0 0 0 0 0 0 
_1.ptx 154 : 640000 1128527808 0 0 0 96000 20000 0 0 
_1.ptx 155 : 640000 7048672 0 0 0 0 0 0 0 
_1.ptx 156 : 640000 1323233312 0 0 0 96000 20000 0 0 
_1.ptx 157 : 640000 7051296 0 0 0 0 0 0 0 
_1.ptx 158 : 640000 1349507360 0 0 0 96000 20000 0 0 
_1.ptx 159 : 640000 7058112 0 0 0 0 0 0 0 
_1.ptx 160 : 640000 139826016 0 0 0 20000 20000 0 0 
_1.ptx 161 : 640000 5784128 0 0 0 0 0 0 0 
_1.ptx 163 : 640000 1195959264 0 0 0 96000 20000 0 0 
_1.ptx 164 : 640000 1194102496 0 0 0 96000 20000 0 0 
_1.ptx 165 : 640000 7062432 0 0 0 0 0 0 0 
_1.ptx 166 : 640000 1316279648 0 0 0 96000 20000 0 0 
_1.ptx 167 : 640000 7051616 0 0 0 0 0 0 0 
_1.ptx 168 : 640000 1337225312 0 0 0 96000 20000 0 0 
_1.ptx 169 : 640000 7047168 0 0 0 0 0 0 0 
_1.ptx 170 : 640000 1556625824 0 0 0 96000 20000 0 0 
_1.ptx 171 : 640000 7050880 0 0 0 0 0 0 0 
_1.ptx 172 : 640000 1619660832 0 0 0 96000 20000 0 0 
_1.ptx 173 : 640000 7050464 0 0 0 0 0 0 0 
_1.ptx 174 : 640000 157338144 0 0 0 20000 20000 0 0 
_1.ptx 175 : 640000 5781728 0 0 0 0 0 0 0 
_1.ptx 177 : 640000 1331528896 0 0 0 80000 20000 0 0 
_1.ptx 178 : 640000 1305686912 0 0 0 80000 20000 0 0 
_1.ptx 179 : 640000 7050336 0 0 0 0 0 0 0 
_1.ptx 180 : 640000 1847633152 0 0 0 96000 20000 0 0 
_1.ptx 181 : 640000 7047712 0 0 0 0 0 0 0 
_1.ptx 182 : 640000 1592672416 0 0 0 96000 20000 0 0 
_1.ptx 183 : 640000 7044800 0 0 0 0 0 0 0 
